,maxval,maxdate,maxarg
1981,9.838503,1981-05-05,216
1982,25.304174,1982-04-22,203
1983,13.862869,1983-04-28,209
1984,13.654012,1984-04-27,209
1985,15.285724,1985-04-24,205
1986,10.955741,1986-03-31,181
1987,14.739,1987-04-05,186
1988,14.597038,1988-03-21,172
1989,6.4007196,1989-03-19,169
1990,11.64124,1990-02-28,150
1991,16.419601,1991-03-18,168
1992,10.470794,1992-02-17,139
1993,14.82453,1993-02-06,128
1994,10.177699,1994-01-29,120
1995,17.82064,1995-02-24,146
1996,9.685589,1996-01-27,118
1997,9.322932,1997-02-08,130
1998,13.117074,1998-01-15,106
1999,11.420627,1999-01-08,99
2000,10.424962,2000-01-19,110
2001,7.8418317,2000-12-27,87
2002,12.397356,2002-01-02,93
2003,14.7386675,2003-01-21,112
2004,19.63505,2003-12-12,72
2005,12.204885,2004-12-23,83
2006,17.278963,2005-12-09,69
2007,14.920275,2006-12-06,66
2008,12.380404,2008-09-30,365
2009,15.073909,2008-11-06,36
2010,10.317351,2009-11-27,57
2011,16.525068,2010-11-24,54
2012,12.350594,2011-10-27,26
2013,9.838047,2012-10-18,17
2014,5.2384863,2014-01-27,118
2015,10.554624,2015-02-11,133
2016,11.160992,2016-02-15,137
2017,19.052687,2017-01-24,115
2018,14.828527,2018-02-03,125
2019,17.084232,2019-02-01,123
2020,8.405139,2020-01-02,93
2021,13.066008,2021-01-04,95
2022,9.587243,2022-01-12,103
2023,12.479008,2023-01-28,119
2024,15.588809,2024-01-12,103
2025,14.098864,2024-12-23,83
2026,9.765212,2025-12-22,82
2027,8.02751,2026-11-18,48
2028,11.868203,2027-12-20,80
2029,9.382823,2028-12-06,66
2030,9.588247,2029-12-15,75
2031,7.859776,2030-11-14,44
2032,8.581831,2031-11-07,37
2033,12.318953,2032-11-26,56
2034,10.086921,2033-11-06,36
2035,11.07069,2034-11-17,47
2036,13.667437,2035-11-01,31
2037,12.163409,2036-10-23,22
2038,12.96317,2037-10-29,28
2039,16.401442,2038-10-26,25
2040,13.308608,2040-09-18,353
2041,13.700732,2040-10-05,4
2042,8.590987,2041-10-01,0
2043,7.8962893,2043-09-16,350
2044,9.402015,2044-08-31,335
2045,11.868216,2045-09-29,363
2046,12.817807,2046-08-14,317
2047,12.020314,2047-08-28,331
2048,11.086514,2048-08-11,315
2049,8.894965,2049-07-30,302
2050,11.21035,2050-08-16,319
2051,13.475255,2051-08-01,304
2052,11.146233,2052-07-16,289
2053,7.9392357,2053-07-12,284
2054,7.762325,2054-07-25,297
2055,5.8525457,2055-07-07,279
2056,6.5617623,2056-06-04,247
2057,7.7892966,2057-06-29,271
2058,7.535419,2058-06-22,264
2059,11.768538,2059-06-22,264
2060,8.828161,2060-06-02,245
2061,6.291457,2061-05-21,232
2062,14.295676,2062-06-18,260
2063,7.0791836,2063-05-23,234
2064,13.61537,2064-05-31,243
2065,9.305059,2065-04-29,210
2066,10.896288,2066-05-08,219
2067,8.444132,2067-05-15,226
2068,7.5189795,2068-05-03,215
2069,11.470564,2069-05-15,226
2070,9.218116,2070-05-04,215
2071,11.517919,2071-04-20,201
2072,7.9976907,2072-04-01,183
2073,10.336235,2073-03-30,180
2074,14.178732,2074-04-10,191
2075,7.7280025,2075-02-20,142
2076,7.859942,2076-02-07,129
2077,7.7328477,2077-02-28,150
2078,6.9137235,2078-02-12,134
2079,9.819966,2079-03-17,167
2080,9.496578,2080-03-23,174
2081,9.820551,2081-01-30,121
2082,3.6262631,2082-02-22,144
2083,3.8608508,2083-01-14,105
2084,9.380311,2084-01-09,100
2085,10.375867,2085-01-30,121
2086,9.23841,2086-02-08,130
2087,7.4595246,2087-01-15,106
2088,5.2573423,2087-12-29,89
2089,3.3029096,2088-12-10,70
2090,4.8144093,2090-01-02,93
2091,6.793054,2091-01-05,96
2092,5.890706,2091-12-13,73
2093,5.6346755,2092-11-20,50
2094,6.5592217,2093-11-25,55
2095,7.2563496,2094-12-06,66
2096,5.1525016,2095-12-07,67
2097,5.5848584,2096-12-05,65
