,maxval,maxdate,maxarg
1981,59.63921,1981-04-08,189
1982,39.190845,1982-03-31,181
1983,56.521244,1983-03-24,174
1984,44.232647,1984-04-18,200
1985,58.64635,1985-04-15,196
1986,35.41293,1986-03-12,162
1987,53.76677,1987-04-03,184
1988,47.32757,1988-03-18,169
1989,43.103687,1989-02-11,133
1990,42.00893,1990-02-25,147
1991,50.253395,1991-02-15,137
1992,31.951899,1992-02-26,148
1993,46.65407,1993-02-10,132
1994,39.301476,1994-01-26,117
1995,52.413593,1995-02-07,129
1996,33.187252,1996-01-23,114
1997,30.003271,1996-12-23,83
1998,44.99913,1998-01-21,112
1999,35.699467,1998-12-31,91
2000,31.509966,2000-01-06,97
2001,43.00171,2000-12-30,90
2002,29.433887,2001-11-23,53
2003,49.926037,2003-01-01,92
2004,43.863903,2004-09-23,358
2005,58.686226,2004-12-17,77
2006,44.348423,2005-12-27,87
2007,49.32586,2006-11-30,60
2008,46.97108,2007-12-02,62
2009,34.342617,2008-11-05,35
2010,39.145126,2009-11-08,38
2011,50.15922,2011-09-30,364
2012,58.509945,2011-11-03,33
2013,49.05564,2012-11-11,41
2014,37.103725,2014-02-11,133
2015,44.832157,2015-02-16,138
2016,27.940008,2016-02-16,138
2017,53.12431,2017-01-31,122
2018,63.986843,2018-02-08,130
2019,31.695637,2019-01-11,102
2020,51.456367,2020-01-30,121
2021,57.282074,2021-01-04,95
2022,36.79444,2022-01-13,104
2023,45.96361,2023-01-12,103
2024,30.00722,2023-12-25,85
2025,39.251465,2025-01-03,94
2026,31.545135,2025-12-10,70
2027,46.643047,2026-11-27,57
2028,55.859295,2027-12-26,86
2029,26.2688,2028-12-05,65
2030,28.879087,2030-09-30,364
2031,45.917297,2030-12-09,69
2032,30.15613,2031-11-12,42
2033,40.6418,2033-09-30,364
2034,44.92678,2033-11-04,34
2035,45.910557,2034-10-28,27
2036,41.692066,2035-10-08,7
2037,28.228168,2036-10-14,13
2038,25.780842,2037-10-01,0
2039,45.740894,2039-09-30,364
2040,56.682205,2040-09-25,360
2041,57.301212,2040-10-23,22
2042,44.829746,2041-10-07,6
2043,20.08149,2043-09-10,344
2044,32.541664,2044-07-21,294
2045,33.687428,2045-09-16,350
2046,30.991856,2045-10-03,2
2047,30.712759,2047-08-24,327
2048,29.920996,2048-08-06,310
2049,34.15042,2049-08-28,331
2050,29.282309,2050-08-26,329
2051,32.10671,2051-07-01,273
2052,18.487936,2052-07-24,297
2053,28.328804,2053-06-19,261
2054,22.535402,2054-07-14,286
2055,25.656027,2055-07-23,295
2056,15.110218,2056-05-20,232
2057,32.84863,2057-07-04,276
2058,28.500988,2058-06-01,243
2059,10.489155,2059-05-01,212
2060,21.27496,2060-04-24,206
2061,35.51284,2061-06-20,262
2062,34.36902,2062-06-13,255
2063,19.237486,2063-04-21,202
2064,36.67259,2064-05-13,225
2065,33.24961,2065-04-29,210
2066,22.832567,2066-03-13,163
2067,17.131536,2067-05-11,222
2068,23.432137,2068-04-01,183
2069,17.91807,2069-02-25,147
2070,27.665176,2070-03-28,178
2071,15.577119,2071-03-31,181
2072,18.291601,2072-03-24,175
2073,23.198435,2073-03-17,167
2074,7.0721917,2074-02-20,142
2075,32.96501,2075-04-09,190
2076,37.141747,2076-02-05,127
2077,15.96171,2077-02-23,145
2078,10.378138,2078-01-26,117
2079,10.440373,2079-01-26,117
2080,11.643884,2080-02-27,149
2081,14.948038,2081-02-15,137
2082,3.375675,2081-12-06,66
2083,12.291989,2082-12-09,69
2084,21.2156,2084-02-12,134
2085,31.30444,2085-02-07,129
2086,9.382101,2085-11-06,36
2087,9.611724,2086-12-15,75
2088,9.687093,2087-12-15,75
2089,10.00817,2088-11-21,51
2090,10.943541,2089-11-11,41
2091,5.3713913,2090-10-20,19
2092,7.1049633,2091-11-05,35
2093,8.076497,2092-11-14,44
2094,11.739178,2094-09-30,364
2095,11.959713,2094-10-02,1
2096,20.174923,2095-12-13,73
2097,5.7637596,2097-08-30,333
