,maxval,maxdate,maxarg
1981,2.936729,1980-12-23,83
1982,5.405816,1982-01-08,99
1983,3.8916504,1983-04-24,205
1984,10.32866,1984-01-27,118
1985,2.1606686,1984-11-12,42
1986,3.6883318,1986-03-14,164
1987,10.343963,1987-02-22,144
1988,3.7350545,1987-12-10,70
1989,4.265004,1988-12-22,82
1990,5.4150753,1989-12-24,84
1991,2.905591,1991-02-04,126
1992,3.7750113,1991-11-18,48
1993,5.759951,1992-12-03,63
1994,8.089638,1994-09-29,363
1995,7.1077886,1994-10-01,0
1996,3.438254,1995-10-06,5
1997,1.7033464,1996-10-13,12
1998,5.8501,1998-01-01,92
1999,2.4759555,1998-10-13,12
2000,1.4920956,1999-11-13,43
2001,5.6090713,2001-09-28,362
2002,12.470662,2001-12-11,71
2003,4.325226,2003-09-07,341
2004,13.867533,2003-10-19,18
2005,2.3126616,2005-08-13,316
2006,2.2612958,2006-08-08,311
2007,5.0653315,2007-09-20,354
2008,4.4157867,2008-08-23,327
2009,3.433452,2009-08-11,314
2010,3.6599417,2010-07-25,297
2011,2.0151544,2010-10-31,30
2012,3.4673553,2012-08-12,316
2013,0.8402767,2013-06-19,261
2014,2.0710838,2014-09-30,364
2015,2.8605995,2014-12-09,69
2016,5.8451815,2015-10-19,18
2017,5.969344,2017-09-30,364
2018,6.642274,2017-10-14,13
2019,6.991749,2018-12-28,88
2020,1.9781674,2019-12-15,75
2021,3.6956336,2020-10-29,28
2022,2.6758168,2021-10-21,20
2023,4.164641,2022-11-16,46
2024,4.7914696,2023-12-01,61
2025,7.8416615,2025-09-24,358
2026,7.278813,2025-10-01,0
2027,2.5273678,2026-10-11,10
2028,3.852307,2028-08-19,323
2029,4.9865856,2029-09-19,353
2030,5.5487432,2029-10-05,4
2031,4.4924803,2031-09-20,354
2032,3.253602,2031-10-20,19
2033,4.8172626,2033-08-22,325
2034,1.3327819,2034-09-30,364
2035,3.8234992,2035-09-22,356
2036,1.7781808,2036-06-10,253
2037,1.1418592,2037-07-18,290
2038,15.820712,2038-09-03,337
2039,7.8199253,2038-10-01,0
2040,3.3570254,2040-08-06,310
2041,1.614115,2041-05-15,226
2042,2.8198135,2042-07-27,299
2043,1.7933412,2043-06-28,270
2044,1.2027193,2044-05-11,223
2045,1.9437988,2045-07-20,292
2046,2.0761838,2046-06-08,250
2047,6.1133184,2047-04-07,188
2048,5.4052253,2048-06-02,245
2049,0.3640052,2049-05-08,219
2050,0.6798363,2050-07-03,275
2051,4.0568066,2051-05-01,212
2052,1.3619454,2052-04-29,211
2053,8.165323,2053-04-12,193
2054,1.9722625,2054-06-02,244
2055,2.5142853,2055-05-25,236
2056,1.1808891,2056-04-23,205
2057,2.653625,2057-04-06,187
2058,1.4179999,2058-03-23,173
2059,1.7918372,2059-04-11,192
2060,3.9363444,2060-04-03,185
2061,1.413632,2061-02-27,149
2062,1.1897306,2062-03-23,173
2063,3.3108773,2063-03-27,177
2064,1.4086399,2064-04-07,189
2065,2.2318468,2065-01-22,113
2066,1.8278066,2066-05-07,218
2067,0.42290905,2067-03-24,174
2068,2.686909,2068-03-04,155
2069,1.2979398,2069-03-16,166
2070,1.6516463,2070-03-03,153
2071,0.79531074,2071-03-09,159
2072,3.7252324,2072-02-20,142
2073,0.48874253,2073-02-10,132
2074,7.3856745,2074-01-18,109
2075,2.108923,2075-01-29,120
2076,0.09991491,2075-12-26,86
2077,1.0947844,2077-02-13,135
2078,1.4020268,2077-11-16,46
2079,0.4337575,2078-12-09,69
2080,2.025753,2080-01-10,101
2081,1.013498,2081-01-07,98
2082,4.0574527,2082-02-06,128
2083,0.80256206,2082-12-01,61
2084,1.2705125,2083-12-31,91
2085,2.218319,2084-10-12,11
2086,1.3964372,2085-11-26,56
2087,3.828857,2086-11-21,51
2088,1.4404498,2087-12-03,63
2089,0.39733514,2089-08-11,314
2090,0.87221533,2089-10-06,5
2091,0.1813872,2090-11-18,48
2092,1.1747905,2091-11-22,52
2093,1.4747529,2093-09-28,362
2094,1.0675938,2093-10-18,17
2095,0.73229533,2094-11-23,53
2096,0.4061687,2095-10-07,6
2097,1.6410539,2097-08-14,317
