,maxval,maxdate,maxarg
1981,32.51469,1981-04-09,190
1982,65.325905,1982-04-26,207
1983,30.166405,1983-04-28,209
1984,19.05345,1984-05-02,214
1985,39.86692,1985-04-10,191
1986,23.879555,1986-03-30,180
1987,34.65859,1987-04-07,188
1988,17.681602,1988-03-16,167
1989,19.856705,1989-02-24,146
1990,36.71406,1990-03-10,160
1991,28.389708,1991-03-06,156
1992,27.988802,1992-03-19,170
1993,27.64335,1993-02-02,124
1994,22.68137,1994-01-28,119
1995,33.811543,1995-02-10,132
1996,25.764658,1996-01-29,120
1997,23.897743,1997-02-05,127
1998,32.63348,1998-01-22,113
1999,25.815725,1999-01-09,100
2000,23.822264,2000-01-05,96
2001,19.692476,2000-12-26,86
2002,26.747955,2002-01-03,94
2003,41.121067,2003-01-03,94
2004,38.67874,2003-12-11,71
2005,28.289417,2004-12-18,78
2006,40.351448,2005-12-15,75
2007,32.333088,2006-12-08,68
2008,32.90558,2008-09-30,365
2009,36.17719,2008-11-05,35
2010,24.890347,2009-11-26,56
2011,33.80449,2011-09-30,364
2012,36.908413,2011-10-26,25
2013,34.12464,2012-10-25,24
2014,25.967987,2014-02-05,127
2015,36.269527,2015-02-12,134
2016,22.751625,2016-02-13,135
2017,48.001907,2017-01-28,119
2018,34.171925,2018-02-01,123
2019,27.01672,2019-02-01,123
2020,21.558071,2020-01-02,93
2021,44.593246,2021-01-04,95
2022,27.115,2022-01-13,104
2023,42.9004,2023-01-19,110
2024,23.379164,2024-01-11,102
2025,35.826622,2024-12-29,89
2026,22.362055,2025-12-22,82
2027,19.158665,2026-11-21,51
2028,20.095531,2027-12-12,72
2029,27.889961,2028-11-30,60
2030,24.912731,2029-12-14,74
2031,17.772411,2030-11-14,44
2032,23.173946,2032-09-30,365
2033,36.055958,2033-09-30,364
2034,40.44446,2033-11-05,35
2035,30.374079,2034-11-03,33
2036,33.919907,2035-10-30,29
2037,34.872543,2037-09-30,364
2038,35.811543,2037-10-20,19
2039,46.072964,2039-09-30,364
2040,46.47582,2039-10-05,4
2041,33.14958,2040-10-04,3
2042,29.98502,2041-10-09,8
2043,21.766403,2042-10-01,0
2044,25.2943,2044-08-31,335
2045,23.364471,2045-09-07,341
2046,44.41511,2046-08-21,324
2047,45.363163,2047-08-16,319
2048,38.181744,2048-08-20,324
2049,30.45734,2049-08-11,314
2050,38.754208,2050-08-16,319
2051,31.149422,2051-07-24,296
2052,18.326344,2052-07-12,285
2053,32.717815,2053-07-07,279
2054,22.707764,2054-07-14,286
2055,21.258877,2055-07-12,284
2056,14.7748575,2056-06-18,261
2057,26.555765,2057-07-04,276
2058,26.164495,2058-06-09,251
2059,27.704582,2059-06-22,264
2060,24.267946,2060-06-03,246
2061,25.28826,2061-06-12,254
2062,53.43136,2062-05-28,239
2063,16.725023,2063-05-22,233
2064,33.989468,2064-05-19,231
2065,23.629864,2065-04-29,210
2066,34.531746,2066-05-09,220
2067,27.734087,2067-05-13,224
2068,24.52477,2068-05-06,218
2069,17.899023,2069-05-08,219
2070,17.615263,2070-03-29,179
2071,28.431961,2071-04-18,199
2072,29.252392,2072-04-19,201
2073,32.762295,2073-03-29,179
2074,24.443544,2074-04-04,185
2075,22.26608,2075-03-10,160
2076,34.064087,2076-03-01,152
2077,22.757889,2077-02-22,144
2078,19.978844,2078-02-10,132
2079,23.925087,2079-03-15,165
2080,27.24903,2080-03-23,174
2081,33.947067,2081-01-25,116
2082,9.098364,2082-01-07,98
2083,17.975529,2083-01-18,109
2084,21.681904,2084-01-05,96
2085,30.334646,2085-01-31,122
2086,18.390404,2086-02-07,129
2087,29.437845,2087-01-15,106
2088,26.320757,2087-12-27,87
2089,25.151041,2089-01-16,107
2090,12.285897,2090-09-28,362
2091,22.165796,2091-01-05,96
2092,21.20539,2092-09-30,365
2093,29.316677,2092-11-17,47
2094,16.00712,2093-12-13,73
2095,20.838812,2094-11-30,60
2096,14.950284,2095-12-02,62
2097,12.56792,2096-11-10,40
