,maxval,maxdate,maxarg
1981,16.617573,1981-03-27,177
1982,20.476408,1982-04-15,196
1983,10.680894,1983-03-26,176
1984,8.78642,1984-03-23,174
1985,17.75936,1985-04-04,185
1986,13.659495,1986-03-30,180
1987,15.9747505,1987-03-07,157
1988,4.992537,1988-02-01,123
1989,10.822624,1989-02-19,141
1990,14.49181,1990-02-26,148
1991,14.384831,1991-02-16,138
1992,11.904279,1992-01-31,122
1993,13.272006,1993-02-02,124
1994,10.670907,1994-01-26,117
1995,15.656377,1995-01-27,118
1996,8.201697,1996-01-21,112
1997,9.454194,1996-12-24,84
1998,12.688622,1998-01-14,105
1999,10.063651,1999-01-08,99
2000,7.3413258,1999-12-31,91
2001,9.403146,2000-12-26,86
2002,13.217485,2001-12-31,91
2003,19.23428,2003-01-02,93
2004,14.792218,2003-12-04,64
2005,10.291844,2004-12-18,78
2006,20.276289,2005-12-08,68
2007,14.262856,2006-12-07,67
2008,13.204541,2008-09-30,365
2009,14.105323,2008-10-27,26
2010,9.817477,2010-09-22,356
2011,16.014315,2010-11-23,53
2012,14.704702,2011-10-03,2
2013,13.079172,2012-10-10,9
2014,12.658192,2014-01-22,113
2015,12.982806,2015-02-11,133
2016,11.3211565,2016-02-05,127
2017,17.995394,2017-01-21,112
2018,11.856755,2018-01-31,122
2019,13.380625,2019-01-31,122
2020,9.300235,2020-01-02,93
2021,17.249537,2020-12-10,70
2022,14.509875,2022-01-11,102
2023,16.85922,2022-12-25,85
2024,11.318331,2024-01-11,102
2025,16.058443,2024-12-09,69
2026,6.9993057,2025-12-05,65
2027,10.6044,2026-11-15,45
2028,8.981475,2027-12-12,72
2029,13.033832,2028-11-20,50
2030,10.861813,2029-12-14,74
2031,8.629777,2030-11-11,41
2032,10.366707,2031-11-01,31
2033,16.136345,2033-09-30,364
2034,17.31042,2033-10-16,15
2035,15.172828,2035-09-30,364
2036,17.337437,2035-10-13,12
2037,16.260021,2037-09-27,361
2038,14.975712,2037-10-01,0
2039,20.874826,2039-09-30,364
2040,20.980936,2039-10-05,4
2041,13.856332,2041-08-29,332
2042,12.830611,2042-08-27,330
2043,8.891578,2043-08-18,321
2044,11.059829,2044-07-22,295
2045,11.946433,2045-08-18,321
2046,16.62102,2046-08-12,315
2047,14.544118,2047-08-16,319
2048,14.813598,2048-08-09,313
2049,7.8287015,2049-06-30,272
2050,15.389021,2050-07-22,294
2051,11.855567,2051-07-01,273
2052,6.314467,2052-06-18,261
2053,14.557671,2053-06-24,266
2054,10.057226,2054-07-13,285
2055,9.799586,2055-06-22,264
2056,4.790818,2056-06-02,245
2057,9.627405,2057-06-29,271
2058,11.360242,2058-06-08,250
2059,10.920455,2059-06-23,265
2060,11.774255,2060-05-24,236
2061,8.1550455,2061-04-14,195
2062,18.953402,2062-05-27,238
2063,6.015154,2063-05-23,234
2064,10.128864,2064-05-17,229
2065,7.903064,2065-04-07,188
2066,12.043183,2066-05-08,219
2067,5.245649,2067-04-17,198
2068,8.893852,2068-04-12,194
2069,9.079316,2069-05-08,219
2070,6.057844,2070-03-20,170
2071,9.393271,2071-04-18,199
2072,9.372923,2072-03-21,172
2073,11.272619,2073-03-28,178
2074,8.158974,2074-03-27,177
2075,8.141192,2075-02-07,129
2076,8.652315,2076-02-03,125
2077,8.8681,2077-02-21,143
2078,7.7994313,2078-02-07,129
2079,7.514159,2079-01-29,120
2080,9.775121,2080-03-23,174
2081,7.3563194,2081-01-25,116
2082,4.5233393,2082-01-06,97
2083,7.0185037,2083-01-13,104
2084,5.8063855,2083-12-15,75
2085,6.2687063,2084-12-28,88
2086,3.903824,2086-01-08,99
2087,4.7613783,2086-12-22,82
2088,7.5742917,2087-12-17,77
2089,7.2627945,2088-12-07,67
2090,3.155814,2090-09-27,361
2091,5.272106,2090-12-11,71
2092,7.889864,2091-12-13,73
2093,10.600785,2092-11-16,46
2094,3.141465,2094-09-30,364
2095,8.246508,2094-11-29,59
2096,4.7159142,2095-10-24,23
2097,4.9102154,2097-09-29,363
