,maxval,maxdate,maxarg
1981,40.290646,1981-03-24,174
1982,27.524887,1982-03-05,155
1983,22.963871,1983-01-24,115
1984,15.998648,1984-01-31,122
1985,40.90313,1985-03-07,157
1986,20.565315,1986-02-06,128
1987,31.220652,1987-03-26,176
1988,32.792538,1988-02-23,145
1989,8.472941,1988-12-22,82
1990,27.790314,1990-02-25,147
1991,26.567488,1990-12-11,71
1992,8.192762,1992-01-21,112
1993,37.11344,1993-01-28,119
1994,33.473534,1993-12-09,69
1995,45.217216,1995-01-15,106
1996,28.727535,1996-01-20,111
1997,14.6046505,1997-09-30,364
1998,29.175095,1997-12-04,64
1999,25.216225,1998-11-09,39
2000,11.009987,2000-09-23,358
2001,21.541428,2000-12-10,70
2002,18.35301,2002-09-25,359
2003,25.058937,2002-11-14,44
2004,19.285303,2004-09-23,358
2005,34.046585,2004-12-03,63
2006,36.046772,2006-09-30,364
2007,40.543255,2006-10-24,23
2008,30.725183,2007-10-24,23
2009,19.394125,2008-10-01,0
2010,30.611315,2010-09-23,357
2011,33.97427,2011-09-30,364
2012,34.21115,2011-10-01,0
2013,13.592901,2012-10-11,10
2014,16.838243,2014-01-14,105
2015,12.691068,2014-11-30,60
2016,17.551731,2015-12-02,62
2017,20.76556,2017-01-19,110
2018,28.780119,2018-01-31,122
2019,17.105831,2018-11-03,33
2020,18.361588,2019-11-25,55
2021,25.793526,2020-12-05,65
2022,18.67473,2022-01-10,101
2023,34.997044,2022-11-26,56
2024,22.6459,2024-09-30,365
2025,23.982645,2024-10-15,14
2026,19.799038,2025-11-30,60
2027,17.509418,2027-09-30,364
2028,20.128653,2027-11-26,56
2029,3.1869175,2029-08-20,323
2030,23.192305,2030-09-11,345
2031,24.09272,2030-11-03,33
2032,22.787983,2031-10-26,25
2033,12.314486,2033-09-21,355
2034,20.60962,2034-09-24,358
2035,24.2136,2034-10-28,27
2036,6.6342654,2035-10-01,0
2037,11.08288,2037-08-15,318
2038,2.0013523,2038-06-29,271
2039,8.5898075,2039-07-22,294
2040,26.428925,2040-08-29,333
2041,17.661528,2040-10-10,9
2042,4.5451107,2042-07-12,284
2043,4.517995,2043-05-31,242
2044,10.639345,2044-05-29,241
2045,4.8486724,2045-07-22,294
2046,19.35411,2046-07-04,276
2047,11.634897,2047-07-26,298
2048,5.097705,2048-06-20,263
2049,5.027335,2049-04-08,189
2050,3.2636092,2050-06-24,266
2051,20.646614,2051-06-16,258
2052,9.486622,2052-04-30,212
2053,19.818928,2053-06-08,250
2054,4.3682475,2054-04-09,190
2055,14.934722,2055-06-23,265
2056,4.8279305,2056-04-25,207
2057,13.757417,2057-05-22,233
2058,2.6705449,2058-07-10,282
2059,2.5634465,2059-02-18,140
2060,1.7888602,2060-03-05,156
2061,17.20769,2061-03-15,165
2062,16.365137,2062-03-31,181
2063,5.823533,2063-02-16,138
2064,7.669992,2064-02-09,131
2065,18.060394,2065-03-13,163
2066,16.587334,2066-03-12,162
2067,3.6834812,2066-12-20,80
2068,6.2205367,2068-02-15,137
2069,2.855798,2069-01-17,108
2070,10.184598,2070-03-06,156
2071,4.7248526,2071-03-26,176
2072,10.668655,2072-02-24,146
2073,5.808448,2073-03-13,163
2074,2.286552,2074-01-20,111
2075,11.750229,2075-02-07,129
2076,8.505365,2076-02-02,124
2077,4.488253,2077-02-17,139
2078,3.754202,2077-12-06,66
2079,3.525934,2078-12-07,67
2080,2.7521574,2079-12-06,66
2081,5.063712,2081-01-24,115
2082,1.6645871,2081-11-25,55
2083,3.2355764,2082-11-13,43
2084,3.095003,2084-01-02,93
2085,4.328555,2084-10-27,26
2086,1.670063,2085-10-29,28
2087,1.1403598,2086-10-02,1
2088,0.39030442,2088-09-17,352
2089,0.36352053,2089-09-29,363
2090,0.85640585,2089-10-10,9
2091,0.5529887,2091-08-31,334
2092,1.1300224,2091-12-09,69
2093,1.7890663,2092-11-02,32
2094,1.1514963,2094-09-28,362
2095,1.9047662,2095-08-09,312
2096,2.257672,2095-10-07,6
2097,5.679733,2097-08-30,333
