,maxval,maxdate,maxarg
1981,17.8114,1981-03-28,178
1982,22.839624,1982-04-14,195
1983,11.097537,1983-03-27,177
1984,6.3192973,1984-04-28,210
1985,11.333512,1985-04-04,185
1986,11.84764,1986-03-28,178
1987,11.873679,1987-03-07,157
1988,6.541782,1988-02-01,123
1989,6.61823,1989-02-11,133
1990,9.520464,1990-02-28,150
1991,18.661253,1991-02-15,137
1992,8.535738,1992-03-20,171
1993,12.6752205,1993-02-04,126
1994,7.061194,1994-01-26,117
1995,12.356602,1995-02-11,133
1996,7.102032,1996-01-23,114
1997,8.880208,1997-02-08,130
1998,7.615217,1998-01-01,92
1999,8.359701,1998-12-23,83
2000,8.595601,2000-01-01,92
2001,6.8164625,2000-12-26,86
2002,16.821606,2002-01-03,94
2003,14.951964,2003-01-03,94
2004,13.377336,2003-12-05,65
2005,5.2250156,2004-12-10,70
2006,12.26126,2005-12-09,69
2007,7.6262393,2007-09-30,364
2008,8.976928,2007-10-31,30
2009,6.2858305,2008-10-16,15
2010,8.835173,2009-11-03,33
2011,21.486233,2010-11-23,53
2012,10.746894,2011-10-01,0
2013,11.166932,2012-10-12,11
2014,7.0079083,2014-01-24,115
2015,8.252729,2015-01-28,119
2016,15.202608,2016-02-07,129
2017,11.243444,2017-01-20,111
2018,10.658044,2018-02-02,124
2019,22.308924,2019-02-01,123
2020,7.4030128,2019-12-26,86
2021,9.943206,2020-12-09,69
2022,8.011902,2022-01-13,104
2023,12.056829,2022-12-31,91
2024,12.659153,2024-01-11,102
2025,6.363266,2024-12-09,69
2026,4.6540365,2025-12-03,63
2027,4.0905776,2026-11-16,46
2028,9.515646,2027-11-28,58
2029,7.812392,2028-11-21,51
2030,7.7089024,2029-11-25,55
2031,9.654942,2030-11-11,41
2032,6.9700713,2031-10-31,30
2033,11.804545,2032-11-25,55
2034,8.208286,2033-10-17,16
2035,11.277629,2035-09-30,364
2036,13.372945,2035-10-11,10
2037,13.129065,2036-10-23,22
2038,9.31972,2038-09-28,362
2039,15.927708,2038-10-22,21
2040,10.693018,2040-09-11,346
2041,11.389052,2040-10-05,4
2042,7.171133,2042-08-28,331
2043,4.7984877,2043-08-29,332
2044,7.382591,2044-08-28,332
2045,11.910821,2045-09-29,363
2046,12.241265,2046-08-12,315
2047,12.146408,2047-08-17,320
2048,14.0613575,2048-08-10,314
2049,3.3878498,2049-06-28,270
2050,10.408075,2050-08-06,309
2051,8.021525,2051-06-30,272
2052,3.871964,2052-07-10,283
2053,6.0537863,2053-06-25,267
2054,9.163177,2054-07-12,284
2055,8.094098,2055-06-22,264
2056,3.7869773,2056-06-01,244
2057,10.525165,2057-06-29,271
2058,7.1086583,2058-06-10,252
2059,8.360609,2059-06-23,265
2060,9.139125,2060-05-26,238
2061,3.6908853,2061-03-12,162
2062,12.600016,2062-05-20,231
2063,6.949243,2063-05-23,234
2064,8.374342,2064-05-18,230
2065,4.7973013,2065-03-10,160
2066,7.105346,2066-05-08,219
2067,4.903994,2067-04-17,198
2068,6.017483,2068-05-07,219
2069,9.070059,2069-05-08,219
2070,5.232127,2070-03-21,171
2071,5.782423,2071-04-09,190
2072,7.048828,2072-03-28,179
2073,4.6799974,2073-03-20,170
2074,8.952007,2074-03-26,176
2075,5.1018624,2075-02-08,130
2076,4.2731705,2076-02-05,127
2077,2.1483414,2077-02-28,150
2078,5.0993886,2078-02-07,129
2079,8.242568,2079-03-17,167
2080,4.8527083,2080-03-23,174
2081,3.0695424,2081-01-25,116
2082,3.351936,2082-01-07,98
2083,5.850433,2083-01-11,102
2084,2.8145714,2084-02-21,143
2085,8.561004,2084-12-28,88
2086,4.798891,2086-02-07,129
2087,5.125191,2087-01-16,107
2088,2.4110444,2087-12-20,80
2089,2.08408,2088-12-07,67
2090,3.2799022,2089-12-17,77
2091,4.1234226,2091-01-05,96
2092,3.282841,2091-12-29,89
2093,3.464811,2092-11-04,34
2094,2.7014978,2093-11-22,52
2095,8.638388,2094-11-29,59
2096,2.6178665,2095-10-24,23
2097,3.4319818,2096-11-02,32
