,maxval,maxdate,maxarg
1981,61.291187,1981-03-25,175
1982,41.38015,1982-02-20,142
1983,36.675835,1983-03-23,173
1984,13.767649,1984-01-31,122
1985,50.783844,1985-03-25,175
1986,24.56271,1986-03-12,162
1987,44.718018,1987-03-11,161
1988,60.463013,1988-02-23,145
1989,14.173255,1989-02-09,131
1990,43.68344,1990-01-22,113
1991,28.749832,1991-02-03,125
1992,12.547551,1992-01-21,112
1993,25.84459,1993-01-28,119
1994,26.103838,1993-12-09,69
1995,55.490646,1995-01-03,94
1996,24.036564,1996-01-22,113
1997,15.379474,1997-09-30,364
1998,30.480871,1997-12-29,89
1999,33.09034,1998-11-08,38
2000,10.878033,2000-09-21,356
2001,25.563871,2000-12-19,79
2002,16.753853,2002-08-25,328
2003,25.464579,2002-11-26,56
2004,24.76423,2003-12-10,70
2005,33.87354,2004-12-02,62
2006,27.868374,2006-09-28,362
2007,34.948814,2006-11-07,37
2008,32.633293,2008-09-21,356
2009,28.988794,2008-10-24,23
2010,33.632957,2010-09-23,357
2011,37.023235,2010-10-28,27
2012,22.592505,2012-08-30,334
2013,17.931437,2012-10-11,10
2014,13.390722,2013-12-07,67
2015,17.121561,2015-02-09,131
2016,13.649334,2015-11-28,58
2017,21.840923,2017-01-21,112
2018,36.044342,2018-01-31,122
2019,23.194546,2018-11-03,33
2020,15.622286,2020-01-08,99
2021,40.8217,2021-01-03,94
2022,17.56204,2022-09-30,364
2023,50.45199,2022-11-26,56
2024,16.955742,2024-09-13,348
2025,14.2794485,2024-10-14,13
2026,33.028633,2025-12-02,62
2027,15.647106,2027-09-30,364
2028,22.782011,2027-12-15,75
2029,4.6501412,2028-10-30,29
2030,17.956003,2030-08-18,321
2031,30.684767,2030-11-21,51
2032,22.26308,2031-10-26,25
2033,19.137463,2033-09-23,357
2034,17.581568,2033-10-01,0
2035,19.432077,2034-10-25,24
2036,8.859457,2036-08-22,326
2037,30.039314,2037-06-21,263
2038,5.1788425,2037-10-01,0
2039,11.129572,2039-09-23,357
2040,13.448426,2040-09-17,352
2041,8.05272,2040-10-02,1
2042,2.2590818,2042-09-15,349
2043,6.357739,2043-05-08,219
2044,7.0239887,2044-05-13,225
2045,16.293495,2045-07-25,297
2046,37.895523,2046-07-04,276
2047,27.549248,2047-07-24,296
2048,6.4378357,2048-06-15,258
2049,7.674633,2049-04-10,191
2050,5.0377493,2050-07-22,294
2051,24.228172,2051-06-16,258
2052,4.9766083,2052-03-23,174
2053,19.754932,2053-04-18,199
2054,4.5890083,2054-04-10,191
2055,16.397934,2055-06-29,271
2056,4.541211,2056-03-01,152
2057,24.81688,2057-06-25,267
2058,3.0466342,2058-05-13,224
2059,5.8230968,2059-04-29,210
2060,1.7151848,2060-05-13,225
2061,6.6332808,2061-05-31,242
2062,16.464972,2062-03-31,181
2063,6.172592,2063-02-12,134
2064,6.439306,2064-02-01,123
2065,8.397178,2065-04-05,186
2066,13.571302,2066-03-11,161
2067,5.3466454,2066-12-21,81
2068,0.84216064,2068-01-16,107
2069,1.1860167,2069-01-16,107
2070,16.068457,2070-03-21,171
2071,7.9973836,2071-03-30,180
2072,13.229527,2072-02-23,145
2073,11.108694,2072-12-10,70
2074,4.1762137,2074-01-04,95
2075,7.476261,2075-01-03,94
2076,12.189217,2076-02-01,123
2077,3.2466035,2077-02-21,143
2078,3.6231067,2077-11-21,51
2079,6.55491,2078-11-09,39
2080,6.2114944,2079-12-06,66
2081,7.372585,2081-01-24,115
2082,1.3572652,2081-11-13,43
2083,0.87289995,2082-12-19,79
2084,5.964152,2083-12-15,75
2085,2.671565,2084-12-03,63
2086,2.8821507,2085-10-28,27
2087,0.61579305,2086-11-21,51
2088,1.1148922,2087-11-29,59
2089,0.72764045,2088-11-29,59
2090,0.9389534,2089-12-22,82
2091,0.258233,2090-11-30,60
2092,2.0347626,2091-10-14,13
2093,1.6683041,2092-12-26,86
2094,1.9022565,2094-09-27,361
2095,1.5761318,2095-08-08,311
2096,3.911837,2095-10-19,18
2097,3.7655418,2097-08-15,318
