,maxval,maxdate,maxarg
1981,11.230805,1981-03-24,174
1982,9.185183,1982-02-21,143
1983,1.6440266,1983-01-02,93
1984,1.9974887,1984-01-18,109
1985,10.010636,1985-02-22,144
1986,5.709892,1986-02-07,129
1987,8.858466,1987-02-06,128
1988,5.1333256,1988-01-19,110
1989,1.3800001,1988-12-25,85
1990,10.510403,1990-01-18,109
1991,2.6261737,1990-11-08,38
1992,1.0653,1991-11-25,55
1993,4.3261566,1992-12-15,75
1994,5.3953876,1993-12-09,69
1995,8.080482,1994-12-14,74
1996,2.105395,1995-10-30,29
1997,5.3963494,1997-09-30,364
1998,9.135759,1997-12-02,62
1999,5.3691216,1998-11-08,38
2000,1.9041867,1999-11-17,47
2001,2.6123617,2001-09-29,363
2002,4.357181,2001-11-12,42
2003,4.0762596,2002-10-29,28
2004,7.6510987,2004-09-25,360
2005,7.626042,2004-10-04,3
2006,6.7435904,2005-10-06,5
2007,7.193655,2006-10-14,13
2008,4.7198505,2008-08-26,330
2009,3.1061778,2008-10-01,0
2010,10.670727,2010-09-09,343
2011,7.278196,2010-10-05,4
2012,2.723386,2012-08-05,309
2013,0.82001406,2013-07-06,278
2014,7.192907,2013-12-15,75
2015,3.5035305,2015-01-23,114
2016,4.194039,2015-12-01,61
2017,10.199615,2016-11-30,60
2018,4.272681,2017-11-25,55
2019,3.0151577,2018-10-21,20
2020,1.4977257,2020-09-30,365
2021,9.637629,2020-11-09,39
2022,1.249926,2022-08-11,314
2023,6.245132,2022-11-26,56
2024,5.972043,2024-09-12,347
2025,5.310611,2024-10-01,0
2026,3.2118325,2025-10-01,0
2027,4.6085176,2027-09-30,364
2028,4.6511025,2027-10-08,7
2029,2.1492515,2029-09-17,351
2030,3.7172177,2030-08-18,321
2031,4.4051,2031-09-27,361
2032,4.098162,2031-10-01,0
2033,6.765252,2033-09-17,351
2034,6.231475,2033-10-09,8
2035,2.0725298,2035-09-23,357
2036,1.391322,2036-08-22,326
2037,4.4815164,2037-07-29,301
2038,0.855234,2038-06-29,271
2039,2.5362897,2039-05-15,226
2040,2.1342635,2040-08-06,310
2041,1.1808459,2041-05-17,228
2042,0.88865936,2042-05-31,242
2043,1.651845,2043-05-07,218
2044,2.359895,2044-06-02,245
2045,2.4169736,2045-07-21,293
2046,6.545602,2046-07-08,280
2047,3.1893413,2047-06-06,248
2048,2.8290648,2048-06-02,245
2049,1.0744252,2049-05-07,218
2050,2.1031666,2050-03-28,178
2051,2.2076447,2051-05-11,222
2052,1.5388641,2052-03-23,174
2053,3.2190366,2053-04-22,203
2054,3.3498526,2054-04-10,191
2055,2.55594,2055-03-10,160
2056,1.6586407,2056-03-03,154
2057,3.7145536,2057-05-22,233
2058,1.9456671,2058-06-03,245
2059,0.68738514,2059-02-28,150
2060,0.72914684,2060-03-14,165
2061,3.1971416,2061-03-12,162
2062,2.5876408,2062-03-26,176
2063,1.3004628,2063-03-16,166
2064,1.1176025,2064-01-31,122
2065,2.385381,2065-03-11,161
2066,2.217626,2066-01-11,102
2067,0.4669484,2067-01-17,108
2068,1.4107438,2068-01-22,113
2069,0.53700686,2069-01-18,109
2070,2.0058296,2070-02-13,135
2071,2.3439345,2071-01-14,105
2072,3.7665288,2072-02-19,141
2073,1.681984,2073-02-11,133
2074,1.1562829,2074-02-18,140
2075,1.2786716,2074-11-03,33
2076,1.3570782,2076-01-29,120
2077,1.859481,2076-12-10,70
2078,1.985154,2077-11-23,53
2079,1.9582785,2078-11-15,45
2080,0.7465565,2079-12-26,86
2081,0.87784857,2081-01-10,101
2082,0.37198612,2081-12-01,61
2083,0.6461091,2082-12-20,80
2084,1.4034479,2083-12-04,64
2085,0.9218091,2084-10-14,13
2086,1.6518439,2085-10-30,29
2087,0.6813299,2086-10-18,17
2088,1.6362863,2087-12-01,61
2089,0.5245587,2088-10-06,5
2090,0.3497862,2090-09-14,348
2091,0.29118758,2091-08-24,327
2092,0.50753695,2091-10-14,13
2093,0.7694554,2093-09-27,361
2094,0.51250625,2094-09-04,338
2095,0.60164046,2095-08-10,313
2096,0.602118,2095-10-07,6
2097,1.1080754,2097-09-30,364
