,maxval,maxdate,maxarg
1981,37.70821,1981-03-25,175
1982,35.717304,1982-03-08,158
1983,31.448978,1983-03-01,151
1984,21.786295,1984-02-04,126
1985,38.89562,1985-03-24,174
1986,13.795787,1986-02-06,128
1987,31.011103,1987-03-16,166
1988,34.280895,1988-02-23,145
1989,18.782047,1989-02-03,125
1990,24.927057,1990-02-19,141
1991,19.020355,1991-02-03,125
1992,12.950935,1992-01-24,115
1993,23.030739,1993-02-02,124
1994,21.357906,1994-01-08,99
1995,42.162518,1995-01-15,106
1996,18.155321,1996-01-22,113
1997,11.129693,1996-11-18,48
1998,29.832346,1997-12-11,71
1999,13.402987,1998-11-19,49
2000,10.273476,2000-09-24,359
2001,17.767069,2000-12-19,79
2002,18.801577,2002-09-30,364
2003,27.033943,2002-11-29,59
2004,34.74305,2003-12-10,70
2005,36.471058,2004-12-04,64
2006,26.997877,2005-11-18,48
2007,32.400005,2006-10-27,26
2008,22.036839,2007-10-31,30
2009,25.179987,2008-10-20,19
2010,23.517532,2009-10-18,17
2011,24.679464,2011-09-30,364
2012,28.01505,2012-09-09,344
2013,28.175714,2012-10-18,17
2014,13.239838,2014-01-16,107
2015,23.301363,2014-12-18,78
2016,14.530614,2016-01-13,104
2017,27.503597,2017-01-21,112
2018,40.07795,2018-02-03,125
2019,17.594769,2018-11-21,51
2020,20.860455,2019-11-26,56
2021,37.172665,2020-12-18,78
2022,19.225365,2022-09-30,364
2023,32.32449,2022-11-27,57
2024,16.134924,2024-09-30,365
2025,21.347067,2024-11-23,53
2026,21.375366,2025-12-05,65
2027,17.48222,2027-09-30,364
2028,21.792156,2027-12-15,75
2029,11.525476,2028-10-31,30
2030,15.414645,2030-09-30,364
2031,21.252987,2030-11-11,41
2032,16.042995,2031-11-01,31
2033,21.002127,2033-09-24,358
2034,26.107002,2034-09-30,364
2035,32.319176,2034-10-28,27
2036,21.702019,2035-10-01,0
2037,15.7345,2037-08-18,321
2038,6.9410295,2038-07-15,287
2039,19.191095,2039-09-30,364
2040,22.60467,2040-09-01,336
2041,18.401028,2040-10-02,1
2042,12.463776,2042-07-12,284
2043,3.758985,2043-06-11,253
2044,14.378889,2044-07-02,275
2045,10.737893,2045-08-17,320
2046,23.245352,2046-07-11,283
2047,17.870226,2047-07-26,298
2048,7.8204107,2048-06-21,264
2049,6.434647,2049-06-01,243
2050,5.065181,2050-07-08,280
2051,21.299986,2051-06-24,266
2052,5.97665,2052-05-23,235
2053,16.785078,2053-06-11,253
2054,5.452418,2054-07-13,285
2055,10.154549,2055-06-29,271
2056,3.407931,2056-04-29,211
2057,14.57717,2057-05-24,235
2058,6.0577507,2058-05-17,228
2059,6.986035,2059-03-03,153
2060,1.492502,2060-04-09,191
2061,10.194949,2061-03-15,165
2062,18.917625,2062-04-01,182
2063,12.675943,2063-02-19,141
2064,10.475717,2064-04-23,205
2065,11.130593,2065-04-04,185
2066,16.751406,2066-03-13,163
2067,3.368485,2067-04-10,191
2068,5.8327193,2068-02-18,140
2069,1.7130952,2068-12-18,78
2070,15.142591,2070-03-24,174
2071,4.946298,2071-02-03,125
2072,9.0002365,2072-03-25,176
2073,7.7291017,2073-03-18,168
2074,5.4463954,2074-01-21,112
2075,11.037962,2075-02-07,129
2076,9.9052,2076-02-02,124
2077,1.641395,2076-12-17,77
2078,2.7752938,2077-12-06,66
2079,3.2528722,2078-12-20,80
2080,6.3566213,2080-01-20,111
2081,5.009926,2080-11-30,60
2082,1.374997,2081-11-25,55
2083,2.50085,2083-09-27,361
2084,4.836648,2083-12-16,76
2085,8.976866,2084-12-31,91
2086,3.2289908,2085-10-16,15
2087,1.4382478,2086-12-10,70
2088,1.107001,2087-10-23,22
2089,0.95579606,2088-11-30,60
2090,2.76966,2089-10-27,26
2091,1.8035812,2090-10-08,7
2092,0.9850448,2091-10-15,14
2093,1.756387,2092-11-01,31
2094,3.9542549,2094-09-30,364
2095,4.092962,2094-10-02,1
2096,5.561154,2095-11-23,53
2097,3.6466377,2096-11-10,40
