,maxval,maxdate,maxarg
1981,21.967876,1981-03-23,173
1982,23.139812,1982-03-04,154
1983,5.2030015,1983-01-22,113
1984,5.7040114,1984-01-31,122
1985,23.25862,1985-03-03,153
1986,15.570097,1986-02-21,143
1987,21.078106,1987-03-01,151
1988,12.461468,1988-01-28,119
1989,1.7680873,1989-09-30,364
1990,24.5665,1990-01-18,109
1991,14.652432,1991-01-01,92
1992,19.933285,1992-01-04,95
1993,6.8491945,1992-12-06,66
1994,9.435091,1994-09-30,364
1995,17.419893,1994-12-11,71
1996,19.106897,1996-01-11,102
1997,9.276317,1997-09-30,364
1998,18.261564,1997-12-31,91
1999,11.040186,1998-11-18,48
2000,7.6379366,1999-11-24,54
2001,7.3087144,2001-09-28,362
2002,11.812379,2001-11-19,49
2003,11.433801,2002-11-25,55
2004,13.251535,2004-09-30,365
2005,13.272598,2004-10-06,5
2006,17.274048,2005-10-08,7
2007,12.644422,2006-10-11,10
2008,19.870142,2008-09-21,356
2009,18.526285,2008-10-01,0
2010,15.649457,2010-09-09,343
2011,18.36709,2010-10-30,29
2012,16.584919,2012-08-27,331
2013,13.643049,2012-10-05,4
2014,8.744255,2013-12-15,75
2015,5.546443,2015-09-30,364
2016,10.259236,2015-11-23,53
2017,18.635136,2016-11-29,59
2018,10.136237,2017-11-25,55
2019,3.853707,2019-01-04,95
2020,5.115942,2020-09-30,365
2021,23.16594,2020-11-06,36
2022,6.15738,2022-09-12,346
2023,19.399603,2022-12-24,84
2024,5.795875,2024-09-30,365
2025,8.903115,2025-09-29,363
2026,16.823254,2025-12-02,62
2027,5.892822,2027-09-30,364
2028,6.0082994,2027-10-08,7
2029,3.61787,2029-09-27,361
2030,4.4915385,2029-10-04,3
2031,4.0887547,2031-09-27,361
2032,12.749961,2032-09-25,360
2033,16.714714,2033-09-17,351
2034,17.012281,2033-10-09,8
2035,4.227861,2034-10-09,8
2036,6.610108,2036-08-22,326
2037,7.9537935,2037-07-25,297
2038,4.7153897,2038-09-06,340
2039,12.826812,2039-08-12,315
2040,9.992234,2040-09-15,350
2041,2.3009984,2041-08-11,314
2042,1.8873724,2042-07-11,283
2043,2.923116,2043-07-18,290
2044,7.6281805,2044-06-22,265
2045,4.9285336,2045-07-25,297
2046,8.946233,2046-06-19,261
2047,10.034432,2047-07-19,291
2048,13.134101,2048-07-06,279
2049,4.0580664,2049-06-23,265
2050,3.419886,2050-07-02,274
2051,3.3187,2051-05-16,227
2052,2.2805147,2052-03-19,170
2053,3.7481127,2053-05-27,238
2054,5.7980595,2054-04-08,189
2055,5.9828873,2055-05-24,235
2056,1.5145341,2056-03-04,155
2057,12.433997,2057-07-04,276
2058,6.0682616,2058-05-13,224
2059,5.567935,2059-04-30,211
2060,2.3021834,2060-03-14,165
2061,4.9595475,2061-05-12,223
2062,9.776732,2062-03-30,180
2063,1.8990934,2063-04-19,200
2064,3.1854327,2064-01-30,121
2065,2.513909,2065-03-29,179
2066,3.3221703,2066-03-08,158
2067,3.830875,2067-03-21,171
2068,3.3775356,2068-01-21,112
2069,3.156783,2069-02-21,143
2070,7.33328,2070-03-02,152
2071,4.583489,2071-01-12,103
2072,11.57869,2072-02-23,145
2073,4.606575,2072-12-10,70
2074,9.5659485,2074-02-18,140
2075,3.8984666,2075-01-08,99
2076,2.5020373,2076-01-19,110
2077,2.2875557,2077-02-12,134
2078,1.3164126,2077-12-21,81
2079,5.4547358,2079-01-10,101
2080,1.9656587,2079-12-25,85
2081,2.2873247,2080-10-15,14
2082,2.3739748,2081-11-14,44
2083,1.5426347,2082-11-17,47
2084,2.4334686,2083-12-03,63
2085,2.4751687,2084-11-11,41
2086,2.330634,2085-10-28,27
2087,7.020726,2086-11-23,53
2088,3.3686738,2087-12-03,63
2089,0.9792659,2088-12-05,65
2090,1.1624063,2090-09-12,346
2091,1.2228383,2090-11-16,46
2092,4.198445,2091-12-12,72
2093,1.1091167,2093-09-27,361
2094,1.690695,2094-09-30,364
2095,2.1088755,2094-10-15,14
2096,1.4178427,2095-10-18,17
2097,2.4019556,2097-09-30,364
