,maxval,maxdate,maxarg
1981,32.671146,1981-03-24,174
1982,19.580368,1982-02-19,141
1983,9.471799,1983-01-24,115
1984,4.2102685,1984-01-31,122
1985,22.83263,1985-03-25,175
1986,12.560999,1986-02-06,128
1987,21.946646,1987-03-01,151
1988,29.304415,1988-01-27,118
1989,2.7461588,1988-12-22,82
1990,24.434225,1990-01-19,110
1991,12.029196,1990-11-08,38
1992,6.15977,1992-01-04,95
1993,11.332852,1992-12-07,67
1994,18.57853,1993-12-09,69
1995,21.60249,1995-01-02,93
1996,14.443722,1996-01-21,112
1997,11.892217,1997-09-30,364
1998,16.37825,1997-12-04,64
1999,20.962027,1998-11-08,38
2000,6.3758187,1999-11-24,54
2001,10.6113615,2001-09-29,363
2002,11.306747,2002-08-24,327
2003,8.935796,2002-10-27,26
2004,13.564778,2004-09-25,360
2005,15.240775,2004-11-28,58
2006,9.358323,2006-09-28,362
2007,10.220599,2007-08-30,333
2008,18.39748,2008-09-21,356
2009,14.495964,2008-10-01,0
2010,28.044626,2010-09-09,343
2011,27.656017,2010-10-27,26
2012,12.69274,2012-08-25,329
2013,6.2898164,2012-10-09,8
2014,11.958745,2013-12-06,66
2015,13.928187,2015-02-07,129
2016,11.396869,2015-10-29,28
2017,21.40105,2016-11-30,60
2018,18.96402,2018-01-30,121
2019,12.65748,2018-11-03,33
2020,6.037732,2020-09-30,365
2021,19.56759,2020-11-05,35
2022,9.490221,2022-09-11,345
2023,18.36146,2022-11-24,54
2024,12.043495,2024-09-11,346
2025,11.399059,2025-09-28,362
2026,15.4869,2025-12-04,64
2027,10.42992,2027-09-30,364
2028,13.533558,2027-12-10,70
2029,2.347705,2028-10-23,22
2030,9.309945,2030-08-17,320
2031,10.102913,2031-09-25,359
2032,8.191372,2031-10-01,0
2033,9.938271,2033-06-28,270
2034,7.2266827,2034-07-19,291
2035,6.2769766,2034-10-25,24
2036,2.0066764,2036-08-16,320
2037,9.87045,2037-06-22,264
2038,1.4091485,2038-09-01,335
2039,4.0435934,2039-05-13,224
2040,13.618249,2040-09-17,352
2041,7.7254195,2041-05-16,227
2042,2.1183875,2042-09-15,349
2043,3.8372772,2043-05-06,217
2044,5.832365,2044-05-29,241
2045,9.466417,2045-07-25,297
2046,12.219599,2046-06-26,268
2047,6.8448877,2047-07-22,294
2048,3.5880208,2048-06-15,258
2049,3.944587,2049-04-06,187
2050,3.1993077,2050-07-21,293
2051,10.09772,2051-05-11,222
2052,5.086055,2052-03-22,173
2053,10.066596,2053-04-17,198
2054,3.1333106,2054-04-06,187
2055,7.7413335,2055-05-01,212
2056,2.553434,2056-02-29,151
2057,11.437734,2057-05-23,234
2058,1.8732338,2058-06-01,243
2059,4.394853,2059-04-30,211
2060,2.1417718,2060-04-04,186
2061,14.313932,2061-03-08,158
2062,8.86987,2062-03-03,153
2063,2.5804176,2063-02-11,133
2064,4.4420385,2064-02-01,123
2065,5.2009425,2065-03-30,180
2066,3.856725,2066-02-21,143
2067,1.4753857,2066-12-16,76
2068,0.8795431,2068-03-31,182
2069,1.3206463,2069-01-17,108
2070,11.684686,2070-02-19,141
2071,4.7358074,2071-03-29,179
2072,7.7072563,2072-02-17,139
2073,3.4121506,2072-12-10,70
2074,3.8997328,2074-01-19,110
2075,3.224035,2074-12-29,89
2076,4.513712,2076-01-29,120
2077,2.1444616,2077-02-20,142
2078,4.2031384,2077-11-17,47
2079,5.7572913,2078-11-06,36
2080,1.7481323,2080-01-16,107
2081,1.5589094,2080-11-25,55
2082,1.992077,2081-11-13,43
2083,0.6988763,2082-12-19,79
2084,2.186919,2083-12-14,74
2085,2.3263133,2084-10-14,13
2086,3.8609743,2085-10-28,27
2087,0.51152307,2086-11-22,52
2088,0.4889217,2087-11-29,59
2089,0.4911166,2088-11-29,59
2090,0.0017691414,2089-12-19,79
2091,0.10405749,2090-11-29,59
2092,1.7946405,2091-11-26,56
2093,0.3528945,2092-10-21,20
2094,0.63309234,2093-11-18,48
2095,2.0698004,2095-08-09,312
2096,1.5516692,2095-10-19,18
2097,2.3330734,2097-08-13,316
