,maxval,maxdate,maxarg
1981,25.949137,1981-03-24,174
1982,14.998587,1982-02-20,142
1983,14.673411,1983-01-22,113
1984,5.1059384,1983-12-13,73
1985,19.47913,1985-03-08,158
1986,4.12537,1985-12-04,64
1987,12.628799,1987-03-26,176
1988,23.452078,1988-02-23,145
1989,6.0342436,1989-02-03,125
1990,8.29242,1990-01-22,113
1991,4.284721,1990-11-01,31
1992,2.4060214,1992-01-05,96
1993,19.45509,1993-01-28,119
1994,21.820763,1993-12-08,68
1995,28.419819,1995-01-15,106
1996,9.390732,1996-01-19,110
1997,8.058705,1997-09-30,364
1998,11.74654,1997-12-05,65
1999,15.344339,1998-11-08,38
2000,4.5219383,2000-09-14,349
2001,9.66837,2000-11-26,56
2002,6.255556,2002-08-26,329
2003,5.2086735,2003-08-13,316
2004,8.116103,2003-11-03,33
2005,20.193336,2004-12-02,62
2006,12.860957,2006-09-29,363
2007,17.207266,2007-08-31,334
2008,16.855387,2007-10-10,9
2009,7.9098024,2009-09-02,336
2010,8.704405,2010-09-06,340
2011,9.684444,2011-09-30,364
2012,9.710882,2011-10-01,0
2013,2.742003,2012-10-15,14
2014,2.3889792,2014-09-28,362
2015,5.788408,2015-02-04,126
2016,2.0096707,2015-10-23,22
2017,6.6684837,2017-09-08,342
2018,16.781504,2017-11-02,32
2019,4.9664836,2018-11-04,34
2020,7.5372553,2020-09-30,365
2021,14.133051,2020-11-03,33
2022,8.372805,2022-01-09,100
2023,15.183276,2022-11-25,55
2024,9.154603,2024-09-12,347
2025,6.0152574,2025-09-20,354
2026,8.692566,2025-12-02,62
2027,7.4586687,2027-08-24,327
2028,6.3621135,2027-10-29,28
2029,1.4480853,2029-07-11,283
2030,9.210304,2030-08-17,320
2031,7.744927,2031-09-16,350
2032,8.8207655,2031-10-26,25
2033,4.970246,2033-06-28,270
2034,3.9446363,2034-09-23,357
2035,6.357914,2034-10-28,27
2036,4.8859987,2036-08-22,326
2037,5.6558414,2037-06-19,261
2038,1.1205115,2038-05-18,229
2039,8.475341,2039-09-22,356
2040,7.1802483,2039-10-01,0
2041,3.1346824,2041-04-17,198
2042,3.2288156,2042-06-10,252
2043,1.6142398,2043-05-08,219
2044,4.403206,2044-05-13,225
2045,5.338484,2045-07-25,297
2046,10.206598,2046-06-22,264
2047,5.6987343,2047-07-23,295
2048,0.98022646,2048-05-16,228
2049,3.1984515,2049-04-04,185
2050,2.7601216,2050-06-28,270
2051,8.590755,2051-05-19,230
2052,5.0644827,2052-04-30,212
2053,7.2067857,2053-04-11,192
2054,1.0792106,2054-07-11,283
2055,3.876371,2055-06-29,271
2056,2.3477886,2056-03-01,152
2057,5.9153047,2057-05-23,234
2058,1.8920366,2058-05-31,242
2059,1.5274029,2059-02-27,149
2060,0.5861205,2060-04-07,189
2061,3.3865862,2061-02-26,148
2062,3.028234,2062-03-31,181
2063,3.7386215,2063-02-15,137
2064,3.4144976,2064-02-09,131
2065,3.8326797,2065-03-07,157
2066,5.9463344,2066-03-11,161
2067,2.9007063,2066-12-19,79
2068,0.22242983,2068-03-04,155
2069,0.049712002,2069-04-05,186
2070,3.38364,2070-03-23,173
2071,0.96831477,2071-03-16,166
2072,4.8259993,2072-02-15,137
2073,1.824515,2073-02-21,143
2074,1.0914279,2074-01-19,110
2075,2.6086428,2075-03-09,159
2076,3.9366164,2076-03-02,153
2077,1.9970034,2076-12-07,67
2078,1.5438486,2077-12-31,91
2079,1.4017861,2079-01-22,113
2080,1.8811469,2079-12-05,65
2081,1.9677279,2080-11-28,58
2082,2.0092134,2081-11-23,53
2083,0.60627955,2082-11-12,42
2084,4.0299425,2083-12-15,75
2085,1.4995731,2084-11-27,57
2086,0.42764407,2085-11-28,58
2087,0.1530275,2086-10-03,2
2088,0.004291107,2087-12-08,68
2089,0.21494727,2088-10-27,26
2090,0.9661008,2089-10-09,8
2091,0.022194518,2090-12-14,74
2092,0.31722355,2091-11-26,56
2093,1.1398988,2092-11-01,31
2094,1.3016708,2094-09-28,362
2095,1.1525528,2094-10-01,0
2096,2.598589,2095-11-11,41
2097,1.5950874,2097-08-12,315
