,maxval,maxdate,maxarg
1981,19.165497,1981-03-24,174
1982,30.210413,1982-04-23,204
1983,16.92285,1983-03-26,176
1984,14.013255,1984-03-22,173
1985,22.296051,1985-03-08,158
1986,19.592575,1986-03-30,180
1987,22.654781,1987-03-14,164
1988,10.631093,1988-02-20,142
1989,15.183211,1989-02-24,146
1990,20.733335,1990-02-26,148
1991,17.085287,1991-02-16,138
1992,18.20423,1992-02-13,135
1993,20.538568,1993-02-02,124
1994,12.589897,1994-01-17,108
1995,21.530354,1995-01-28,119
1996,18.331173,1996-01-21,112
1997,14.626009,1996-12-24,84
1998,21.133726,1998-01-14,105
1999,20.453165,1999-01-08,99
2000,10.72224,1999-12-12,72
2001,14.015049,2000-12-26,86
2002,21.6769,2002-01-04,95
2003,28.942656,2003-01-02,93
2004,19.335653,2003-12-05,65
2005,12.800175,2004-11-29,59
2006,22.164364,2005-12-06,66
2007,12.599095,2006-11-09,39
2008,17.056719,2008-09-30,365
2009,19.304617,2008-10-24,23
2010,22.770588,2009-11-07,37
2011,21.051144,2010-11-22,52
2012,17.745697,2011-10-04,3
2013,17.859283,2012-10-10,9
2014,15.587612,2014-01-22,113
2015,24.115656,2015-02-11,133
2016,18.224586,2016-02-10,132
2017,22.949448,2017-01-21,112
2018,12.878405,2018-01-31,122
2019,20.51843,2019-02-06,128
2020,10.68585,2020-01-01,92
2021,21.57787,2020-12-11,71
2022,20.46124,2022-01-14,105
2023,30.609463,2023-01-06,97
2024,18.934435,2024-01-12,103
2025,21.317354,2024-12-09,69
2026,14.130648,2025-12-11,71
2027,6.8565826,2026-11-07,37
2028,12.284093,2027-12-12,72
2029,22.170218,2028-11-21,51
2030,11.581248,2029-11-17,47
2031,12.131715,2030-11-10,40
2032,14.763451,2031-11-01,31
2033,25.430855,2033-09-30,364
2034,28.697939,2033-11-08,38
2035,19.868494,2035-09-30,364
2036,23.684406,2035-10-20,19
2037,22.86446,2037-09-30,364
2038,24.553951,2038-09-30,364
2039,28.808542,2039-09-30,364
2040,28.91266,2039-10-04,3
2041,14.669419,2041-08-28,331
2042,14.58277,2042-08-30,333
2043,18.344147,2043-08-31,334
2044,15.881311,2044-08-28,332
2045,14.020898,2045-08-17,320
2046,23.823584,2046-08-12,315
2047,25.817707,2047-08-16,319
2048,26.789345,2048-08-18,322
2049,11.206063,2049-06-27,269
2050,18.242887,2050-07-24,296
2051,13.772375,2051-07-03,275
2052,15.625158,2052-07-10,283
2053,20.768654,2053-07-07,279
2054,23.833912,2054-07-26,298
2055,14.454202,2055-06-21,263
2056,3.942986,2056-04-30,212
2057,16.178291,2057-06-18,260
2058,18.211678,2058-06-09,251
2059,9.257086,2059-05-28,239
2060,13.686485,2060-05-25,237
2061,11.885746,2061-05-16,227
2062,17.484587,2062-05-25,236
2063,15.338524,2063-05-14,225
2064,7.756335,2064-04-21,203
2065,9.740811,2065-04-08,189
2066,19.555342,2066-05-10,221
2067,14.461498,2067-04-18,199
2068,18.613884,2068-05-07,219
2069,6.991772,2069-04-02,183
2070,10.448189,2070-03-20,170
2071,14.043784,2071-03-30,180
2072,22.644552,2072-03-27,178
2073,16.472557,2073-03-23,173
2074,20.864523,2074-04-11,192
2075,11.477068,2075-02-07,129
2076,9.573967,2076-02-03,125
2077,19.189035,2077-02-19,141
2078,14.197726,2078-02-13,135
2079,14.232473,2079-01-30,121
2080,13.4700165,2080-02-22,144
2081,14.830065,2081-01-25,116
2082,10.709309,2082-01-06,97
2083,8.766779,2083-01-14,105
2084,11.920249,2084-01-05,96
2085,9.932256,2084-12-30,90
2086,9.866667,2086-01-02,93
2087,16.80973,2087-01-16,107
2088,12.905374,2087-12-28,88
2089,12.794885,2088-12-09,69
2090,7.616825,2090-09-27,361
2091,17.414545,2090-12-11,71
2092,14.481998,2092-09-30,365
2093,21.890877,2092-11-17,47
2094,7.1043415,2093-11-26,56
2095,13.266832,2094-11-28,58
2096,9.082428,2095-10-25,24
2097,7.590165,2097-09-30,364
