,maxval,maxdate,maxarg
1981,49.213074,1981-03-24,174
1982,57.98627,1982-03-08,158
1983,15.303197,1983-04-20,201
1984,16.47501,1984-01-31,122
1985,47.60776,1985-03-24,174
1986,29.6123,1986-02-20,142
1987,44.991367,1987-03-01,151
1988,28.905825,1988-01-27,118
1989,7.112055,1989-02-08,130
1990,52.64713,1990-02-25,147
1991,39.60105,1991-02-11,133
1992,39.18404,1992-01-05,96
1993,20.191145,1993-01-27,118
1994,15.844999,1994-09-30,364
1995,35.915993,1995-01-01,92
1996,34.463455,1996-01-19,110
1997,20.462746,1996-11-10,40
1998,39.659824,1997-12-30,90
1999,21.604395,1998-11-22,52
2000,18.600407,1999-11-26,56
2001,14.68898,2001-09-28,362
2002,27.040365,2001-11-19,49
2003,34.01352,2002-11-29,59
2004,33.692635,2003-12-01,61
2005,24.735662,2004-11-26,56
2006,34.915993,2005-11-14,44
2007,22.977064,2006-11-27,57
2008,36.488213,2008-09-22,357
2009,34.89516,2008-10-01,0
2010,37.37288,2010-09-09,343
2011,45.207703,2010-11-05,35
2012,33.56484,2012-08-27,331
2013,30.279531,2012-10-01,0
2014,19.333832,2014-01-20,111
2015,22.759535,2015-02-09,131
2016,20.52155,2016-02-01,123
2017,43.211243,2016-11-29,59
2018,21.799622,2018-01-29,120
2019,18.28656,2019-01-05,96
2020,10.881935,2020-09-30,365
2021,41.37286,2021-01-02,93
2022,16.618174,2022-01-04,95
2023,47.489017,2022-12-23,83
2024,13.358131,2023-12-29,89
2025,13.9835005,2025-09-28,362
2026,36.97219,2025-12-05,65
2027,14.446866,2027-09-30,364
2028,15.913753,2027-12-07,67
2029,17.056734,2028-11-02,32
2030,10.024932,2029-10-04,3
2031,7.9784203,2030-11-08,38
2032,29.552835,2032-09-26,361
2033,44.25807,2033-09-30,364
2034,46.648636,2033-10-09,8
2035,22.072979,2034-10-26,25
2036,15.605951,2035-10-01,0
2037,27.169432,2037-09-16,350
2038,21.412683,2038-09-25,359
2039,24.351282,2039-08-11,314
2040,29.310297,2040-09-17,352
2041,22.18828,2040-10-01,0
2042,6.1151104,2042-04-23,204
2043,10.783558,2043-08-27,330
2044,15.08847,2044-06-23,266
2045,10.211308,2045-07-25,297
2046,21.304329,2046-06-24,266
2047,27.216982,2047-07-22,294
2048,30.073856,2048-07-06,279
2049,9.79189,2049-06-23,265
2050,6.2043457,2050-07-01,273
2051,9.58662,2051-05-20,231
2052,3.73774,2052-06-16,259
2053,16.774601,2053-06-10,252
2054,17.375332,2054-06-18,260
2055,14.904761,2055-05-23,234
2056,2.1024117,2056-03-03,154
2057,32.152176,2057-07-10,282
2058,12.01367,2058-05-14,225
2059,15.826448,2059-04-29,210
2060,11.844049,2060-04-21,203
2061,13.269162,2061-05-28,239
2062,20.906324,2062-03-31,181
2063,8.895518,2063-04-21,202
2064,6.5157924,2064-01-30,121
2065,5.7346616,2065-03-31,181
2066,11.316279,2066-03-10,160
2067,10.063423,2067-04-03,184
2068,6.473368,2068-01-21,112
2069,3.5542657,2069-03-29,179
2070,16.421526,2070-03-23,173
2071,8.491904,2071-03-30,180
2072,21.018564,2072-03-06,157
2073,9.874288,2072-12-10,70
2074,20.46447,2074-02-17,139
2075,6.813264,2075-01-09,100
2076,6.5074015,2076-01-29,120
2077,4.6065454,2077-02-20,142
2078,4.7699075,2077-12-21,81
2079,16.277626,2079-01-21,112
2080,2.0896742,2080-01-16,107
2081,3.461661,2080-10-14,13
2082,2.0492492,2081-11-13,43
2083,4.392004,2082-11-17,47
2084,5.575436,2083-12-04,64
2085,8.351524,2084-12-25,85
2086,4.529484,2085-10-28,27
2087,12.769624,2086-11-23,53
2088,7.1667385,2087-12-01,61
2089,2.0868018,2088-12-05,65
2090,3.0247073,2090-09-14,348
2091,2.381936,2090-11-16,46
2092,8.301507,2091-12-12,72
2093,3.0382214,2093-09-29,363
2094,3.4280264,2094-09-30,364
2095,4.3885393,2094-10-18,17
2096,3.9976065,2095-10-18,17
2097,3.2954512,2097-09-30,364
