,maxval,maxdate,maxarg
1981,61.351925,1981-03-25,175
1982,38.993664,1982-02-20,142
1983,41.916283,1983-03-24,174
1984,12.079954,1984-02-01,123
1985,52.160744,1985-03-25,175
1986,26.172977,1986-03-12,162
1987,46.66513,1987-03-11,161
1988,52.69329,1988-02-23,145
1989,18.396286,1989-02-09,131
1990,43.159496,1990-02-25,147
1991,31.948717,1991-02-03,125
1992,12.82649,1992-01-22,113
1993,27.278868,1993-01-28,119
1994,30.93235,1994-01-06,97
1995,53.94119,1995-01-03,94
1996,26.969566,1996-01-22,113
1997,21.779675,1997-09-30,364
1998,35.83519,1997-12-30,90
1999,34.42636,1998-11-08,38
2000,11.293037,2000-09-21,356
2001,27.436665,2000-12-19,79
2002,19.780405,2002-09-22,356
2003,31.957857,2002-12-31,91
2004,26.706568,2003-12-10,70
2005,34.997948,2004-12-03,63
2006,29.27374,2005-11-17,47
2007,36.646706,2006-11-29,59
2008,30.57351,2008-09-23,358
2009,29.146812,2008-10-01,0
2010,38.70005,2010-09-23,357
2011,42.009552,2010-10-29,28
2012,26.098644,2012-08-30,334
2013,24.119835,2012-10-11,10
2014,21.178682,2014-01-14,105
2015,26.639961,2015-02-09,131
2016,16.95853,2016-01-09,100
2017,27.009933,2017-01-21,112
2018,45.91969,2018-02-01,123
2019,25.737879,2018-11-03,33
2020,28.56696,2020-01-09,100
2021,44.003128,2021-01-03,94
2022,21.824625,2022-09-30,364
2023,48.797485,2022-11-26,56
2024,19.411564,2024-09-14,349
2025,19.704767,2024-12-08,68
2026,30.600677,2025-12-05,65
2027,18.55215,2027-09-30,364
2028,26.382036,2027-12-10,70
2029,6.264324,2028-10-30,29
2030,16.8592,2030-08-17,320
2031,30.967377,2030-11-21,51
2032,22.748129,2031-10-26,25
2033,24.957739,2033-09-18,352
2034,24.588253,2033-10-01,0
2035,25.977898,2034-10-25,24
2036,11.206752,2036-08-22,326
2037,24.793741,2037-06-22,264
2038,14.869615,2037-10-01,0
2039,13.679648,2039-09-23,357
2040,15.807723,2040-09-17,352
2041,12.111891,2040-10-09,8
2042,2.4478512,2042-07-12,284
2043,8.430255,2043-05-09,220
2044,10.797407,2044-06-12,255
2045,14.410402,2045-07-25,297
2046,43.0102,2046-07-08,280
2047,35.198154,2047-07-24,296
2048,9.273959,2048-06-15,258
2049,7.717327,2049-05-03,214
2050,6.176621,2050-07-22,294
2051,26.16542,2051-05-20,231
2052,4.018806,2052-03-22,173
2053,20.904005,2053-04-18,199
2054,8.179572,2054-06-17,259
2055,21.99617,2055-06-29,271
2056,4.647858,2056-03-02,153
2057,20.678684,2057-07-04,276
2058,3.7074406,2058-06-04,246
2059,5.1480584,2059-04-30,211
2060,2.1499853,2060-05-22,234
2061,16.674244,2061-03-09,159
2062,21.697779,2062-03-31,181
2063,6.5579233,2063-02-15,137
2064,5.4946437,2064-02-01,123
2065,11.637366,2065-03-31,181
2066,16.044533,2066-03-12,162
2067,7.1315446,2066-12-20,80
2068,1.1395,2068-02-13,135
2069,2.5281518,2069-01-17,108
2070,20.667772,2070-03-23,173
2071,8.404868,2071-03-30,180
2072,20.387295,2072-03-07,158
2073,10.331201,2072-12-10,70
2074,5.913583,2074-01-20,111
2075,6.8349705,2075-02-05,127
2076,16.269192,2076-01-29,120
2077,3.9836512,2077-02-21,143
2078,6.547787,2077-12-06,66
2079,8.307573,2078-11-11,41
2080,4.138635,2079-12-06,66
2081,6.387161,2081-01-24,115
2082,1.8346444,2082-09-25,359
2083,1.9997776,2083-03-12,162
2084,6.503729,2083-12-15,75
2085,3.7478242,2084-12-30,90
2086,5.9643764,2085-10-28,27
2087,2.2187128,2086-11-23,53
2088,1.7991787,2088-01-18,109
2089,1.2253567,2088-12-05,65
2090,1.2840139,2089-12-22,82
2091,1.9373022,2090-11-30,60
2092,2.4572551,2091-11-30,60
2093,1.7941996,2092-12-27,87
2094,2.829522,2094-09-30,364
2095,2.5926092,2094-10-01,0
2096,5.899629,2095-10-19,18
2097,5.866724,2096-11-07,37
