,maxval,maxdate,maxarg
1981,23.83409,1981-03-28,178
1982,37.761353,1982-04-23,204
1983,19.83904,1983-03-26,176
1984,18.470186,1984-04-06,188
1985,34.384933,1985-04-04,185
1986,18.850904,1986-03-30,180
1987,29.896147,1987-03-28,178
1988,16.264778,1988-02-15,137
1989,17.012667,1989-02-13,135
1990,28.354616,1990-02-27,149
1991,20.87656,1991-02-20,142
1992,31.010986,1992-02-13,135
1993,23.460247,1993-02-02,124
1994,20.904524,1994-01-27,118
1995,27.32528,1995-01-28,119
1996,21.139544,1996-01-22,113
1997,26.326393,1997-01-21,112
1998,26.140747,1998-01-14,105
1999,20.719063,1999-01-08,99
2000,14.449601,2000-01-01,92
2001,22.765495,2000-12-26,86
2002,23.41294,2002-01-04,95
2003,39.15883,2003-01-02,93
2004,26.082151,2003-12-06,66
2005,22.393343,2004-12-14,74
2006,33.001556,2005-12-05,65
2007,24.109276,2006-11-30,60
2008,25.140255,2008-09-30,365
2009,27.539902,2008-10-28,27
2010,25.816814,2009-11-13,43
2011,33.53982,2010-11-22,52
2012,23.30895,2011-10-07,6
2013,20.570385,2012-10-10,9
2014,23.149313,2014-01-23,114
2015,31.647213,2015-02-11,133
2016,23.118631,2016-02-09,131
2017,39.39209,2017-01-23,114
2018,21.246931,2018-02-01,123
2019,20.587873,2019-01-31,122
2020,20.487717,2020-01-02,93
2021,36.078304,2021-01-04,95
2022,27.061558,2022-01-14,105
2023,42.75844,2022-12-31,91
2024,23.273775,2024-01-11,102
2025,33.852486,2024-12-09,69
2026,21.99548,2025-12-11,71
2027,17.244745,2026-11-18,48
2028,18.441166,2027-12-12,72
2029,29.4957,2028-11-24,54
2030,18.473057,2029-11-17,47
2031,19.783348,2030-11-10,40
2032,18.381104,2031-11-01,31
2033,28.563066,2033-09-30,364
2034,32.193783,2033-10-16,15
2035,27.617159,2035-09-30,364
2036,32.439846,2035-10-31,30
2037,34.301743,2037-09-30,364
2038,34.682037,2037-10-21,20
2039,43.866463,2039-09-30,364
2040,44.146435,2039-10-05,4
2041,27.651937,2041-09-08,342
2042,23.292841,2041-10-01,0
2043,23.874838,2043-08-31,334
2044,23.446749,2044-08-23,327
2045,16.722794,2045-08-20,323
2046,36.59357,2046-08-12,315
2047,33.17819,2047-08-16,319
2048,24.600979,2048-08-19,323
2049,25.755217,2049-07-28,300
2050,28.766764,2050-08-16,319
2051,22.252897,2051-07-11,283
2052,19.357515,2052-07-11,284
2053,30.679691,2053-07-07,279
2054,28.191544,2054-07-26,298
2055,20.342442,2055-06-24,266
2056,11.865973,2056-06-03,246
2057,22.452475,2057-06-18,260
2058,23.81295,2058-06-19,261
2059,20.87468,2059-05-30,241
2060,21.010483,2060-05-27,239
2061,17.597164,2061-05-17,228
2062,27.074781,2062-05-22,233
2063,20.928583,2063-05-19,230
2064,22.66822,2064-05-20,232
2065,16.942156,2065-04-08,189
2066,22.782776,2066-05-10,221
2067,20.35552,2067-04-18,199
2068,24.835869,2068-05-02,214
2069,10.071565,2069-05-08,219
2070,17.10161,2070-03-20,170
2071,23.107119,2071-04-17,198
2072,29.248833,2072-03-26,177
2073,30.619783,2073-03-29,179
2074,22.825533,2074-04-10,191
2075,19.625021,2075-02-14,136
2076,27.351295,2076-02-07,129
2077,23.416426,2077-02-22,144
2078,20.293045,2078-02-27,149
2079,20.654305,2079-02-27,149
2080,20.41359,2080-01-23,114
2081,23.379557,2081-01-25,116
2082,8.900134,2082-01-07,98
2083,10.61017,2083-01-26,117
2084,23.106163,2084-01-06,97
2085,26.249512,2085-01-05,96
2086,15.2605915,2086-01-10,101
2087,31.710974,2087-01-15,106
2088,22.96256,2087-12-28,88
2089,19.22266,2088-12-10,70
2090,11.456697,2090-09-27,361
2091,22.312487,2090-12-19,79
2092,20.481417,2092-09-30,365
2093,31.538954,2092-11-20,50
2094,12.296995,2093-11-25,55
2095,20.329895,2094-11-28,58
2096,12.2312,2095-10-27,26
2097,10.052426,2097-09-30,364
