,maxval,maxdate,maxarg
1981,32.78737,1981-03-25,175
1982,49.649063,1982-03-08,158
1983,28.601877,1983-02-18,140
1984,13.197006,1984-02-03,125
1985,45.986664,1985-03-25,175
1986,14.624956,1986-03-12,162
1987,30.236946,1987-03-11,161
1988,30.719717,1988-02-22,144
1989,16.063614,1989-02-03,125
1990,31.124128,1990-02-20,142
1991,25.62153,1991-02-03,125
1992,18.216152,1992-01-22,113
1993,24.720516,1993-01-28,119
1994,26.607073,1994-01-07,98
1995,40.14399,1995-01-03,94
1996,18.980562,1996-01-20,111
1997,14.005498,1996-11-11,41
1998,30.91984,1997-12-29,89
1999,17.495884,1998-11-09,39
2000,6.693278,1999-12-02,62
2001,14.170131,2000-12-19,79
2002,18.966234,2002-09-30,364
2003,29.223846,2002-11-30,60
2004,31.9702,2003-11-30,60
2005,33.4734,2004-12-02,62
2006,32.828262,2005-11-17,47
2007,26.128418,2006-11-09,39
2008,22.834507,2008-09-30,365
2009,23.672493,2008-10-20,19
2010,23.599133,2010-09-23,357
2011,30.559181,2011-09-30,364
2012,30.625721,2011-10-02,1
2013,26.524817,2012-10-12,11
2014,17.914362,2014-01-14,105
2015,21.032698,2015-02-08,130
2016,16.07586,2016-01-09,100
2017,38.4119,2017-01-21,112
2018,27.963829,2018-01-30,121
2019,21.284733,2019-01-09,100
2020,21.488262,2019-11-05,35
2021,32.224884,2020-12-06,66
2022,21.066704,2022-01-10,101
2023,31.615917,2022-12-24,84
2024,18.753752,2024-09-30,365
2025,22.903652,2024-11-22,52
2026,23.67636,2025-12-05,65
2027,15.526182,2027-09-30,364
2028,17.72736,2027-11-27,57
2029,22.007887,2028-10-31,30
2030,10.054198,2030-09-30,364
2031,15.021052,2030-11-11,41
2032,17.065208,2032-09-27,362
2033,23.868092,2033-09-30,364
2034,28.987251,2034-09-30,364
2035,33.69033,2034-10-26,25
2036,25.33344,2035-10-01,0
2037,26.769373,2037-08-18,321
2038,18.534441,2037-10-01,0
2039,28.102627,2039-09-22,356
2040,28.322617,2039-10-03,2
2041,19.517826,2041-08-13,316
2042,13.754306,2042-07-12,284
2043,10.7249975,2043-08-18,321
2044,21.119217,2044-07-21,294
2045,7.5328226,2045-07-27,299
2046,30.47479,2046-07-11,283
2047,26.759798,2047-07-26,298
2048,14.291395,2048-07-15,288
2049,7.316234,2049-05-31,242
2050,11.112847,2050-07-24,296
2051,21.198156,2051-06-23,265
2052,16.575474,2052-05-22,234
2053,21.803886,2053-06-10,252
2054,11.423816,2054-06-23,265
2055,12.888467,2055-06-22,264
2056,3.3598552,2056-04-29,211
2057,14.21253,2057-05-25,236
2058,7.2757244,2058-05-14,225
2059,8.828815,2059-03-02,152
2060,4.09778,2060-04-21,203
2061,12.858725,2061-03-11,161
2062,25.182257,2062-04-16,197
2063,7.259106,2063-04-01,182
2064,10.522361,2064-04-22,204
2065,9.698312,2065-04-01,182
2066,18.577518,2066-03-12,162
2067,3.5634081,2066-12-20,80
2068,5.103028,2068-02-18,140
2069,3.036134,2069-02-23,145
2070,15.580862,2070-03-24,174
2071,7.334443,2071-03-29,179
2072,12.418509,2072-03-07,158
2073,8.986929,2073-02-22,144
2074,7.209482,2074-02-18,140
2075,13.972948,2075-02-08,130
2076,11.21686,2076-02-02,124
2077,2.4579058,2077-02-21,143
2078,6.2867737,2078-01-12,103
2079,6.4549747,2079-01-23,114
2080,2.6384835,2080-01-19,110
2081,7.1048303,2081-01-25,116
2082,1.465667,2081-11-29,59
2083,2.634126,2082-11-29,59
2084,6.6413054,2083-12-15,75
2085,5.9887633,2084-12-31,91
2086,2.5380604,2085-11-01,31
2087,2.9672356,2086-11-29,59
2088,2.1088562,2087-12-01,61
2089,1.1738509,2088-10-10,9
2090,1.8185331,2090-09-15,349
2091,1.9073706,2091-08-24,327
2092,1.375747,2091-11-27,57
2093,1.8589506,2092-11-02,32
2094,3.2834914,2094-09-30,364
2095,5.1034894,2095-08-14,317
2096,3.3254716,2095-10-20,19
2097,3.6662104,2097-08-31,334
