,maxval,maxdate,maxarg
1981,5.8876877,1981-03-24,174
1982,13.58285,1982-03-08,158
1983,3.2484636,1983-01-26,117
1984,0.96647114,1984-01-01,92
1985,9.758707,1985-02-22,144
1986,1.626951,1986-02-07,129
1987,9.614762,1987-02-14,136
1988,2.1859984,1988-01-18,109
1989,0.7941849,1988-11-27,57
1990,9.398629,1990-01-18,109
1991,2.7744815,1990-11-09,39
1992,1.5525495,1991-11-25,55
1993,3.5395224,1992-12-15,75
1994,3.9714143,1993-12-12,72
1995,6.005968,1994-12-14,74
1996,3.615363,1996-09-26,361
1997,5.779684,1996-11-18,48
1998,9.493498,1997-12-04,64
1999,4.3904285,1998-11-09,39
2000,1.3941662,1999-11-16,46
2001,1.5485579,2001-09-29,363
2002,3.3196514,2002-09-25,359
2003,2.67425,2003-07-25,297
2004,6.065267,2004-09-28,363
2005,6.064623,2004-10-03,2
2006,6.2915807,2005-10-06,5
2007,4.5713887,2006-10-12,11
2008,3.7966447,2008-08-26,330
2009,2.4890227,2009-07-13,285
2010,5.8881936,2010-09-17,351
2011,5.014775,2011-09-09,343
2012,6.1115913,2012-09-10,345
2013,0.39514822,2013-07-05,277
2014,3.6730795,2013-12-14,74
2015,1.5078659,2015-01-24,115
2016,2.3025444,2015-11-21,51
2017,7.5659,2016-12-01,61
2018,4.5882874,2017-11-28,58
2019,2.366166,2018-10-21,20
2020,2.428386,2020-09-30,365
2021,9.471918,2020-11-13,43
2022,0.8809448,2022-09-14,348
2023,6.0741925,2022-11-27,57
2024,5.0055737,2024-09-30,365
2025,5.0393066,2024-10-12,11
2026,3.9836562,2025-10-02,1
2027,2.6376934,2027-09-30,364
2028,2.6616538,2027-10-08,7
2029,1.0500282,2029-09-11,345
2030,2.7476826,2030-08-18,321
2031,2.6447728,2031-09-18,352
2032,2.9452546,2032-08-31,335
2033,3.533613,2033-08-05,308
2034,4.2370925,2034-09-11,345
2035,1.7580725,2035-06-26,268
2036,1.0346792,2035-10-01,0
2037,3.1419408,2037-08-02,305
2038,1.1009941,2038-07-02,274
2039,1.7279371,2039-05-19,230
2040,1.2378454,2040-08-06,310
2041,0.7603405,2041-05-17,228
2042,0.5234365,2042-06-09,251
2043,1.2520199,2043-05-07,218
2044,1.747363,2044-06-02,245
2045,1.1124473,2045-07-20,292
2046,5.447178,2046-07-04,276
2047,1.5858177,2047-04-23,204
2048,2.306686,2048-06-03,246
2049,0.5413595,2049-05-08,219
2050,4.821593,2050-03-30,180
2051,2.755869,2051-05-17,228
2052,1.2588142,2052-03-23,174
2053,1.4259,2053-04-18,199
2054,2.7396102,2054-04-10,191
2055,3.1569755,2055-05-28,239
2056,1.2229277,2056-03-03,154
2057,2.5799778,2057-05-22,233
2058,0.90492505,2058-06-03,245
2059,0.95386124,2059-04-12,193
2060,0.6164605,2060-04-06,188
2061,3.3380764,2061-03-13,163
2062,3.9609249,2062-03-27,177
2063,0.6986921,2063-02-13,135
2064,1.0217524,2064-02-02,124
2065,1.1347048,2065-01-07,98
2066,2.758734,2066-02-21,143
2067,0.662445,2067-03-21,171
2068,0.9674528,2068-01-21,112
2069,0.65187263,2069-02-23,145
2070,1.8303983,2070-02-26,148
2071,2.2369416,2071-01-14,105
2072,2.3094275,2072-02-19,141
2073,1.2136117,2072-12-11,71
2074,2.2981462,2074-04-08,189
2075,0.8543471,2075-03-29,179
2076,0.9060858,2076-01-05,96
2077,1.3050297,2076-12-10,70
2078,1.6738061,2077-11-25,55
2079,2.4629433,2078-11-29,59
2080,0.5976935,2079-12-23,83
2081,0.4318226,2080-10-15,14
2082,0.19360407,2081-11-13,43
2083,0.55208534,2082-12-20,80
2084,0.526633,2083-12-04,64
2085,0.70032704,2084-11-28,58
2086,0.97155887,2085-10-30,29
2087,0.74909073,2086-10-19,18
2088,0.9988109,2087-12-01,61
2089,0.42230332,2088-12-17,77
2090,0.46209297,2090-09-13,347
2091,0.055320736,2091-08-23,326
2092,0.38117328,2091-10-14,13
2093,0.9288695,2093-09-27,361
2094,1.1003252,2094-09-05,339
2095,0.42860037,2095-08-13,316
2096,0.5210286,2095-10-19,18
2097,1.3301334,2097-09-30,364
