,maxval,maxdate,maxarg
1981,19.799393,1981-03-29,179
1982,27.714413,1982-04-24,205
1983,17.070312,1983-03-27,177
1984,22.428608,1984-05-03,215
1985,27.642956,1985-04-04,185
1986,20.21671,1986-04-01,182
1987,22.263361,1987-03-28,178
1988,10.735678,1988-02-15,137
1989,15.968881,1989-02-12,134
1990,21.158033,1990-03-03,153
1991,18.9674,1991-02-19,141
1992,24.696825,1992-02-13,135
1993,21.464573,1993-02-02,124
1994,18.394234,1994-01-27,118
1995,17.283854,1995-01-28,119
1996,16.294178,1996-01-22,113
1997,21.548012,1997-02-08,130
1998,19.954088,1998-01-14,105
1999,16.4745,1999-01-08,99
2000,15.228891,2000-01-05,96
2001,18.798347,2000-12-31,91
2002,20.04917,2002-01-05,96
2003,31.636877,2002-12-31,91
2004,17.166126,2003-12-05,65
2005,18.637478,2004-12-14,74
2006,25.474714,2005-12-07,67
2007,19.690094,2006-11-30,60
2008,18.119007,2008-09-30,365
2009,20.779707,2008-10-28,27
2010,18.985575,2009-11-13,43
2011,27.081964,2010-11-23,53
2012,20.081114,2011-10-21,20
2013,18.436758,2012-10-10,9
2014,17.148409,2014-01-23,114
2015,21.295145,2015-02-11,133
2016,20.038908,2016-02-10,132
2017,28.559647,2017-01-22,113
2018,17.293571,2018-02-02,124
2019,20.170527,2019-02-06,128
2020,13.039448,2020-01-02,93
2021,27.358202,2021-01-05,96
2022,21.30223,2022-01-12,103
2023,30.825815,2023-01-01,92
2024,21.78465,2024-01-11,102
2025,24.585588,2024-12-09,69
2026,14.799619,2025-12-11,71
2027,13.458147,2026-11-18,48
2028,12.598512,2027-12-12,72
2029,21.58188,2028-11-23,53
2030,18.540316,2029-12-10,70
2031,15.404125,2030-11-11,41
2032,13.40731,2031-11-02,32
2033,21.156439,2033-09-30,364
2034,24.971554,2033-11-08,38
2035,20.822878,2035-09-30,364
2036,26.578594,2035-10-31,30
2037,26.711767,2036-10-23,22
2038,26.367807,2038-09-30,364
2039,29.175941,2039-09-30,364
2040,29.530676,2039-10-05,4
2041,23.72725,2041-09-07,341
2042,18.770409,2041-10-12,11
2043,20.372044,2043-08-31,334
2044,20.863213,2044-08-28,332
2045,11.762407,2045-08-20,323
2046,23.33469,2046-08-11,314
2047,20.660011,2047-08-17,320
2048,21.631691,2048-08-20,324
2049,16.158642,2049-07-01,273
2050,21.039919,2050-08-06,309
2051,17.260647,2051-07-26,298
2052,13.109529,2052-07-11,284
2053,22.757446,2053-07-08,280
2054,17.448814,2054-07-26,298
2055,15.802688,2055-06-22,264
2056,11.219955,2056-06-04,247
2057,17.946087,2057-06-19,261
2058,23.401575,2058-06-21,263
2059,18.198294,2059-06-02,244
2060,17.93078,2060-05-27,239
2061,12.375228,2061-05-21,232
2062,19.978552,2062-05-22,233
2063,13.981489,2063-05-20,231
2064,13.801882,2064-05-21,233
2065,12.019177,2065-04-08,189
2066,17.197489,2066-05-10,221
2067,18.38868,2067-05-14,225
2068,22.029419,2068-05-02,214
2069,15.708267,2069-05-02,213
2070,12.386502,2070-03-20,170
2071,15.026834,2071-03-30,180
2072,19.434263,2072-03-27,178
2073,24.328789,2073-03-30,180
2074,19.480667,2074-04-11,192
2075,15.016466,2075-02-16,138
2076,17.079979,2076-02-07,129
2077,15.53174,2077-02-22,144
2078,19.199987,2078-02-28,150
2079,17.82354,2079-02-27,149
2080,14.19741,2080-01-30,121
2081,15.677882,2081-01-25,116
2082,8.423326,2082-01-07,98
2083,11.541881,2083-01-26,117
2084,19.042437,2084-01-06,97
2085,18.04126,2085-01-01,92
2086,13.801181,2086-01-10,101
2087,22.454096,2087-01-16,107
2088,15.76652,2087-12-27,87
2089,12.598211,2088-12-10,70
2090,8.994659,2090-09-28,362
2091,19.369625,2090-12-19,79
2092,17.702515,2091-12-30,90
2093,23.303381,2092-11-21,51
2094,14.616945,2093-12-03,63
2095,21.111305,2094-12-11,71
2096,11.836978,2095-10-27,26
2097,8.772996,2097-09-30,364
