,maxval,maxdate,maxarg
1981,47.843964,1981-03-24,174
1982,40.463955,1982-02-20,142
1983,16.599983,1983-01-21,112
1984,9.792535,1984-01-31,122
1985,53.631817,1985-03-14,164
1986,18.124443,1986-02-05,127
1987,37.09203,1987-03-11,161
1988,59.662304,1988-02-23,145
1989,10.726749,1988-12-21,81
1990,38.71573,1990-01-22,113
1991,15.272952,1990-11-03,33
1992,6.642661,1992-01-03,94
1993,20.082619,1993-01-27,118
1994,20.23665,1993-12-07,67
1995,49.477665,1995-01-15,106
1996,20.59239,1996-01-21,112
1997,12.002463,1997-09-30,364
1998,24.549212,1997-12-04,64
1999,38.83632,1998-11-08,38
2000,12.190398,2000-09-22,357
2001,22.132177,2000-12-20,80
2002,12.536639,2002-08-27,330
2003,16.6393,2002-10-26,25
2004,23.486568,2004-09-23,358
2005,42.23847,2004-12-02,62
2006,23.479532,2006-09-30,364
2007,28.067831,2006-11-07,37
2008,27.409075,2007-10-30,29
2009,18.56722,2009-09-30,364
2010,24.224148,2010-09-23,357
2011,23.617601,2010-10-20,19
2012,15.9307,2012-08-28,332
2013,9.406939,2012-10-10,9
2014,7.5687637,2013-12-08,68
2015,8.1099415,2015-02-05,127
2016,10.111007,2015-11-28,58
2017,14.4511795,2016-12-03,63
2018,35.269455,2018-02-06,128
2019,21.062763,2018-11-04,34
2020,10.639319,2020-09-30,365
2021,30.849295,2020-11-03,33
2022,8.530054,2022-01-06,97
2023,37.85884,2022-11-25,55
2024,14.670637,2024-09-12,347
2025,14.763595,2025-09-27,361
2026,30.750261,2025-12-01,61
2027,8.860204,2027-09-30,364
2028,12.294866,2027-10-29,28
2029,1.3407845,2028-10-29,28
2030,13.034811,2030-08-17,320
2031,17.49617,2030-11-22,52
2032,18.402056,2031-10-25,24
2033,15.825906,2033-09-13,347
2034,12.344255,2033-10-01,0
2035,6.014235,2035-08-13,316
2036,5.8150253,2036-08-20,324
2037,11.789264,2037-06-23,265
2038,3.5171683,2038-06-16,258
2039,5.5106125,2039-09-22,356
2040,10.528435,2040-09-16,351
2041,4.930022,2041-06-27,269
2042,3.409953,2042-07-09,281
2043,2.5719965,2043-05-10,221
2044,2.424242,2044-05-28,240
2045,10.6118555,2045-07-26,298
2046,16.604376,2046-07-05,277
2047,12.61198,2047-07-24,296
2048,5.378204,2048-06-09,252
2049,4.609022,2049-04-04,185
2050,5.4311934,2050-06-29,271
2051,7.546049,2051-06-23,265
2052,3.8949149,2052-03-24,175
2053,9.971347,2053-04-19,200
2054,0.9281887,2054-06-14,256
2055,7.314697,2055-05-01,212
2056,2.6218967,2056-03-01,152
2057,15.274766,2057-05-24,235
2058,1.5174211,2058-07-09,281
2059,2.8281505,2059-04-29,210
2060,1.6017122,2060-04-07,189
2061,3.1939418,2061-03-10,160
2062,6.356561,2062-03-31,181
2063,2.6911197,2063-02-10,132
2064,3.76067,2064-02-01,123
2065,5.4265385,2065-04-01,182
2066,10.664834,2066-03-10,160
2067,0.4649077,2066-12-20,80
2068,0.17507443,2068-01-17,108
2069,3.317983e-05,2069-02-15,137
2070,8.646673,2070-02-19,141
2071,2.6250665,2071-03-24,174
2072,8.408116,2072-02-23,145
2073,3.9497247,2073-02-22,144
2074,1.9998927,2074-01-04,95
2075,3.0643616,2074-12-30,90
2076,7.3116007,2076-01-11,102
2077,0.4086311,2076-12-13,73
2078,0.57320946,2077-12-05,65
2079,2.3252246,2078-11-22,52
2080,2.808444,2079-12-06,66
2081,5.582849,2080-11-29,59
2082,0.9573853,2081-11-24,54
2083,8.865666e-05,2082-12-19,79
2084,3.440725,2083-12-14,74
2085,6.2315717,2084-11-27,57
2086,2.6432261,2085-10-15,14
2087,0.9300025,2087-09-29,363
2088,0.016829332,2087-10-01,0
2089,6.755957e-05,2088-12-04,64
2090,1.463118,2089-10-27,26
2091,0.0,2090-10-01,0
2092,0.0024573698,2091-11-03,33
2093,0.027941745,2092-10-31,30
2094,0.8355188,2094-09-24,358
2095,0.16687134,2094-10-01,0
2096,2.1765943,2095-11-11,41
2097,0.7529345,2097-08-13,316
