,maxval,maxdate,maxarg
1981,31.168152,1981-03-29,179
1982,66.61975,1982-04-15,196
1983,30.022888,1983-03-24,174
1984,17.612118,1984-03-22,173
1985,38.842796,1985-04-05,186
1986,18.62945,1986-03-24,174
1987,29.383127,1987-03-13,163
1988,19.329153,1988-02-22,144
1989,17.697924,1989-02-11,133
1990,31.380507,1990-02-26,148
1991,26.648466,1991-02-16,138
1992,21.750448,1992-02-02,124
1993,24.708624,1993-02-05,127
1994,25.457829,1994-01-26,117
1995,40.52185,1995-02-09,131
1996,23.534159,1996-01-19,110
1997,21.725187,1997-01-10,101
1998,34.419464,1998-01-11,102
1999,19.359772,1999-01-01,92
2000,16.11819,1999-12-29,89
2001,16.564766,2000-12-25,85
2002,22.964434,2001-12-30,90
2003,35.5924,2003-01-03,94
2004,38.133022,2003-12-07,67
2005,28.504917,2004-12-14,74
2006,38.03934,2005-11-24,54
2007,32.00469,2006-11-24,54
2008,29.00608,2008-09-30,365
2009,31.613272,2008-10-24,23
2010,29.23193,2009-11-08,38
2011,38.012325,2011-09-30,364
2012,39.88046,2011-10-25,24
2013,35.679848,2012-10-17,16
2014,22.745178,2014-01-29,120
2015,35.00381,2015-02-10,132
2016,22.365057,2016-02-05,127
2017,46.026783,2017-01-28,119
2018,33.536755,2018-02-01,123
2019,25.31213,2019-01-11,102
2020,24.478521,2020-01-01,92
2021,38.77839,2021-01-04,95
2022,22.870558,2022-01-10,101
2023,41.69047,2023-01-15,106
2024,21.216728,2024-09-30,365
2025,36.020336,2024-12-23,83
2026,24.90492,2025-12-06,66
2027,20.928467,2026-11-21,51
2028,20.708633,2028-09-30,365
2029,31.543966,2028-11-21,51
2030,14.731937,2029-11-17,47
2031,18.124718,2030-11-13,43
2032,24.096218,2032-09-30,365
2033,32.183296,2033-09-30,364
2034,35.082874,2033-11-04,34
2035,34.38142,2034-10-29,28
2036,32.925873,2035-10-30,29
2037,32.229145,2037-09-26,360
2038,31.25628,2037-10-01,0
2039,45.14443,2039-09-30,364
2040,45.60769,2039-10-05,4
2041,30.08896,2041-09-08,342
2042,26.822794,2041-10-07,6
2043,21.398056,2043-08-30,333
2044,25.885025,2044-08-31,335
2045,18.456669,2045-08-19,322
2046,43.72019,2046-08-11,314
2047,44.504913,2047-08-13,316
2048,28.728136,2048-08-07,311
2049,24.216473,2049-06-28,270
2050,30.815355,2050-07-26,298
2051,30.21989,2051-07-03,275
2052,24.438425,2052-07-12,285
2053,33.018024,2053-06-24,266
2054,24.065765,2054-07-14,286
2055,17.911236,2055-06-22,264
2056,13.567869,2056-05-24,236
2057,24.157187,2057-06-25,267
2058,23.716402,2058-06-08,250
2059,23.52415,2059-05-26,237
2060,16.523409,2060-05-23,235
2061,26.676804,2061-06-02,244
2062,42.49899,2062-05-13,224
2063,12.643004,2063-05-12,223
2064,24.132854,2064-05-16,228
2065,18.332966,2065-04-27,208
2066,29.57395,2066-03-26,176
2067,16.828259,2067-05-12,223
2068,10.518781,2068-04-02,184
2069,12.553993,2069-02-27,149
2070,19.027117,2070-03-24,174
2071,22.067194,2071-03-30,180
2072,25.308146,2072-03-25,176
2073,25.69422,2073-03-28,178
2074,14.783343,2074-03-06,156
2075,25.422121,2075-03-09,159
2076,24.507847,2076-02-05,127
2077,15.46616,2077-02-22,144
2078,18.329853,2078-01-31,122
2079,19.142576,2079-01-25,116
2080,10.143892,2080-01-20,111
2081,22.104101,2081-01-25,116
2082,5.674794,2082-01-05,96
2083,12.305001,2083-01-12,103
2084,18.68052,2084-01-05,96
2085,22.025295,2084-12-30,90
2086,13.230037,2086-01-07,98
2087,18.036343,2086-12-17,77
2088,13.502049,2087-12-17,77
2089,10.967362,2088-12-06,66
2090,9.555679,2090-09-26,360
2091,12.2274475,2090-12-11,71
2092,12.794212,2091-12-12,72
2093,15.60907,2092-11-13,43
2094,8.585507,2094-09-30,364
2095,16.266325,2094-10-23,22
2096,14.485646,2095-12-02,62
2097,8.965351,2097-09-30,364
