,maxval,maxdate,maxarg
1981,26.979004,1981-04-01,182
1982,51.852844,1982-04-21,202
1983,26.746668,1983-03-25,175
1984,15.532135,1984-04-24,206
1985,32.35515,1985-04-05,186
1986,13.288289,1986-03-27,177
1987,26.222452,1987-04-06,187
1988,22.635017,1988-03-16,167
1989,14.659122,1989-02-11,133
1990,26.319597,1990-03-03,153
1991,22.985111,1991-02-16,138
1992,19.9929,1992-02-13,135
1993,18.0981,1993-02-05,127
1994,22.143177,1994-01-28,119
1995,33.29781,1995-02-10,132
1996,17.802477,1996-01-21,112
1997,17.737621,1997-01-11,102
1998,27.355375,1998-01-15,106
1999,14.917797,1999-01-01,92
2000,20.288778,2000-01-05,96
2001,14.430913,2001-09-30,364
2002,21.48706,2002-01-02,93
2003,30.095282,2003-01-03,94
2004,34.652603,2003-12-11,71
2005,26.370409,2004-12-19,79
2006,28.923786,2005-11-28,58
2007,26.637114,2006-11-30,60
2008,25.861439,2008-09-30,365
2009,30.378777,2008-11-05,35
2010,27.179056,2009-11-13,43
2011,29.555964,2011-09-30,364
2012,32.69302,2011-10-26,25
2013,32.35886,2012-10-19,18
2014,17.01274,2014-02-02,124
2015,31.3047,2015-02-10,132
2016,16.421358,2016-02-13,135
2017,42.826134,2017-01-29,120
2018,27.095856,2018-02-02,124
2019,22.132673,2019-01-23,114
2020,17.484154,2020-01-02,93
2021,34.805523,2021-01-04,95
2022,18.392017,2022-09-30,364
2023,35.558067,2023-01-16,107
2024,18.465738,2024-01-11,102
2025,32.179718,2024-12-29,89
2026,21.480453,2025-12-20,80
2027,19.703915,2026-11-21,51
2028,19.11385,2027-12-13,73
2029,22.924261,2028-12-06,66
2030,14.136413,2029-11-19,49
2031,14.21564,2030-11-13,43
2032,20.050364,2032-09-30,365
2033,24.02124,2032-11-24,54
2034,26.311646,2033-11-05,35
2035,28.667494,2034-10-29,28
2036,26.646809,2035-10-30,29
2037,28.293413,2037-09-29,363
2038,27.680157,2037-10-01,0
2039,34.096912,2039-09-30,364
2040,34.665485,2039-10-08,7
2041,31.315195,2041-09-08,342
2042,29.266682,2041-10-01,0
2043,15.507004,2042-10-01,0
2044,22.10448,2044-08-31,335
2045,17.20913,2045-09-13,347
2046,33.71675,2046-08-20,323
2047,38.496647,2047-08-26,329
2048,30.828712,2048-08-07,311
2049,26.531288,2049-07-30,302
2050,23.735445,2050-08-16,319
2051,31.088436,2051-08-01,304
2052,25.89115,2052-07-13,286
2053,25.54178,2053-07-03,275
2054,17.943062,2054-07-14,286
2055,15.5698185,2055-06-25,267
2056,14.305184,2056-06-18,261
2057,18.904177,2057-06-29,271
2058,22.311134,2058-06-12,254
2059,22.451138,2059-06-02,244
2060,19.609097,2060-05-23,235
2061,24.088776,2061-06-02,244
2062,37.7998,2062-05-31,242
2063,14.105497,2063-05-12,223
2064,35.262177,2064-05-14,226
2065,19.750324,2065-04-29,210
2066,26.833183,2066-05-12,223
2067,31.033009,2067-05-13,224
2068,14.834895,2068-04-12,194
2069,11.92393,2069-03-06,156
2070,18.421944,2070-03-29,179
2071,20.244467,2071-03-30,180
2072,19.051174,2072-03-26,177
2073,29.074738,2073-03-29,179
2074,12.933487,2074-04-09,190
2075,22.18468,2075-03-10,160
2076,26.090155,2076-02-07,129
2077,19.247318,2077-02-23,145
2078,13.179052,2078-02-04,126
2079,15.861549,2079-01-29,120
2080,16.217968,2080-03-20,171
2081,40.471752,2081-01-28,119
2082,5.8313327,2082-01-07,98
2083,13.607882,2083-01-26,117
2084,23.593794,2084-01-09,100
2085,28.624117,2085-01-15,106
2086,15.128163,2086-01-22,113
2087,18.73186,2086-12-17,77
2088,19.610022,2087-12-27,87
2089,16.83016,2088-12-06,66
2090,13.294331,2090-01-02,93
2091,16.872486,2090-12-11,71
2092,15.262303,2091-12-12,72
2093,19.019842,2092-11-16,46
2094,19.780085,2093-11-26,56
2095,15.68401,2094-10-31,30
2096,14.864525,2095-12-04,64
2097,10.277571,2096-11-12,42
