,maxval,maxdate,maxarg
1981,12.247669,1981-03-27,177
1982,17.832186,1982-04-14,195
1983,8.215953,1983-03-26,176
1984,6.847277,1984-03-09,160
1985,8.810243,1985-03-06,156
1986,14.894944,1986-03-27,177
1987,13.611282,1987-03-02,152
1988,6.0646152,1988-02-01,123
1989,8.915812,1989-02-12,134
1990,11.457176,1990-02-27,149
1991,11.85037,1991-02-15,137
1992,8.218806,1992-02-01,123
1993,11.64541,1993-02-02,124
1994,7.5332975,1994-09-30,364
1995,14.504105,1995-01-26,117
1996,12.262398,1996-01-20,111
1997,7.2751718,1996-12-24,84
1998,10.802533,1998-01-01,92
1999,10.89029,1999-01-01,92
2000,6.472801,1999-11-27,57
2001,8.038667,2000-12-23,83
2002,12.68804,2001-12-30,90
2003,10.950834,2003-01-02,93
2004,11.257534,2003-12-04,64
2005,4.3574963,2004-11-28,58
2006,5.971715,2005-11-17,47
2007,5.5730824,2007-09-30,364
2008,11.408785,2007-10-31,30
2009,8.1166315,2008-10-15,14
2010,10.06253,2009-11-13,43
2011,11.202003,2010-11-22,52
2012,8.141507,2012-09-30,365
2013,9.007119,2012-10-10,9
2014,5.5998583,2014-01-22,113
2015,7.7078524,2015-01-28,119
2016,13.862868,2016-02-05,127
2017,9.8469305,2017-01-17,108
2018,7.687138,2018-01-28,119
2019,11.260812,2019-01-25,116
2020,5.3975744,2019-12-25,85
2021,4.6706543,2020-12-09,69
2022,10.402528,2021-12-29,89
2023,11.013313,2022-12-23,83
2024,13.644871,2023-12-31,91
2025,5.775302,2024-11-23,53
2026,5.6955643,2025-11-28,58
2027,4.7616863,2026-11-11,41
2028,5.9354978,2027-11-26,56
2029,11.276875,2028-11-21,51
2030,5.7203135,2029-11-01,31
2031,8.133877,2031-09-29,363
2032,10.6103115,2031-11-02,32
2033,10.285196,2032-11-11,41
2034,9.07634,2033-10-16,15
2035,14.256614,2035-09-30,364
2036,16.046492,2035-10-10,9
2037,8.489723,2037-09-25,359
2038,11.700578,2038-09-27,361
2039,11.17346,2038-10-13,12
2040,10.318029,2039-10-05,4
2041,5.455475,2040-10-04,3
2042,5.9303913,2042-08-19,322
2043,8.031671,2043-08-28,331
2044,7.3290663,2044-07-31,304
2045,10.933192,2045-08-17,320
2046,7.3741913,2046-08-12,315
2047,11.162244,2047-07-28,300
2048,15.401561,2048-08-09,313
2049,2.3294177,2049-06-24,266
2050,6.962729,2050-07-22,294
2051,6.1954637,2051-06-26,268
2052,2.9383159,2052-06-18,261
2053,6.5648274,2053-06-20,262
2054,8.049942,2054-07-08,280
2055,8.560365,2055-06-14,256
2056,3.4059606,2056-04-28,210
2057,10.649031,2057-06-11,253
2058,9.066131,2058-06-09,251
2059,6.133731,2059-05-03,214
2060,6.134108,2060-05-24,236
2061,4.553497,2061-04-12,193
2062,8.082348,2062-04-15,196
2063,5.9368267,2063-05-14,225
2064,5.6759224,2064-05-17,229
2065,6.702701,2065-03-31,181
2066,5.266041,2066-03-14,164
2067,6.1029577,2067-04-17,198
2068,6.699286,2068-04-02,184
2069,2.7841115,2069-04-13,194
2070,4.8137174,2070-03-07,157
2071,8.162156,2071-03-25,175
2072,10.092856,2072-03-27,178
2073,6.528053,2073-02-28,150
2074,9.410199,2074-02-28,150
2075,5.292172,2075-02-07,129
2076,2.4581914,2076-02-03,125
2077,6.088007,2077-02-22,144
2078,7.174511,2078-02-03,125
2079,5.758353,2079-01-23,114
2080,2.61596,2080-01-21,112
2081,6.223389,2081-01-25,116
2082,4.4898286,2082-01-06,97
2083,4.2232404,2083-01-11,102
2084,1.8704381,2083-12-15,75
2085,5.5640855,2084-12-25,85
2086,4.373867,2086-01-01,92
2087,7.1450305,2086-12-10,70
2088,4.390486,2087-12-17,77
2089,1.662435,2089-08-12,315
2090,2.6177554,2090-09-27,361
2091,2.6475677,2090-10-24,23
2092,2.8820875,2091-12-02,62
2093,3.905546,2092-11-06,36
2094,3.9292057,2093-11-22,52
2095,6.4212704,2094-10-24,23
2096,1.3253736,2096-09-09,344
2097,4.603872,2097-09-30,364
