,maxval,maxdate,maxarg
1981,19.40746,1981-03-31,181
1982,32.390846,1982-04-23,204
1983,17.21425,1983-03-30,180
1984,12.67222,1984-04-27,209
1985,23.24129,1985-04-11,192
1986,10.764015,1986-03-31,181
1987,19.104593,1987-04-05,186
1988,15.860345,1988-03-20,171
1989,8.733383,1989-02-11,133
1990,18.643131,1990-03-10,160
1991,14.872033,1991-02-16,138
1992,14.88203,1992-03-20,171
1993,11.17564,1993-02-05,127
1994,12.822269,1994-01-29,120
1995,20.231516,1995-02-26,148
1996,10.216835,1996-01-23,114
1997,9.059507,1997-02-08,130
1998,18.74145,1998-01-15,106
1999,11.544106,1999-01-11,102
2000,15.774046,2000-01-06,97
2001,11.991312,2001-01-01,92
2002,16.689104,2002-01-02,93
2003,23.167206,2003-01-03,94
2004,27.446838,2003-12-13,73
2005,18.573395,2004-12-20,80
2006,17.80016,2005-11-28,58
2007,20.141119,2006-12-06,66
2008,18.348484,2008-09-30,365
2009,20.953844,2008-11-05,35
2010,16.90892,2009-11-18,48
2011,18.4758,2010-11-24,54
2012,20.276714,2011-11-16,46
2013,17.345285,2012-10-19,18
2014,9.834476,2014-02-04,126
2015,15.896001,2015-02-18,140
2016,13.92705,2016-02-15,137
2017,28.05718,2017-01-30,121
2018,16.756573,2018-02-03,125
2019,20.141165,2019-02-06,128
2020,12.978286,2020-01-14,105
2021,23.29965,2021-01-04,95
2022,11.913456,2022-01-11,102
2023,23.649508,2023-01-18,109
2024,14.96686,2024-01-12,103
2025,19.142094,2024-12-30,90
2026,13.847147,2025-12-22,82
2027,11.119802,2026-11-30,60
2028,14.442778,2027-12-20,80
2029,13.084364,2028-12-06,66
2030,14.240423,2029-12-14,74
2031,11.246042,2030-11-22,52
2032,10.2640505,2032-09-30,365
2033,16.458288,2032-11-26,56
2034,15.284835,2033-11-06,36
2035,16.894176,2034-10-29,28
2036,15.899035,2036-09-30,365
2037,18.98321,2036-10-27,26
2038,17.033901,2037-10-21,20
2039,18.197298,2039-09-30,364
2040,19.413233,2039-10-19,18
2041,19.311535,2040-10-05,4
2042,15.7402935,2041-10-01,0
2043,9.724182,2043-09-19,353
2044,13.064283,2044-08-31,335
2045,14.593681,2045-09-29,363
2046,23.187004,2046-08-20,323
2047,22.013542,2047-08-28,331
2048,16.45188,2048-08-11,315
2049,13.834873,2049-07-30,302
2050,15.984693,2050-08-16,319
2051,19.511135,2051-08-02,305
2052,15.914745,2052-07-16,289
2053,14.689968,2053-07-09,281
2054,10.282122,2054-07-25,297
2055,9.196229,2055-07-12,284
2056,8.666034,2056-06-04,247
2057,14.970342,2057-07-05,277
2058,13.87224,2058-07-17,289
2059,16.092947,2059-06-04,246
2060,13.186192,2060-05-27,239
2061,15.842637,2061-06-12,254
2062,23.509161,2062-06-01,243
2063,9.32215,2063-05-23,234
2064,22.281467,2064-05-30,242
2065,13.587772,2065-04-30,211
2066,17.726578,2066-05-13,224
2067,19.378431,2067-05-14,225
2068,11.924777,2068-05-07,219
2069,10.112023,2069-05-15,226
2070,10.138221,2070-03-30,180
2071,13.841507,2071-04-20,201
2072,11.080028,2072-03-28,179
2073,15.011534,2073-03-30,180
2074,9.268556,2074-03-30,180
2075,12.966161,2075-04-13,194
2076,16.492418,2076-02-08,130
2077,10.728069,2077-02-27,149
2078,6.4517074,2078-02-07,129
2079,12.7824135,2079-03-16,166
2080,14.128063,2080-03-23,174
2081,24.011705,2081-01-30,121
2082,3.6823745,2082-01-07,98
2083,11.656041,2083-01-26,117
2084,13.698634,2084-01-09,100
2085,16.39025,2085-01-15,106
2086,8.280926,2086-01-26,117
2087,12.890037,2087-01-15,106
2088,10.868655,2088-01-04,95
2089,9.67068,2089-01-14,105
2090,8.1507845,2090-01-08,99
2091,8.582972,2090-12-19,79
2092,9.782427,2091-12-12,72
2093,10.04581,2092-11-20,50
2094,10.255308,2093-12-02,62
2095,11.554616,2094-11-30,60
2096,8.38228,2095-12-06,66
2097,5.2940025,2097-09-30,364
