,maxval,maxdate,maxarg
1981,24.489784,1981-03-26,176
1982,17.667202,1982-03-05,155
1983,11.346483,1983-01-29,120
1984,7.5922604,1984-02-02,124
1985,26.658,1985-03-25,175
1986,12.047807,1986-02-20,142
1987,18.712358,1987-03-05,155
1988,14.777258,1988-02-23,145
1989,11.309194,1989-02-03,125
1990,18.490114,1990-02-25,147
1991,15.948161,1991-02-03,125
1992,10.392063,1992-01-21,112
1993,18.90361,1993-01-28,119
1994,17.926836,1993-12-11,71
1995,18.416409,1995-01-03,94
1996,12.617489,1996-01-20,111
1997,10.444739,1996-11-11,41
1998,16.807278,1997-12-30,90
1999,13.945793,1998-11-21,51
2000,4.4915752,2000-09-24,359
2001,10.636936,2000-12-10,70
2002,11.736444,2002-09-30,364
2003,18.553114,2002-11-26,56
2004,11.196688,2004-09-26,361
2005,15.950902,2004-11-28,58
2006,17.240276,2005-11-16,46
2007,16.562145,2006-11-08,38
2008,16.587564,2007-10-30,29
2009,13.950322,2008-10-01,0
2010,16.316692,2010-09-22,356
2011,17.606287,2011-09-30,364
2012,17.711956,2011-10-02,1
2013,9.344665,2012-10-12,11
2014,14.69635,2014-01-14,105
2015,12.294842,2015-02-07,129
2016,14.262423,2016-01-07,98
2017,18.247522,2016-12-23,83
2018,14.832621,2018-01-30,121
2019,11.431357,2018-11-03,33
2020,11.962862,2019-11-25,55
2021,15.088219,2020-12-05,65
2022,15.62206,2022-01-10,101
2023,20.655928,2022-11-28,58
2024,15.038389,2024-09-30,365
2025,16.523903,2024-10-16,15
2026,12.840582,2025-12-04,64
2027,9.751901,2027-09-30,364
2028,11.566855,2027-11-23,53
2029,9.719827,2028-10-30,29
2030,9.383299,2030-09-19,353
2031,12.302532,2030-11-10,40
2032,11.279382,2031-10-26,25
2033,14.764442,2033-09-30,364
2034,20.072262,2034-09-30,364
2035,22.311401,2034-10-28,27
2036,10.983889,2035-10-01,0
2037,12.256938,2037-08-17,320
2038,8.243164,2038-08-03,306
2039,12.970671,2039-09-23,357
2040,13.810268,2039-10-06,5
2041,8.856724,2040-10-02,1
2042,5.2319074,2042-07-14,286
2043,6.580947,2043-08-04,307
2044,8.040142,2044-07-10,283
2045,3.869772,2045-08-17,320
2046,17.818487,2046-07-08,280
2047,18.49697,2047-07-25,297
2048,6.074465,2048-07-15,288
2049,3.442756,2049-05-08,219
2050,6.12839,2050-06-24,266
2051,14.194475,2051-06-17,259
2052,3.8548257,2052-04-12,194
2053,11.795558,2053-06-10,252
2054,8.2081175,2054-06-23,265
2055,11.944788,2055-06-25,267
2056,2.5622413,2056-04-26,208
2057,10.821623,2057-05-24,235
2058,2.2813482,2058-04-01,182
2059,2.1267734,2059-02-18,140
2060,1.6205271,2060-03-06,157
2061,10.677551,2061-03-11,161
2062,12.810739,2062-03-31,181
2063,4.1006103,2063-03-31,181
2064,3.6663468,2064-02-08,130
2065,8.156643,2065-04-07,188
2066,12.399274,2066-03-13,163
2067,2.2843242,2066-12-20,80
2068,4.435099,2068-02-15,137
2069,3.0993245,2069-01-19,110
2070,7.1306195,2070-03-06,156
2071,4.67336,2071-03-29,179
2072,10.377312,2072-03-07,158
2073,3.684269,2072-12-11,71
2074,3.6175883,2074-01-21,112
2075,7.6119165,2075-02-07,129
2076,6.9044213,2076-02-02,124
2077,4.1417637,2076-12-17,77
2078,4.77433,2078-01-06,97
2079,5.7435455,2079-01-23,114
2080,3.6954503,2080-01-19,110
2081,3.4231799,2081-01-24,115
2082,1.8481323,2082-09-24,358
2083,1.30684,2082-11-16,46
2084,2.2304907,2083-12-15,75
2085,3.0106888,2084-12-31,91
2086,3.6292992,2085-10-29,28
2087,1.6027255,2086-11-27,57
2088,0.95720804,2088-09-17,352
2089,0.6074495,2089-09-30,364
2090,1.4765722,2090-09-14,348
2091,1.6036884,2091-08-23,326
2092,2.00604,2091-11-27,57
2093,1.6267842,2092-11-01,31
2094,0.87412614,2093-10-01,0
2095,1.3671274,2095-08-10,313
2096,1.6730127,2095-10-23,22
2097,4.131963,2097-08-30,333
