,maxval,maxdate,maxarg
1981,16.372063,1981-03-26,176
1982,15.1357355,1982-03-10,160
1983,7.9826727,1983-03-27,177
1984,11.797038,1984-03-21,172
1985,16.378654,1985-02-26,148
1986,17.469873,1986-03-31,181
1987,15.526256,1987-03-06,156
1988,4.9953504,1988-02-10,132
1989,10.542535,1989-02-24,146
1990,14.893715,1990-02-27,149
1991,17.041964,1991-02-17,139
1992,14.070554,1992-01-24,115
1993,16.40294,1993-02-02,124
1994,13.535286,1994-01-16,107
1995,14.477378,1995-01-26,117
1996,7.6859546,1995-12-30,90
1997,12.217113,1996-12-25,85
1998,12.771821,1998-01-02,93
1999,11.290872,1999-01-08,99
2000,6.1665344,1999-11-24,54
2001,11.277697,2000-12-26,86
2002,16.39642,2002-01-02,93
2003,19.937355,2002-12-30,90
2004,14.410789,2003-12-05,65
2005,12.604582,2004-11-28,58
2006,19.517866,2005-11-18,48
2007,13.979748,2006-10-25,24
2008,10.8495245,2008-09-30,365
2009,11.781407,2008-10-13,12
2010,12.8380995,2009-11-04,34
2011,19.925299,2010-11-23,53
2012,11.547898,2011-10-03,2
2013,11.909614,2012-10-10,9
2014,14.606194,2014-01-23,114
2015,13.85547,2015-01-29,120
2016,15.694739,2016-02-09,131
2017,16.637527,2017-01-19,110
2018,7.0284433,2017-12-07,67
2019,24.77558,2019-02-06,128
2020,5.7619224,2019-12-26,86
2021,16.780222,2020-12-09,69
2022,14.641088,2021-12-23,83
2023,21.913315,2023-01-01,92
2024,17.594917,2024-01-11,102
2025,16.238724,2024-11-30,60
2026,7.2645216,2026-09-24,358
2027,10.44238,2026-11-15,45
2028,8.761584,2027-11-20,50
2029,16.785625,2028-11-20,50
2030,10.781656,2029-11-02,32
2031,9.464474,2031-09-30,364
2032,12.233373,2031-10-25,24
2033,14.414037,2033-09-30,364
2034,18.0596,2033-10-17,16
2035,13.463622,2034-10-10,9
2036,15.138656,2035-10-12,11
2037,15.411269,2036-10-23,22
2038,16.852964,2038-09-30,364
2039,19.287344,2038-10-19,18
2040,18.060415,2039-10-05,4
2041,14.113004,2041-08-28,331
2042,11.030341,2042-08-20,323
2043,11.059561,2043-08-28,331
2044,11.30766,2044-07-23,296
2045,9.22759,2045-08-18,321
2046,16.35258,2046-08-11,314
2047,12.784558,2047-07-28,300
2048,12.061991,2048-07-30,303
2049,7.449695,2049-06-26,268
2050,12.63503,2050-08-05,308
2051,12.169241,2051-07-03,275
2052,7.768847,2052-06-18,261
2053,13.902742,2053-07-07,279
2054,15.862764,2054-07-26,298
2055,12.983721,2055-06-14,256
2056,5.3612847,2056-06-02,245
2057,10.783416,2057-06-11,253
2058,11.634757,2058-06-20,262
2059,9.711621,2059-05-09,220
2060,11.561718,2060-05-25,237
2061,5.564867,2061-04-15,196
2062,10.700446,2062-04-06,187
2063,7.728894,2063-05-09,220
2064,3.7922854,2064-04-21,203
2065,6.3459287,2065-03-15,165
2066,5.483489,2066-03-26,176
2067,4.9641,2067-04-17,198
2068,8.140777,2068-04-13,195
2069,14.342083,2069-05-05,216
2070,7.024769,2070-03-20,170
2071,7.5479813,2071-04-16,197
2072,11.213021,2072-03-21,172
2073,13.237234,2073-03-29,179
2074,11.845022,2074-03-13,163
2075,9.081523,2075-02-08,130
2076,5.5633717,2076-01-09,100
2077,5.4250073,2077-02-18,140
2078,9.794967,2078-02-28,150
2079,7.921615,2079-01-27,118
2080,7.2047925,2080-01-21,112
2081,6.1761746,2081-01-15,106
2082,4.6063995,2082-01-06,97
2083,3.5328355,2083-02-10,132
2084,7.85721,2083-12-15,75
2085,7.086755,2084-12-28,88
2086,5.2051525,2086-01-07,98
2087,6.54023,2087-01-16,107
2088,5.3782234,2087-12-18,78
2089,6.137721,2088-12-07,67
2090,5.8001485,2090-01-22,113
2091,11.657367,2090-12-20,80
2092,8.4763565,2092-09-30,365
2093,14.139006,2092-11-16,46
2094,5.757923,2093-11-22,52
2095,9.860251,2094-11-29,59
2096,3.587684,2095-10-19,18
2097,5.627691,2097-09-30,364
