,maxval,maxdate,maxarg
1981,27.1894,1981-04-10,191
1982,53.938934,1982-04-23,204
1983,23.118269,1983-04-28,209
1984,13.486838,1984-04-22,204
1985,32.948936,1985-04-10,191
1986,19.213718,1986-03-29,179
1987,27.428322,1987-04-08,189
1988,12.608338,1988-02-15,137
1989,16.230799,1989-02-18,140
1990,32.03783,1990-03-03,153
1991,19.058458,1991-02-16,138
1992,21.88717,1992-02-12,134
1993,20.209618,1993-02-02,124
1994,13.363223,1994-09-30,364
1995,30.066195,1995-02-01,123
1996,22.071747,1996-01-22,113
1997,15.332763,1997-02-06,128
1998,27.707573,1998-01-13,104
1999,23.743303,1999-01-10,101
2000,15.707347,2000-01-06,97
2001,13.678274,2000-12-26,86
2002,22.697405,2002-01-04,95
2003,30.041523,2003-01-03,94
2004,33.403927,2003-12-11,71
2005,20.873106,2004-12-18,78
2006,31.64209,2005-12-15,75
2007,24.810642,2006-12-07,67
2008,27.46432,2008-09-30,365
2009,30.071575,2008-11-05,35
2010,23.729708,2009-11-25,55
2011,27.476643,2010-11-24,54
2012,27.44378,2011-10-26,25
2013,25.433191,2012-10-17,16
2014,16.289515,2014-01-25,116
2015,25.96251,2015-02-11,133
2016,19.719398,2016-02-14,136
2017,40.176548,2017-01-23,114
2018,25.988838,2018-01-31,122
2019,19.51153,2019-02-04,126
2020,15.220812,2020-01-09,100
2021,34.312622,2021-01-04,95
2022,23.28865,2022-01-11,102
2023,37.83757,2023-01-17,108
2024,19.145224,2024-01-12,103
2025,28.41,2024-12-29,89
2026,16.607561,2025-12-06,66
2027,14.751946,2026-11-17,47
2028,15.530068,2027-12-12,72
2029,21.69062,2028-11-20,50
2030,14.341051,2029-12-14,74
2031,12.489415,2031-09-29,363
2032,21.496525,2032-09-30,365
2033,30.488293,2033-09-30,364
2034,32.52921,2033-11-04,34
2035,25.683115,2035-09-30,364
2036,28.452452,2035-10-30,29
2037,29.777475,2037-09-30,364
2038,29.771107,2037-10-01,0
2039,34.151165,2039-09-30,364
2040,34.433636,2039-10-05,4
2041,27.122017,2040-10-05,4
2042,18.309736,2041-10-01,0
2043,15.291449,2043-08-31,334
2044,17.744211,2044-08-23,327
2045,16.519388,2045-09-07,341
2046,33.762184,2046-08-16,319
2047,38.608902,2047-08-17,320
2048,33.637726,2048-08-18,322
2049,20.749195,2049-07-28,300
2050,31.585613,2050-08-16,319
2051,20.949465,2051-07-20,292
2052,13.37579,2052-07-12,285
2053,23.669514,2053-06-26,268
2054,17.00688,2054-07-14,286
2055,15.68917,2055-06-25,267
2056,9.566466,2056-06-18,261
2057,22.358503,2057-07-04,276
2058,17.76358,2058-06-09,251
2059,19.684849,2059-06-02,244
2060,17.123959,2060-05-26,238
2061,17.057158,2061-05-30,241
2062,44.403652,2062-05-27,238
2063,12.589893,2063-05-23,234
2064,25.157677,2064-05-20,232
2065,16.229937,2065-04-27,208
2066,25.063917,2066-05-09,220
2067,24.024364,2067-05-13,224
2068,21.288609,2068-04-13,195
2069,14.679867,2069-05-08,219
2070,13.836814,2070-03-24,174
2071,23.805317,2071-04-18,199
2072,25.045126,2072-03-27,178
2073,25.37676,2073-03-29,179
2074,19.561396,2074-04-09,190
2075,15.686297,2075-03-10,160
2076,27.465874,2076-03-04,155
2077,18.346186,2077-02-27,149
2078,16.630701,2078-02-09,131
2079,17.489992,2079-01-29,120
2080,19.82376,2080-03-23,174
2081,28.932745,2081-01-28,119
2082,6.2428565,2082-01-07,98
2083,13.111146,2083-01-18,109
2084,16.972692,2084-01-05,96
2085,27.256037,2085-01-12,103
2086,14.635911,2086-01-08,99
2087,27.458448,2087-01-15,106
2088,24.759058,2087-12-27,87
2089,16.66732,2089-01-15,106
2090,9.463639,2090-09-27,361
2091,16.548489,2090-12-20,80
2092,17.429424,2092-09-30,365
2093,23.512691,2092-11-16,46
2094,12.644883,2093-11-27,57
2095,21.885311,2094-11-28,58
2096,7.9033427,2095-12-02,62
2097,9.210218,2096-11-10,40
