,maxval,maxdate,maxarg
1981,16.04246,1981-03-24,174
1982,18.3534,1982-03-06,156
1983,6.844309,1983-01-26,117
1984,1.936216,1984-01-30,121
1985,15.894118,1985-03-06,156
1986,9.035936,1986-02-07,129
1987,14.97646,1987-02-06,128
1988,9.120556,1988-01-27,118
1989,2.7648501,1988-12-25,85
1990,17.665453,1990-01-18,109
1991,9.963683,1990-12-14,74
1992,11.031433,1992-01-05,96
1993,8.565411,1992-12-14,74
1994,12.402256,1993-12-11,71
1995,15.431904,1994-12-13,73
1996,5.8784733,1995-12-08,68
1997,7.5731063,1997-09-30,364
1998,13.853722,1997-12-30,90
1999,7.882942,1998-11-08,38
2000,4.0268292,1999-11-23,53
2001,3.8694186,2001-09-29,363
2002,10.1867485,2001-11-12,42
2003,12.811089,2002-11-24,54
2004,8.240663,2004-09-28,363
2005,12.217213,2005-09-17,351
2006,10.939872,2005-10-04,3
2007,7.3961644,2006-10-13,12
2008,11.348514,2008-09-23,358
2009,9.519012,2008-10-01,0
2010,15.577359,2010-09-09,343
2011,11.860644,2010-10-26,25
2012,7.6148787,2012-09-09,344
2013,1.3910708,2013-07-06,278
2014,8.852211,2014-01-02,93
2015,5.9234743,2014-12-18,78
2016,7.431477,2015-12-02,62
2017,12.321614,2016-11-27,57
2018,6.4234734,2017-11-25,55
2019,7.1808004,2018-11-03,33
2020,5.434926,2020-09-30,365
2021,11.595796,2020-11-09,39
2022,5.9798436,2022-09-14,348
2023,13.403217,2022-11-28,58
2024,7.791867,2024-09-30,365
2025,9.084585,2024-10-11,10
2026,8.399041,2025-10-01,0
2027,6.847783,2027-09-30,364
2028,7.353842,2027-10-29,28
2029,2.4872835,2028-10-27,26
2030,5.101305,2030-09-10,344
2031,5.421432,2031-09-26,360
2032,5.0295978,2031-10-01,0
2033,8.424312,2033-09-18,352
2034,11.785432,2034-09-30,364
2035,13.859675,2034-10-09,8
2036,5.14011,2035-10-01,0
2037,8.905027,2037-08-15,318
2038,1.5781251,2038-06-29,271
2039,3.7531824,2039-08-03,306
2040,6.532863,2040-09-17,352
2041,2.5023897,2041-05-17,228
2042,0.743646,2042-07-17,289
2043,3.7618048,2043-07-23,295
2044,6.918014,2044-06-24,267
2045,2.6364596,2045-07-20,292
2046,10.957363,2046-07-04,276
2047,8.167844,2047-07-01,273
2048,5.441808,2048-06-20,263
2049,2.044198,2049-06-22,264
2050,5.1149316,2050-04-16,197
2051,6.2691646,2051-06-16,258
2052,3.1264265,2052-03-23,174
2053,6.1377993,2053-05-27,238
2054,6.827524,2054-06-15,257
2055,6.2495522,2055-05-23,234
2056,1.9610002,2056-03-03,154
2057,8.624161,2057-05-23,234
2058,2.2790225,2058-04-01,182
2059,1.5898981,2059-04-10,191
2060,1.2018738,2060-04-20,202
2061,7.24572,2061-02-28,150
2062,10.097524,2062-03-26,176
2063,1.7244573,2063-03-16,166
2064,2.6533413,2064-02-02,124
2065,2.0049605,2065-03-30,180
2066,4.1295414,2066-02-21,143
2067,1.496666,2067-03-22,172
2068,1.2201868,2068-01-22,113
2069,1.1214689,2069-01-17,108
2070,5.7828007,2070-02-22,144
2071,3.4126234,2071-03-24,174
2072,7.1715174,2072-02-23,145
2073,2.2157443,2072-12-11,71
2074,4.44471,2074-01-20,111
2075,2.2065554,2075-02-04,126
2076,2.0592508,2076-01-29,120
2077,2.2257981,2076-12-10,70
2078,3.0853217,2077-11-20,50
2079,6.833357,2078-12-06,66
2080,0.6129443,2080-03-17,168
2081,1.0208491,2080-11-10,40
2082,0.8418246,2081-11-13,43
2083,1.6871154,2082-12-20,80
2084,2.9738548,2083-12-04,64
2085,1.4760351,2084-11-28,58
2086,3.1547942,2085-10-30,29
2087,1.9722885,2086-11-23,53
2088,1.5241085,2087-11-30,60
2089,0.36195305,2088-12-05,65
2090,0.49576685,2089-10-25,24
2091,0.3541527,2091-08-31,334
2092,1.4888914,2091-11-26,56
2093,0.45879838,2092-10-21,20
2094,1.3468955,2094-09-30,364
2095,1.2832196,2094-10-01,0
2096,0.7517875,2095-10-18,17
2097,1.9959917,2097-09-30,364
