,maxval,maxdate,maxarg
1981,19.098265,1981-03-23,173
1982,29.042295,1982-02-08,130
1983,4.0520725,1983-02-07,129
1984,7.749035,1984-02-29,151
1985,16.36029,1985-03-05,155
1986,18.028301,1986-03-14,164
1987,19.135332,1987-03-01,151
1988,10.62873,1988-01-18,109
1989,5.3968263,1989-01-30,121
1990,24.668211,1990-02-25,147
1991,11.733368,1991-01-06,97
1992,13.252139,1992-01-07,98
1993,16.395031,1993-01-26,117
1994,16.601381,1994-09-30,364
1995,22.015896,1994-12-31,91
1996,23.960646,1996-01-15,106
1997,8.832489,1997-09-30,364
1998,25.642784,1997-12-30,90
1999,15.512122,1998-12-08,68
2000,8.391169,1999-11-18,48
2001,10.384142,2001-09-28,362
2002,22.433342,2001-12-04,64
2003,10.355885,2003-09-30,364
2004,19.100168,2003-12-02,62
2005,11.286083,2004-10-22,21
2006,5.49438,2006-08-26,329
2007,5.676386,2006-10-05,4
2008,18.037737,2007-10-28,27
2009,13.080644,2008-10-01,0
2010,17.73614,2010-09-17,351
2011,22.443504,2010-10-31,30
2012,14.514797,2012-08-22,326
2013,12.349658,2012-10-01,0
2014,4.7015576,2013-12-26,86
2015,11.433625,2014-12-08,68
2016,11.749146,2016-01-26,117
2017,13.039884,2016-12-01,61
2018,6.3631954,2017-11-21,51
2019,5.7227516,2019-01-02,93
2020,7.179705,2020-09-30,365
2021,14.7811575,2020-11-02,32
2022,11.100242,2021-11-27,57
2023,12.342842,2023-09-02,336
2024,28.311892,2023-12-15,75
2025,13.801558,2025-09-29,363
2026,22.896368,2025-12-01,61
2027,5.727599,2027-09-30,364
2028,12.181629,2028-09-30,365
2029,13.619629,2028-10-28,27
2030,8.017243,2029-10-05,4
2031,6.544858,2030-10-20,19
2032,16.024214,2032-09-26,361
2033,17.627506,2033-09-17,351
2034,17.348246,2033-10-09,8
2035,9.2530575,2035-09-30,364
2036,9.244402,2035-10-01,0
2037,4.729019,2037-07-25,297
2038,24.674519,2038-09-12,346
2039,22.400797,2038-10-01,0
2040,7.8694043,2040-09-14,349
2041,2.571979,2041-08-01,304
2042,7.5875072,2042-07-30,302
2043,14.327716,2043-08-14,317
2044,2.3255436,2044-07-06,279
2045,4.620384,2045-07-30,302
2046,12.541711,2046-06-22,264
2047,13.953674,2047-07-16,288
2048,18.073835,2048-07-17,290
2049,4.7648153,2049-05-29,240
2050,2.0715065,2050-04-29,210
2051,2.4669073,2051-04-30,211
2052,5.546697,2052-03-18,169
2053,5.5697217,2053-05-26,237
2054,9.228437,2054-06-11,253
2055,4.4865427,2055-06-09,251
2056,4.4733925,2056-03-05,156
2057,17.288248,2057-05-30,241
2058,5.7221045,2058-04-29,210
2059,2.7484467,2059-04-29,210
2060,3.5734608,2060-04-07,189
2061,1.9673197,2061-03-10,160
2062,2.624241,2062-02-15,137
2063,8.065078,2063-04-02,183
2064,2.2403286,2064-01-03,94
2065,1.6429862,2065-01-21,112
2066,2.7275455,2066-02-12,134
2067,3.4335122,2067-03-23,173
2068,1.6118826,2068-03-03,154
2069,2.101603,2069-02-21,143
2070,7.096488,2070-03-04,154
2071,6.8919764,2071-03-23,173
2072,20.216454,2072-03-08,159
2073,2.5383248,2073-02-11,133
2074,23.523754,2074-02-17,139
2075,2.4818113,2075-03-08,158
2076,4.039061,2076-01-03,94
2077,4.169162,2077-02-13,135
2078,4.0290833,2077-12-21,81
2079,6.5208545,2079-01-09,100
2080,2.6125267,2080-01-16,107
2081,5.789159,2080-10-15,14
2082,1.930161,2081-11-23,53
2083,1.9408907,2082-11-16,46
2084,1.1534485,2083-12-03,63
2085,3.2860198,2084-11-26,56
2086,1.6128019,2085-11-25,55
2087,5.454184,2086-11-20,50
2088,6.1250744,2087-12-07,67
2089,1.2004263,2089-08-10,313
2090,3.4140694,2089-10-03,2
2091,1.0520103,2090-11-21,51
2092,1.8875215,2091-12-02,62
2093,3.665671,2093-09-30,364
2094,5.718973,2093-10-19,18
2095,2.1283383,2095-08-03,306
2096,0.17634256,2095-10-16,15
2097,1.7627755,2097-08-13,316
