,maxval,maxdate,maxarg
1981,15.967842,1981-03-27,177
1982,13.174291,1982-03-06,156
1983,11.197899,1983-03-24,174
1984,14.086589,1984-03-22,173
1985,19.001347,1985-03-27,177
1986,12.086,1986-03-25,175
1987,12.541182,1987-03-06,156
1988,7.236747,1988-02-01,123
1989,12.648606,1989-01-31,122
1990,13.916726,1990-02-20,142
1991,11.451296,1991-02-12,134
1992,12.117205,1992-01-24,115
1993,15.337778,1993-02-05,127
1994,14.67093,1994-01-11,102
1995,12.469861,1995-01-15,106
1996,13.15046,1996-01-23,114
1997,10.469264,1996-12-23,83
1998,16.350744,1997-12-31,91
1999,8.811573,1998-12-28,88
2000,6.006812,1999-12-03,63
2001,7.239234,2000-12-11,71
2002,11.789073,2002-09-30,364
2003,19.331915,2003-01-02,93
2004,13.16248,2004-09-29,364
2005,18.553312,2004-12-17,77
2006,21.544052,2005-11-23,53
2007,14.419278,2006-11-09,39
2008,12.265936,2007-10-31,30
2009,10.816217,2008-10-03,2
2010,10.593771,2009-11-08,38
2011,17.630768,2011-09-30,364
2012,17.668667,2011-10-03,2
2013,11.640186,2012-10-12,11
2014,13.17321,2014-01-24,115
2015,14.304036,2015-02-09,131
2016,11.119457,2016-02-01,123
2017,18.076221,2017-01-21,112
2018,14.338708,2018-02-02,124
2019,12.063725,2019-01-11,102
2020,10.2023115,2019-12-01,61
2021,15.880517,2020-12-08,68
2022,14.195006,2022-01-11,102
2023,15.763819,2022-12-24,84
2024,10.463488,2024-09-30,365
2025,14.624131,2024-11-23,53
2026,9.854483,2025-12-05,65
2027,10.837885,2027-09-30,364
2028,13.936845,2027-11-28,58
2029,12.095937,2028-11-16,46
2030,9.75532,2029-11-19,49
2031,11.936996,2030-11-09,39
2032,12.927685,2031-11-02,32
2033,12.884308,2033-09-30,364
2034,15.373582,2034-09-30,364
2035,16.249914,2035-09-30,364
2036,17.729162,2035-10-08,7
2037,12.776602,2036-10-03,2
2038,11.382012,2038-09-09,343
2039,17.818241,2039-09-29,363
2040,18.479282,2039-10-05,4
2041,12.172717,2041-08-11,314
2042,9.581493,2042-08-13,316
2043,11.202116,2043-08-30,333
2044,14.049387,2044-07-22,295
2045,7.6182075,2045-08-18,321
2046,13.200691,2046-07-26,298
2047,12.779426,2047-07-27,299
2048,6.628453,2048-07-22,295
2049,10.421853,2049-06-28,270
2050,9.696839,2050-07-24,296
2051,16.69472,2051-07-03,275
2052,9.510882,2052-07-12,285
2053,14.99461,2053-06-20,262
2054,8.302958,2054-07-05,277
2055,11.642963,2055-06-22,264
2056,6.829685,2056-04-30,212
2057,11.821205,2057-07-04,276
2058,10.206037,2058-06-05,247
2059,10.585917,2059-05-04,215
2060,5.9771276,2060-05-16,228
2061,7.7933564,2061-04-11,192
2062,11.373341,2062-05-19,230
2063,5.749886,2063-04-21,202
2064,8.270374,2064-05-13,225
2065,8.107611,2065-04-07,188
2066,9.566375,2066-03-14,164
2067,4.2677674,2067-04-11,192
2068,8.4873905,2068-03-06,157
2069,7.098521,2069-02-24,146
2070,6.672,2070-03-24,174
2071,9.558129,2071-03-30,180
2072,10.710549,2072-03-25,176
2073,9.822664,2073-03-19,169
2074,2.5750737,2074-02-24,146
2075,11.094646,2075-02-09,131
2076,8.761718,2076-02-03,125
2077,6.9385414,2077-02-22,144
2078,7.7127905,2078-02-06,128
2079,8.020702,2079-01-23,114
2080,4.019562,2080-01-21,112
2081,2.8057306,2081-01-25,116
2082,3.6041758,2082-01-05,96
2083,7.0905437,2082-12-08,68
2084,9.527748,2084-01-05,96
2085,6.1840634,2084-12-31,91
2086,6.726508,2085-11-06,36
2087,7.380053,2086-12-10,70
2088,5.6346784,2087-12-16,76
2089,2.387503,2088-12-06,66
2090,5.2926407,2090-09-27,361
2091,5.5045824,2090-10-09,8
2092,6.5489016,2091-10-19,18
2093,7.35241,2092-11-14,44
2094,4.819442,2094-09-30,364
2095,7.0149155,2094-10-23,22
2096,6.2640285,2095-12-05,65
2097,5.58811,2097-09-30,364
