,maxval,maxdate,maxarg
1981,12.698604,1981-03-24,174
1982,15.444737,1982-04-22,203
1983,8.056357,1983-03-25,175
1984,9.552137,1984-03-22,173
1985,16.72099,1985-03-27,177
1986,21.189625,1986-03-14,164
1987,18.739529,1987-04-02,183
1988,11.350005,1988-02-23,145
1989,15.393949,1989-01-26,117
1990,17.356047,1990-02-20,142
1991,12.802009,1991-02-05,127
1992,16.220692,1992-01-24,115
1993,22.390238,1993-02-04,126
1994,14.862821,1994-01-06,97
1995,12.805995,1995-01-14,105
1996,20.613596,1996-01-19,110
1997,14.0886345,1996-12-23,83
1998,15.913286,1998-01-01,92
1999,9.046808,1998-11-28,58
2000,7.1761746,1999-11-24,54
2001,12.467889,2000-12-25,85
2002,17.330183,2002-09-30,364
2003,32.90122,2003-01-02,93
2004,8.35029,2003-12-11,71
2005,12.107711,2004-12-19,79
2006,15.763184,2005-11-18,48
2007,15.390774,2006-11-10,40
2008,10.821668,2007-10-25,24
2009,9.9620495,2008-10-24,23
2010,11.53654,2009-11-13,43
2011,23.139513,2011-09-29,363
2012,23.066433,2011-10-01,0
2013,14.001032,2012-10-09,8
2014,22.354216,2014-01-21,112
2015,9.229386,2014-12-19,79
2016,18.213911,2016-01-31,122
2017,15.752251,2017-01-19,110
2018,12.633694,2018-02-02,124
2019,17.142235,2019-01-11,102
2020,9.626814,2019-11-06,36
2021,9.314629,2020-12-07,67
2022,15.856887,2022-01-10,101
2023,16.48213,2022-12-31,91
2024,6.4357204,2024-09-15,350
2025,9.301604,2024-11-23,53
2026,7.3310914,2025-12-05,65
2027,12.2853365,2027-09-30,364
2028,16.142479,2027-11-26,56
2029,9.341768,2028-11-16,46
2030,15.587545,2030-09-30,364
2031,18.645933,2030-11-09,39
2032,12.006378,2031-10-29,28
2033,11.795751,2032-11-11,41
2034,15.670048,2034-09-30,364
2035,16.632055,2034-10-21,20
2036,16.206987,2035-10-10,9
2037,12.4801445,2036-10-22,21
2038,7.552656,2038-09-10,344
2039,14.91046,2039-09-30,364
2040,15.339949,2039-10-05,4
2041,7.247285,2041-08-12,315
2042,6.181361,2042-08-12,315
2043,11.338284,2043-08-27,330
2044,10.677787,2044-07-31,304
2045,9.323896,2045-08-18,321
2046,14.096415,2046-08-07,310
2047,9.744477,2047-07-27,299
2048,8.0444765,2048-08-08,312
2049,6.5044107,2049-06-27,269
2050,9.287113,2050-08-01,304
2051,18.17311,2051-06-24,266
2052,3.8317654,2052-04-28,210
2053,18.182514,2053-06-17,259
2054,13.114188,2054-07-05,277
2055,12.081202,2055-06-22,264
2056,6.560219,2056-05-22,234
2057,13.544419,2057-06-10,252
2058,6.035345,2058-06-07,249
2059,9.27941,2059-05-07,218
2060,5.282844,2060-03-17,168
2061,6.8485913,2061-03-13,163
2062,5.9267607,2062-04-01,182
2063,5.6460843,2063-04-21,202
2064,7.2078977,2064-05-14,226
2065,8.488863,2065-03-14,164
2066,10.000672,2066-03-14,164
2067,6.1508865,2067-05-02,213
2068,6.638991,2068-02-19,141
2069,7.602601,2069-02-08,130
2070,4.802508,2070-03-05,155
2071,4.0363483,2071-02-03,125
2072,12.486585,2072-03-25,176
2073,15.57533,2073-03-29,179
2074,3.0788746,2074-02-24,146
2075,8.799602,2075-02-07,129
2076,4.3709345,2076-02-03,125
2077,4.914132,2076-12-17,77
2078,7.8886695,2078-01-21,112
2079,7.8935385,2079-01-23,114
2080,6.586145,2080-01-21,112
2081,3.2494252,2081-01-25,116
2082,3.155444,2081-12-07,67
2083,8.852529,2082-12-08,68
2084,8.587615,2084-01-05,96
2085,5.6049466,2084-12-30,90
2086,7.961363,2085-11-02,32
2087,5.202589,2086-12-17,77
2088,3.8257291,2087-12-03,63
2089,3.9359233,2088-11-04,34
2090,6.9131103,2090-09-27,361
2091,6.7870765,2090-10-01,0
2092,4.9116907,2091-10-01,0
2093,6.7693954,2092-11-13,43
2094,2.5625463,2094-09-30,364
2095,4.145847,2094-10-23,22
2096,7.7347445,2095-12-06,66
2097,7.458239,2097-09-27,361
