,maxval,maxdate,maxarg
1981,19.12023,1981-03-24,174
1982,40.632935,1982-03-08,158
1983,16.743607,1983-01-26,117
1984,6.3911815,1984-02-03,125
1985,18.282856,1985-02-09,131
1986,10.882731,1986-02-07,129
1987,19.517345,1987-02-14,136
1988,9.972436,1988-01-20,111
1989,6.835905,1988-12-27,87
1990,20.558714,1990-02-26,148
1991,14.105531,1990-12-22,82
1992,8.33532,1992-01-04,95
1993,17.697683,1993-01-19,110
1994,14.929685,1993-12-12,72
1995,26.13929,1995-01-14,105
1996,14.564348,1995-12-16,76
1997,13.44439,1996-11-11,41
1998,24.238161,1997-12-02,62
1999,14.521928,1998-11-09,39
2000,3.536623,2000-09-25,360
2001,8.862007,2001-09-30,364
2002,12.848508,2001-11-12,42
2003,16.506784,2002-12-01,61
2004,16.440283,2004-09-27,362
2005,16.018255,2004-10-04,3
2006,20.791035,2006-09-30,364
2007,22.646086,2006-10-24,23
2008,13.681961,2007-10-25,24
2009,13.573606,2008-10-01,0
2010,20.301441,2010-09-08,342
2011,18.896963,2011-09-24,358
2012,20.649351,2012-09-10,345
2013,19.262346,2012-10-09,8
2014,13.949285,2013-12-11,71
2015,13.179595,2015-01-26,117
2016,11.624432,2015-12-15,75
2017,20.653088,2017-01-20,111
2018,12.29949,2017-11-25,55
2019,10.114084,2018-10-31,30
2020,8.368272,2019-11-05,35
2021,18.473755,2020-11-09,39
2022,7.352271,2022-09-30,364
2023,19.948404,2022-11-26,56
2024,17.117971,2024-09-29,364
2025,18.63982,2024-10-15,14
2026,8.688157,2025-10-03,2
2027,11.244661,2027-09-30,364
2028,11.692135,2027-10-17,16
2029,9.157646,2028-10-30,29
2030,9.644229,2030-09-15,349
2031,9.094397,2030-10-01,0
2032,8.435954,2031-10-24,23
2033,20.029844,2033-09-30,364
2034,20.77475,2033-10-15,14
2035,16.84527,2034-10-21,20
2036,15.169478,2035-10-01,0
2037,7.8097134,2037-08-18,321
2038,9.042432,2038-08-24,327
2039,7.9607873,2039-08-03,306
2040,13.207263,2040-09-17,352
2041,4.3519917,2041-06-28,270
2042,8.154346,2042-07-13,285
2043,5.155626,2043-06-10,252
2044,10.732874,2044-07-10,283
2045,5.399963,2045-07-21,293
2046,24.757458,2046-07-08,280
2047,12.822741,2047-07-25,297
2048,6.2898793,2048-06-16,259
2049,5.2356815,2049-05-31,242
2050,6.401814,2050-03-29,179
2051,9.512026,2051-06-16,258
2052,5.7716923,2052-05-01,213
2053,10.761184,2053-06-06,248
2054,16.412756,2054-06-24,266
2055,8.218784,2055-05-01,212
2056,3.3213048,2056-03-03,154
2057,12.676485,2057-05-22,233
2058,2.986387,2058-03-24,174
2059,2.4880981,2059-05-02,213
2060,4.4423227,2060-04-11,193
2061,9.784164,2061-03-13,163
2062,15.56231,2062-03-27,177
2063,4.543366,2063-03-19,169
2064,3.9262817,2064-02-02,124
2065,4.549641,2065-03-16,166
2066,8.923271,2066-02-21,143
2067,1.9370674,2067-04-10,191
2068,4.425646,2068-02-10,132
2069,1.7951629,2069-01-21,112
2070,6.9390607,2070-03-05,155
2071,5.015886,2071-01-14,105
2072,10.467752,2072-02-24,146
2073,4.371145,2072-12-12,72
2074,9.529337,2074-02-18,140
2075,11.106687,2075-02-06,128
2076,4.6992393,2076-01-05,96
2077,2.8240173,2076-12-11,71
2078,8.45845,2078-01-13,104
2079,7.233487,2078-11-26,56
2080,2.5140598,2080-01-19,110
2081,4.4179335,2081-01-14,105
2082,2.0941784,2081-11-29,59
2083,3.0854208,2082-11-29,59
2084,2.7903898,2084-01-03,94
2085,3.6383822,2084-12-25,85
2086,2.224559,2085-11-02,32
2087,3.9401948,2086-11-28,58
2088,2.3787003,2087-12-02,62
2089,0.93739045,2088-10-24,23
2090,0.88652784,2090-09-15,349
2091,1.3679295,2091-09-04,338
2092,1.7187194,2091-11-28,58
2093,1.8992777,2092-11-02,32
2094,1.4917662,2094-09-30,364
2095,2.1082816,2094-10-22,21
2096,1.2281482,2095-10-19,18
2097,3.318664,2097-09-30,364
