,maxval,maxdate,maxarg
1981,32.398125,1981-03-24,174
1982,18.840904,1982-02-19,141
1983,9.293189,1982-12-23,83
1984,1.5567316,1984-04-08,190
1985,16.669693,1985-03-14,164
1986,7.542047,1986-02-05,127
1987,17.60649,1987-03-11,161
1988,33.355503,1988-02-22,144
1989,6.042858,1989-02-03,125
1990,19.369843,1990-01-18,109
1991,6.2759724,1990-11-03,33
1992,3.7828758,1992-01-04,95
1993,8.852709,1992-12-01,61
1994,12.3157835,1993-12-07,67
1995,23.339243,1994-12-14,74
1996,10.194886,1996-01-21,112
1997,2.77979,1997-08-16,319
1998,10.50014,1998-09-04,338
1999,17.68206,1998-11-08,38
2000,7.976648,1999-11-17,47
2001,6.8287272,2000-12-05,65
2002,5.4889584,2002-08-25,328
2003,6.765704,2002-10-26,25
2004,12.168941,2003-11-02,32
2005,12.156803,2004-12-02,62
2006,9.204193,2006-07-30,302
2007,14.218647,2007-08-30,333
2008,7.1255503,2007-10-30,29
2009,4.2570214,2009-09-28,362
2010,12.453143,2010-09-07,341
2011,7.5129795,2010-10-27,26
2012,11.145122,2012-08-23,327
2013,1.4420953,2012-10-10,9
2014,3.3592076,2013-12-05,65
2015,7.015668,2015-02-05,127
2016,2.1323087,2015-10-29,28
2017,10.410985,2016-11-30,60
2018,19.127127,2017-11-02,32
2019,7.6112638,2018-11-03,33
2020,6.776741,2020-09-30,365
2021,15.336702,2020-11-03,33
2022,4.251448,2022-01-05,96
2023,22.53749,2022-11-21,51
2024,5.702352,2024-09-12,347
2025,4.5111027,2025-09-20,354
2026,17.86374,2025-12-01,61
2027,3.6000462,2027-08-24,327
2028,2.3873014,2027-10-04,3
2029,0.68703884,2028-10-29,28
2030,5.261852,2030-08-17,320
2031,11.37673,2030-11-07,37
2032,4.8256702,2031-10-25,24
2033,5.265024,2033-09-12,346
2034,2.936347,2034-07-17,289
2035,3.9487758,2034-10-24,23
2036,4.089291,2036-08-17,321
2037,8.606124,2037-06-21,263
2038,0.34275162,2038-06-11,253
2039,5.731401,2039-09-22,356
2040,3.8191643,2040-09-16,351
2041,2.079544,2041-05-10,221
2042,0.88080513,2041-10-04,3
2043,1.0300281,2043-05-07,218
2044,1.4930097,2044-05-28,240
2045,5.5661306,2045-07-25,297
2046,15.372771,2046-06-29,271
2047,6.8903875,2047-07-22,294
2048,2.8306038,2048-06-08,251
2049,4.0858526,2049-04-04,185
2050,1.4797245,2050-06-23,265
2051,7.21289,2051-05-17,228
2052,2.2410703,2052-06-09,252
2053,5.064054,2053-04-14,195
2054,0.47290587,2054-07-11,283
2055,6.2012854,2055-04-30,211
2056,1.7294905,2056-02-29,151
2057,14.131847,2057-05-24,235
2058,1.1984566,2058-05-30,241
2059,2.2805903,2059-04-29,210
2060,0.122479305,2060-03-05,156
2061,1.6044466,2061-05-01,212
2062,3.7158585,2062-03-02,152
2063,0.95478255,2063-02-10,132
2064,2.2082932,2064-01-30,121
2065,5.4801483,2065-03-30,180
2066,1.6184245,2066-02-17,139
2067,0.62164474,2066-12-20,80
2068,0.0,2067-10-01,0
2069,0.0,2068-10-01,0
2070,6.182013,2070-02-12,134
2071,0.9705518,2071-03-15,165
2072,6.3028045,2072-02-16,138
2073,0.82210606,2073-02-21,143
2074,2.1639102,2074-01-04,95
2075,2.0026953,2074-12-28,88
2076,4.627921,2076-01-08,99
2077,0.8252652,2077-02-18,140
2078,0.47611532,2077-12-31,91
2079,1.2003261,2078-11-06,36
2080,0.8316568,2080-01-16,107
2081,1.5128188,2080-11-25,55
2082,0.07344195,2081-11-10,40
2083,0.00012997974,2082-12-18,78
2084,3.0900304,2083-12-13,73
2085,0.5331531,2084-11-26,56
2086,0.46591747,2085-10-11,10
2087,0.00732703,2086-10-02,1
2088,3.8040864e-05,2087-11-27,57
2089,3.557937e-05,2089-01-02,93
2090,6.925805e-05,2089-12-21,81
2091,0.0,2090-10-01,0
2092,6.824474e-05,2091-11-23,53
2093,2.0842102e-05,2092-12-25,85
2094,0.0033679365,2094-09-26,360
2095,6.241662e-05,2095-08-07,310
2096,1.7439611,2095-11-11,41
2097,0.8758382,2097-08-13,316
