,maxval,maxdate,maxarg
1981,12.179803,1981-03-23,173
1982,9.59168,1982-02-17,139
1983,1.8391693,1983-01-05,96
1984,3.6596684,1984-01-31,122
1985,8.561853,1985-03-03,153
1986,10.415535,1986-02-18,140
1987,9.858681,1987-02-06,128
1988,7.1399636,1988-01-28,119
1989,0.98987997,1989-01-19,110
1990,15.53836,1990-01-01,92
1991,3.3223796,1991-01-01,92
1992,10.716075,1992-01-04,95
1993,3.3616555,1992-12-06,66
1994,6.358624,1994-09-30,364
1995,10.122617,1994-12-08,68
1996,9.698611,1996-01-12,103
1997,5.2041793,1997-09-30,364
1998,8.305467,1997-12-03,63
1999,7.382609,1998-11-09,39
2000,4.4460707,1999-11-23,53
2001,3.092798,2001-09-28,362
2002,4.238794,2002-09-02,336
2003,3.987848,2002-10-26,25
2004,8.911668,2004-09-30,365
2005,8.924615,2004-10-04,3
2006,9.838911,2006-07-31,303
2007,9.523179,2006-10-04,3
2008,10.454862,2008-09-21,356
2009,8.686209,2008-10-01,0
2010,8.948974,2010-09-08,342
2011,6.862093,2010-10-30,29
2012,6.2669497,2012-08-26,330
2013,1.9914917,2013-07-04,276
2014,4.8664284,2013-12-14,74
2015,2.8084147,2015-09-30,364
2016,4.9275436,2015-11-30,60
2017,9.6440325,2016-11-30,60
2018,7.2998466,2017-11-04,34
2019,3.0086033,2019-01-04,95
2020,2.4174619,2020-09-30,365
2021,15.173436,2020-11-06,36
2022,2.7700636,2021-11-27,57
2023,9.529152,2022-11-25,55
2024,3.3364027,2024-09-29,364
2025,5.336272,2025-09-29,363
2026,6.190708,2025-12-01,61
2027,2.149213,2027-09-30,364
2028,2.149069,2027-10-01,0
2029,3.1738024,2029-09-26,360
2030,3.013392,2029-10-03,2
2031,2.967281,2031-09-18,352
2032,6.138332,2032-08-27,331
2033,9.08353,2033-09-18,352
2034,7.021071,2033-10-08,7
2035,2.227996,2034-10-09,8
2036,2.9494314,2036-08-22,326
2037,3.1593955,2037-06-22,264
2038,1.5506623,2038-08-02,305
2039,4.6739964,2039-08-11,314
2040,3.0803301,2040-09-12,347
2041,0.8004744,2041-08-11,314
2042,0.71790403,2042-06-11,253
2043,1.2957404,2043-05-08,219
2044,1.4939927,2044-06-22,265
2045,2.0046217,2045-07-20,292
2046,2.9172087,2046-06-20,262
2047,2.1056519,2047-06-04,246
2048,3.427227,2048-07-05,278
2049,3.9484913,2049-06-22,264
2050,0.5918885,2050-04-15,196
2051,1.889675,2051-04-30,211
2052,1.7309054,2052-03-16,167
2053,1.5871031,2053-05-25,236
2054,3.9565325,2054-03-27,177
2055,2.5673568,2055-05-02,213
2056,1.1080751,2056-03-04,155
2057,7.2761707,2057-05-23,234
2058,1.9124326,2058-04-30,211
2059,1.8649666,2059-04-30,211
2060,1.677316,2060-04-21,203
2061,2.5215647,2061-05-06,217
2062,2.927296,2062-02-28,150
2063,1.4568961,2063-02-11,133
2064,2.1712751,2064-01-01,92
2065,1.4466332,2065-03-29,179
2066,2.1072721,2066-03-08,158
2067,3.0333025,2067-03-23,173
2068,1.9994767,2068-01-15,106
2069,0.63865006,2069-02-21,143
2070,3.6881983,2070-03-01,151
2071,3.6797025,2071-01-12,103
2072,5.289503,2072-02-23,145
2073,2.278673,2072-12-03,63
2074,4.8029885,2074-02-18,140
2075,1.7552104,2075-01-03,94
2076,1.1053911,2076-01-19,110
2077,0.7967644,2077-01-30,121
2078,1.3468183,2077-12-21,81
2079,2.8708324,2078-11-25,55
2080,1.5102221,2079-12-24,84
2081,1.1669267,2080-10-11,10
2082,0.9365859,2081-11-14,44
2083,0.48822784,2082-11-17,47
2084,1.5652635,2083-12-03,63
2085,1.4288324,2084-11-12,42
2086,0.80130845,2085-10-25,24
2087,2.717618,2086-11-20,50
2088,2.4469674,2087-12-01,61
2089,0.6376934,2089-08-10,313
2090,0.84398735,2090-09-12,346
2091,0.367257,2090-11-15,45
2092,1.8061434,2091-12-11,71
2093,0.3625128,2093-09-26,360
2094,0.44430926,2094-09-27,361
2095,1.0946972,2094-11-15,45
2096,0.8826634,2095-10-18,17
2097,1.441825,2097-08-14,317
