,maxval,maxdate,maxarg
1981,0.9609543,1980-12-24,84
1982,0.8283902,1982-01-05,96
1983,0.87542677,1982-10-28,27
1984,1.7019845,1984-01-13,104
1985,0.41018325,1985-01-31,122
1986,1.0900221,1986-01-19,110
1987,0.86239755,1987-01-14,105
1988,1.0241112,1987-12-31,91
1989,0.39093333,1988-12-11,71
1990,0.9130951,1989-10-24,23
1991,0.8617682,1990-10-19,18
1992,1.4955256,1991-11-22,52
1993,1.1661202,1992-11-25,55
1994,3.2904956,1994-09-30,364
1995,3.2979815,1994-10-01,0
1996,0.36103186,1995-10-07,6
1997,0.65813994,1997-09-21,355
1998,0.56298107,1997-12-29,89
1999,0.71258086,1998-10-13,12
2000,0.27826244,1999-11-17,47
2001,0.6908902,2001-09-27,361
2002,0.66077113,2002-09-25,359
2003,0.55057114,2002-10-21,20
2004,2.926336,2003-10-23,22
2005,0.905219,2005-08-18,321
2006,0.45698392,2006-08-11,314
2007,0.9204869,2007-08-20,323
2008,1.5103081,2008-08-08,312
2009,0.94208694,2009-08-12,315
2010,0.4757001,2010-07-25,297
2011,0.7105409,2011-08-04,307
2012,0.46853814,2012-07-17,290
2013,0.53324527,2013-05-05,216
2014,0.5771289,2013-11-07,37
2015,0.5734998,2014-12-08,68
2016,0.8337233,2015-10-31,30
2017,0.90957654,2017-09-30,364
2018,0.9100119,2017-10-02,1
2019,0.448291,2019-08-21,324
2020,0.25967234,2019-11-13,43
2021,0.58056223,2021-08-29,332
2022,1.6130091,2021-10-21,20
2023,0.6870957,2022-11-15,45
2024,0.8139837,2024-09-05,340
2025,1.8978202,2025-09-28,362
2026,1.8851866,2025-10-01,0
2027,1.2827168,2027-08-24,327
2028,0.56139684,2028-08-18,322
2029,1.1167606,2029-09-18,352
2030,1.3936489,2030-08-11,314
2031,0.3801826,2031-09-18,352
2032,0.49525648,2032-07-17,290
2033,0.62588394,2033-08-15,318
2034,0.7577219,2034-08-11,314
2035,1.0102755,2035-09-22,356
2036,0.09529082,2036-07-05,278
2037,0.48516375,2037-09-12,346
2038,0.6025942,2038-08-01,304
2039,0.37029716,2039-07-29,301
2040,1.0211284,2040-08-06,310
2041,0.46735948,2041-05-11,222
2042,1.0826612,2042-07-04,276
2043,0.73868346,2043-06-18,260
2044,0.56638753,2044-07-06,279
2045,0.75260514,2045-06-10,252
2046,0.71309996,2046-05-26,237
2047,0.5674265,2047-07-10,282
2048,0.59296715,2048-07-03,276
2049,0.0019817003,2049-04-27,208
2050,0.27825454,2050-05-25,236
2051,0.49176133,2051-04-17,198
2052,0.26841137,2052-06-13,256
2053,1.3097162,2053-04-10,191
2054,0.75738823,2054-04-23,204
2055,0.56554407,2055-04-10,191
2056,0.49004084,2056-03-05,156
2057,0.59374654,2057-05-16,227
2058,0.07449761,2058-03-21,171
2059,0.1415939,2059-04-10,191
2060,0.3913983,2060-04-02,184
2061,0.3742154,2061-02-22,144
2062,0.04078784,2062-03-22,172
2063,0.6020036,2063-02-09,131
2064,1.0092286,2064-04-20,202
2065,0.34013695,2065-02-24,146
2066,0.3930569,2066-02-12,134
2067,0.30300608,2067-02-24,146
2068,0.29503378,2068-02-11,133
2069,0.23056862,2068-12-30,90
2070,0.6817817,2070-01-13,104
2071,0.6259296,2071-01-11,102
2072,1.3548529,2072-02-20,142
2073,0.42844966,2072-12-25,85
2074,0.9637328,2074-01-04,95
2075,0.5098891,2075-01-18,109
2076,0.0014650581,2075-11-13,43
2077,0.41528872,2076-12-10,70
2078,0.15681323,2078-03-07,157
2079,0.43082047,2078-12-29,89
2080,0.8707126,2079-12-22,82
2081,0.66870064,2080-10-15,14
2082,0.5047943,2081-11-13,43
2083,0.24225964,2082-10-19,18
2084,0.18674275,2083-10-19,18
2085,0.5544063,2084-10-14,13
2086,0.23410681,2085-10-11,10
2087,0.49662143,2086-12-06,66
2088,0.45416412,2087-12-07,67
2089,0.35778597,2088-12-06,66
2090,0.30362117,2090-08-17,320
2091,0.3897512,2090-12-17,77
2092,0.057605386,2091-11-09,39
2093,0.2706945,2092-10-22,21
2094,0.0093915975,2094-08-30,333
2095,0.3059303,2094-10-23,22
2096,0.22493578,2095-10-07,6
2097,0.68560433,2097-08-14,317
