,maxval,maxdate,maxarg
1981,21.39041,1981-03-24,174
1982,27.404085,1982-03-08,158
1983,13.523986,1983-01-23,114
1984,8.833007,1984-02-01,123
1985,29.619677,1985-03-14,164
1986,9.221186,1986-02-06,128
1987,18.658052,1987-03-11,161
1988,21.761398,1988-02-23,145
1989,7.164889,1989-02-03,125
1990,21.254253,1990-01-19,110
1991,15.424323,1990-12-31,91
1992,8.933495,1992-01-20,111
1993,14.842253,1993-01-10,101
1994,13.438132,1993-12-11,71
1995,22.905819,1995-01-03,94
1996,12.2947,1996-01-19,110
1997,8.983064,1997-09-30,364
1998,20.240429,1997-12-09,69
1999,12.508727,1998-11-09,39
2000,4.338889,2000-09-26,361
2001,7.1623135,2001-09-30,364
2002,10.877816,2002-09-30,364
2003,18.173096,2002-11-24,54
2004,14.71529,2003-11-05,35
2005,15.621263,2004-11-27,57
2006,14.211726,2005-11-16,46
2007,13.335319,2006-10-13,12
2008,12.604698,2008-09-27,362
2009,11.643936,2008-10-01,0
2010,18.293533,2010-09-11,345
2011,15.979923,2011-09-26,360
2012,15.692822,2011-10-01,0
2013,8.634927,2012-10-10,9
2014,10.562997,2014-01-13,104
2015,10.434108,2014-12-18,78
2016,11.2408,2015-12-15,75
2017,17.350374,2016-12-25,85
2018,14.401007,2017-11-29,59
2019,10.581213,2018-11-03,33
2020,11.164658,2019-11-26,56
2021,16.73772,2020-11-20,50
2022,9.933921,2022-09-30,364
2023,18.739304,2022-11-27,57
2024,11.707185,2024-09-30,365
2025,13.105042,2024-10-11,10
2026,12.074517,2025-12-05,65
2027,9.332066,2027-09-30,364
2028,9.936296,2027-10-29,28
2029,3.7856748,2029-09-28,362
2030,8.650409,2030-09-30,364
2031,11.318036,2030-11-01,31
2032,6.518058,2031-10-26,25
2033,12.134962,2033-09-18,352
2034,12.007368,2034-08-28,331
2035,11.431837,2034-10-20,19
2036,9.328107,2035-10-01,0
2037,13.070401,2037-08-17,320
2038,4.593215,2038-08-03,306
2039,5.57885,2039-08-15,318
2040,10.6960745,2040-09-16,351
2041,3.4907668,2041-06-21,263
2042,4.379411,2042-07-12,284
2043,3.6445637,2043-06-26,268
2044,7.1924524,2044-07-10,283
2045,5.9243946,2045-07-25,297
2046,14.42807,2046-07-08,280
2047,12.843687,2047-07-25,297
2048,4.1669965,2048-06-20,263
2049,3.3693004,2049-05-09,220
2050,1.7726256,2050-04-17,198
2051,11.734037,2051-06-17,259
2052,3.456378,2052-03-28,179
2053,7.3158517,2053-06-10,252
2054,3.6579661,2054-04-09,190
2055,7.853038,2055-05-30,241
2056,2.124202,2056-04-26,208
2057,11.3939905,2057-05-24,235
2058,2.381275,2058-03-31,181
2059,2.1632788,2059-02-28,150
2060,1.2302278,2060-04-10,192
2061,9.59029,2061-03-11,161
2062,12.884841,2062-03-31,181
2063,3.909838,2063-03-16,166
2064,5.54546,2064-02-09,131
2065,5.971735,2065-03-30,180
2066,9.828668,2066-02-21,143
2067,2.8855755,2066-12-20,80
2068,3.7935548,2068-02-15,137
2069,2.672835,2069-02-02,124
2070,6.9080253,2070-03-05,155
2071,3.2681158,2071-01-15,106
2072,8.406352,2072-02-23,145
2073,4.1922927,2072-12-11,71
2074,3.7462602,2074-01-22,113
2075,7.1808767,2075-02-06,128
2076,4.637029,2076-01-29,120
2077,1.2589048,2076-12-17,77
2078,3.7708998,2078-01-07,98
2079,3.9640677,2078-12-02,62
2080,1.3617816,2079-12-07,67
2081,1.6839586,2081-01-11,102
2082,1.7342563,2081-11-25,55
2083,0.7130793,2082-11-13,43
2084,1.6518766,2083-12-04,64
2085,2.2498982,2084-11-28,58
2086,1.7974426,2085-11-01,31
2087,1.2415264,2086-11-23,53
2088,0.5886176,2088-09-19,354
2089,0.30845538,2089-08-09,312
2090,1.8687221,2090-09-07,341
2091,1.1701713,2091-09-01,335
2092,0.74217325,2091-11-25,55
2093,0.7528365,2092-11-02,32
2094,1.3644183,2094-09-30,364
2095,1.5531642,2094-10-01,0
2096,1.230403,2095-10-20,19
2097,2.3570328,2097-08-30,333
