,maxval,maxdate,maxarg
1981,2.97347,1980-12-24,84
1982,19.380905,1982-02-17,139
1983,2.480535,1982-11-10,40
1984,5.2187686,1984-01-31,122
1985,7.009565,1984-12-31,91
1986,5.145483,1986-02-21,143
1987,10.649739,1987-02-06,128
1988,8.314404,1988-01-18,109
1989,1.2537162,1988-10-29,28
1990,16.441244,1989-12-30,90
1991,4.272642,1990-11-09,39
1992,5.816696,1991-11-22,52
1993,8.454399,1992-12-14,74
1994,11.1921425,1994-09-30,364
1995,13.805729,1994-10-26,25
1996,6.088375,1995-12-16,76
1997,5.1215487,1997-09-30,364
1998,7.7861204,1997-11-26,56
1999,12.733276,1998-11-13,43
2000,3.55792,1999-11-17,47
2001,5.0258517,2001-09-29,363
2002,12.387081,2001-11-16,46
2003,4.0699453,2003-09-30,364
2004,10.557791,2003-11-30,60
2005,2.6479268,2005-08-12,315
2006,3.6747353,2006-08-11,314
2007,2.25312,2007-08-28,331
2008,12.287233,2008-09-18,353
2009,10.674921,2008-10-01,0
2010,6.2012715,2010-09-06,340
2011,2.7853773,2011-08-17,320
2012,6.203364,2012-08-25,329
2013,1.55664,2013-05-06,217
2014,1.0449637,2014-09-30,364
2015,4.2258334,2014-12-08,68
2016,4.860868,2015-11-23,53
2017,10.847268,2016-12-01,61
2018,5.6564593,2017-11-05,35
2019,0.64264435,2019-01-23,114
2020,5.9442816,2020-09-30,365
2021,11.444282,2020-11-06,36
2022,3.6616745,2021-11-28,58
2023,4.7017846,2023-09-02,336
2024,4.26307,2024-09-10,345
2025,7.289947,2025-09-28,362
2026,7.2862167,2025-10-01,0
2027,3.6919181,2027-09-12,346
2028,3.3449016,2027-11-18,48
2029,3.7242937,2029-09-27,361
2030,5.7985153,2029-10-04,3
2031,3.0560417,2031-09-20,354
2032,4.6767597,2032-08-26,330
2033,7.940871,2033-09-16,350
2034,6.5686646,2033-10-01,0
2035,3.145211,2035-09-22,356
2036,1.5503943,2035-10-01,0
2037,6.4585223,2037-08-02,305
2038,11.864216,2038-09-02,336
2039,4.3409047,2039-07-31,303
2040,3.4751155,2040-08-06,310
2041,1.8375547,2041-05-15,226
2042,3.6059256,2042-07-12,284
2043,7.763489,2043-07-17,289
2044,1.2699889,2044-05-29,241
2045,2.1450331,2045-07-19,291
2046,5.961177,2046-07-03,275
2047,9.354914,2047-06-30,272
2048,13.108613,2048-07-16,289
2049,0.82200694,2049-04-30,211
2050,2.30549,2050-04-17,198
2051,2.2230008,2051-05-01,212
2052,3.1990929,2052-03-19,170
2053,3.7103903,2053-04-18,199
2054,4.1498027,2054-04-05,186
2055,2.3065612,2055-05-27,238
2056,2.3241081,2056-03-05,156
2057,11.005289,2057-05-30,241
2058,2.500376,2058-03-23,173
2059,1.4562343,2059-04-10,191
2060,2.293884,2060-04-06,188
2061,1.1841742,2061-02-13,135
2062,1.1790673,2062-02-15,137
2063,2.8513775,2063-02-10,132
2064,2.4824762,2064-01-31,122
2065,1.7006173,2065-01-22,113
2066,2.1522684,2066-02-13,135
2067,1.9021052,2067-03-23,173
2068,1.7121985,2068-01-15,106
2069,1.2396984,2069-03-27,177
2070,2.7921448,2070-03-02,152
2071,2.5294416,2071-01-10,101
2072,12.655728,2072-03-06,157
2073,1.9038352,2073-02-10,132
2074,13.658955,2074-02-17,139
2075,1.5844936,2075-03-08,158
2076,1.0110813,2076-01-03,94
2077,2.382805,2077-02-12,134
2078,1.7578331,2077-11-21,51
2079,2.7744462,2078-11-13,43
2080,1.371414,2079-12-26,86
2081,4.6886473,2080-10-14,13
2082,1.832435,2081-11-13,43
2083,1.7316198,2082-10-19,18
2084,0.51895255,2083-10-21,20
2085,3.1483254,2084-12-24,84
2086,1.2169467,2085-11-25,55
2087,2.6206539,2086-11-26,56
2088,3.6051297,2087-12-07,67
2089,0.8217034,2089-09-30,364
2090,1.4540266,2090-08-18,321
2091,0.53180164,2090-12-17,77
2092,0.74300855,2091-12-02,62
2093,2.1042233,2093-09-28,362
2094,1.8796786,2093-10-01,0
2095,2.2665668,2094-10-18,17
2096,0.4323192,2096-09-03,338
2097,2.487402,2097-08-14,317
