,maxval,maxdate,maxarg
1981,44.511105,1981-03-25,175
1982,38.527966,1982-03-08,158
1983,33.43437,1983-01-26,117
1984,29.74454,1984-02-04,126
1985,48.114258,1985-03-24,174
1986,20.805809,1986-02-06,128
1987,36.733963,1987-03-26,176
1988,41.859314,1988-02-23,145
1989,24.046345,1989-02-09,131
1990,27.609558,1990-02-20,142
1991,24.34787,1991-02-03,125
1992,16.969711,1992-01-24,115
1993,30.797659,1993-02-02,124
1994,32.46371,1994-01-07,98
1995,51.093178,1995-01-15,106
1996,28.562218,1996-01-22,113
1997,14.75763,1996-12-23,83
1998,38.074383,1997-12-11,71
1999,18.563887,1998-11-08,38
2000,14.341167,2000-09-25,360
2001,23.697252,2000-12-19,79
2002,22.862362,2002-09-30,364
2003,34.004528,2002-11-27,57
2004,35.33447,2003-11-05,35
2005,43.077374,2004-12-02,62
2006,34.76208,2005-11-18,48
2007,36.216133,2006-11-09,39
2008,32.51687,2007-10-31,30
2009,26.60013,2008-10-20,19
2010,28.423304,2010-09-23,357
2011,31.129864,2011-09-30,364
2012,31.175447,2011-10-02,1
2013,31.21551,2012-10-18,17
2014,19.325504,2014-01-13,104
2015,30.043093,2015-02-06,128
2016,18.707182,2016-01-30,121
2017,32.031273,2017-01-21,112
2018,40.49287,2018-02-05,127
2019,18.881208,2018-11-05,35
2020,25.671646,2019-11-26,56
2021,38.3039,2020-12-17,77
2022,20.116865,2022-01-09,100
2023,37.241444,2022-11-27,57
2024,22.644163,2024-09-30,365
2025,27.252134,2024-11-22,52
2026,26.512814,2025-12-05,65
2027,23.41487,2027-09-30,364
2028,29.380857,2027-12-10,70
2029,10.102982,2029-09-28,362
2030,22.25658,2030-09-30,364
2031,29.535307,2030-11-11,41
2032,18.61136,2031-10-31,30
2033,25.853043,2033-09-24,358
2034,31.266745,2034-09-19,353
2035,37.567516,2034-10-28,27
2036,24.704062,2035-10-01,0
2037,19.915388,2037-08-18,321
2038,11.101121,2038-07-15,287
2039,20.286966,2039-09-30,364
2040,27.686714,2040-09-06,341
2041,22.197876,2040-10-02,1
2042,13.352852,2042-07-12,284
2043,6.709534,2043-08-03,306
2044,15.526124,2044-07-02,275
2045,11.749864,2045-08-17,320
2046,25.935993,2046-07-11,283
2047,19.656237,2047-07-26,298
2048,7.756248,2048-06-20,263
2049,8.274235,2049-05-09,220
2050,5.4505925,2050-07-24,296
2051,26.230906,2051-06-24,266
2052,9.192064,2052-05-01,213
2053,21.928236,2053-06-10,252
2054,6.331953,2054-06-24,266
2055,18.03626,2055-07-01,273
2056,4.450276,2056-04-29,211
2057,15.742914,2057-05-24,235
2058,5.309234,2058-05-17,228
2059,6.625616,2059-02-28,150
2060,1.4458945,2060-03-06,157
2061,16.91249,2061-03-15,165
2062,20.839859,2062-04-01,182
2063,16.383837,2063-03-16,166
2064,7.1790643,2064-03-20,171
2065,17.655218,2065-04-04,185
2066,18.339071,2066-03-13,163
2067,3.475515,2067-04-11,192
2068,8.757231,2068-02-19,141
2069,3.3315408,2069-01-18,109
2070,16.369108,2070-03-24,174
2071,5.4316363,2071-02-03,125
2072,12.115372,2072-03-24,175
2073,5.9142866,2072-12-11,71
2074,5.579636,2074-01-22,113
2075,17.641754,2075-02-07,129
2076,9.708426,2076-02-02,124
2077,1.9505696,2076-12-17,77
2078,5.5484586,2078-01-07,98
2079,3.065387,2078-12-20,80
2080,7.728255,2080-01-20,111
2081,5.511116,2081-01-24,115
2082,1.8606708,2081-11-29,59
2083,2.7343554,2082-11-30,60
2084,3.961718,2083-10-08,7
2085,7.952448,2084-12-31,91
2086,2.7473452,2085-10-31,30
2087,1.8515339,2086-12-10,70
2088,2.0545897,2087-11-03,33
2089,0.39728522,2088-11-20,50
2090,3.3387551,2089-10-27,26
2091,1.0125728,2091-09-27,361
2092,0.9298403,2091-11-25,55
2093,1.7046766,2092-11-01,31
2094,3.2996855,2094-09-30,364
2095,3.4995437,2094-10-01,0
2096,4.8075676,2095-11-17,47
2097,4.7316833,2097-08-30,333
