,maxval,maxdate,maxarg
1981,15.885731,1981-03-27,177
1982,23.669376,1982-04-22,203
1983,11.759758,1983-02-26,148
1984,9.2076025,1984-03-21,172
1985,19.248997,1985-03-27,177
1986,13.043339,1986-03-15,165
1987,16.92037,1987-04-02,183
1988,11.161764,1988-02-24,146
1989,8.963512,1989-02-10,132
1990,17.28132,1990-02-20,142
1991,14.396366,1991-02-12,134
1992,8.718337,1992-01-24,115
1993,12.319425,1993-02-05,127
1994,8.816464,1994-01-11,102
1995,19.319777,1995-02-23,145
1996,12.671827,1996-01-20,111
1997,7.36398,1996-12-24,84
1998,15.173091,1997-12-31,91
1999,6.9180274,1998-11-28,58
2000,5.4135394,1999-12-03,63
2001,7.8185787,2000-12-25,85
2002,16.288706,2001-12-31,91
2003,21.381187,2003-01-02,93
2004,17.31002,2003-12-11,71
2005,16.278883,2004-12-18,78
2006,12.638507,2005-11-23,53
2007,10.34624,2006-11-09,39
2008,12.592353,2008-09-30,365
2009,12.999578,2008-10-27,26
2010,11.581336,2009-11-12,42
2011,13.693519,2011-09-29,363
2012,15.219912,2012-09-30,365
2013,15.651887,2012-10-13,12
2014,10.414483,2014-01-22,113
2015,10.954696,2015-02-09,131
2016,10.491811,2016-01-31,122
2017,17.49344,2017-01-21,112
2018,12.28547,2018-02-01,123
2019,12.943606,2019-01-12,103
2020,10.049868,2019-11-26,56
2021,15.19533,2021-01-03,94
2022,14.1556425,2022-01-11,102
2023,19.475437,2022-12-30,90
2024,8.427935,2024-01-05,96
2025,10.6206255,2024-11-23,53
2026,9.086641,2025-12-05,65
2027,7.697773,2026-11-16,46
2028,11.144551,2027-11-28,58
2029,11.910789,2028-11-21,51
2030,9.456143,2030-09-30,364
2031,13.412627,2030-11-11,41
2032,9.564513,2032-09-27,362
2033,12.494694,2033-09-30,364
2034,14.304524,2033-10-15,14
2035,16.20435,2034-10-22,21
2036,13.888327,2035-10-10,9
2037,12.997447,2036-10-22,21
2038,10.92148,2038-09-10,344
2039,14.381148,2039-09-30,364
2040,16.038277,2039-10-06,5
2041,13.007728,2040-10-04,3
2042,7.1357,2042-08-12,315
2043,8.137745,2043-08-29,332
2044,10.5232,2044-07-22,295
2045,5.3897533,2045-08-18,321
2046,13.598784,2046-08-10,313
2047,18.120312,2047-08-26,329
2048,9.918385,2048-08-08,312
2049,6.351403,2049-06-28,270
2050,9.721002,2050-08-05,308
2051,12.656361,2051-06-26,268
2052,4.5240006,2052-05-24,236
2053,15.254454,2053-06-22,264
2054,8.60784,2054-07-05,277
2055,9.068915,2055-06-22,264
2056,2.0948482,2056-04-29,211
2057,9.479569,2057-06-29,271
2058,6.6907163,2058-06-07,249
2059,5.807852,2059-05-03,214
2060,5.007286,2060-05-17,229
2061,7.3130274,2061-03-12,162
2062,15.211405,2062-05-19,230
2063,6.0100217,2063-04-19,200
2064,13.945834,2064-05-15,227
2065,6.030477,2065-04-07,188
2066,10.322247,2066-03-13,163
2067,2.7693303,2067-01-31,122
2068,3.6916316,2068-02-18,140
2069,5.811773,2069-02-24,146
2070,6.178262,2070-03-24,174
2071,6.6922317,2071-04-20,201
2072,9.678396,2072-03-27,178
2073,10.127295,2073-03-18,168
2074,2.7113304,2074-02-25,147
2075,8.261458,2075-02-09,131
2076,9.3417845,2076-02-04,126
2077,4.262578,2077-02-27,149
2078,4.7216377,2078-01-21,112
2079,8.815713,2079-01-24,115
2080,5.2213135,2080-01-20,111
2081,10.529924,2081-01-25,116
2082,2.250513,2081-12-29,89
2083,4.1763806,2082-12-08,68
2084,6.6064496,2083-12-16,76
2085,9.769601,2085-01-01,92
2086,4.3019495,2085-11-03,33
2087,2.9223294,2086-12-10,70
2088,3.9197133,2087-12-05,65
2089,4.542172,2088-12-06,66
2090,3.7352865,2090-09-26,360
2091,4.4462743,2090-10-13,12
2092,2.5455542,2091-12-11,71
2093,5.415737,2092-11-14,44
2094,4.534144,2094-09-30,364
2095,6.4903717,2094-10-23,22
2096,6.4146514,2095-12-05,65
2097,3.962627,2097-09-30,364
