,maxval,maxdate,maxarg
1981,69.52826,1981-04-05,186
1982,43.877716,1982-03-31,181
1983,62.646175,1983-03-24,174
1984,50.84783,1984-02-03,125
1985,69.27941,1985-04-15,196
1986,35.91928,1986-03-11,161
1987,56.439373,1987-03-31,181
1988,57.161983,1988-02-23,145
1989,46.511658,1989-02-09,131
1990,45.188084,1990-02-25,147
1991,42.615467,1991-02-03,125
1992,32.800022,1992-02-16,138
1993,51.330685,1993-02-09,131
1994,53.945427,1994-01-25,116
1995,68.52662,1995-02-02,124
1996,35.570698,1996-01-23,114
1997,30.206615,1996-12-23,83
1998,53.36372,1998-01-22,113
1999,35.286205,1998-12-14,74
2000,29.142447,2000-09-22,357
2001,45.84934,2000-12-22,82
2002,30.00539,2002-09-30,364
2003,50.61886,2002-12-31,91
2004,54.16264,2004-09-21,356
2005,77.473495,2004-12-03,63
2006,48.65251,2005-12-26,86
2007,59.906475,2006-11-09,39
2008,50.3883,2007-11-19,49
2009,39.34481,2009-09-30,364
2010,44.354385,2009-10-26,25
2011,53.280876,2011-09-30,364
2012,60.206593,2011-11-03,33
2013,47.450623,2012-10-18,17
2014,34.271877,2014-02-11,133
2015,41.00993,2015-02-08,130
2016,30.226915,2016-01-12,103
2017,55.445427,2017-01-23,114
2018,79.6643,2018-02-07,129
2019,22.03127,2019-01-10,101
2020,54.791245,2020-01-26,117
2021,69.872314,2021-01-04,95
2022,33.515816,2022-01-12,103
2023,48.455704,2023-01-12,103
2024,29.862425,2023-11-15,45
2025,42.82918,2024-12-10,70
2026,39.170033,2025-12-10,70
2027,47.146187,2027-09-30,364
2028,67.04608,2027-12-26,86
2029,10.440501,2029-09-28,362
2030,34.209187,2030-09-30,364
2031,51.58461,2030-12-03,63
2032,31.94316,2031-11-12,42
2033,42.193695,2033-09-30,364
2034,44.862335,2033-10-24,23
2035,48.67548,2034-10-28,27
2036,40.455788,2035-10-01,0
2037,21.673906,2037-08-18,321
2038,18.503036,2038-08-04,307
2039,42.12464,2039-09-30,364
2040,53.17872,2040-09-21,356
2041,53.750744,2040-10-10,9
2042,37.705452,2041-10-06,5
2043,7.978643,2043-05-30,241
2044,34.364918,2044-07-17,290
2045,20.214209,2045-09-16,350
2046,31.668201,2046-07-10,282
2047,28.19911,2047-07-27,299
2048,22.001734,2048-07-15,288
2049,13.523903,2049-05-08,219
2050,11.447023,2050-07-26,298
2051,33.672184,2051-07-01,273
2052,6.1091547,2052-05-01,213
2053,28.75844,2053-06-16,258
2054,11.094262,2054-07-13,285
2055,24.931114,2055-07-17,289
2056,6.0762534,2056-01-29,120
2057,21.787924,2057-06-27,269
2058,7.7774954,2058-05-17,228
2059,6.9371357,2059-03-03,153
2060,9.251567,2060-04-24,206
2061,25.574785,2061-03-12,162
2062,30.591734,2062-05-03,214
2063,18.397053,2063-02-16,138
2064,22.77731,2064-05-09,221
2065,19.684525,2065-04-08,189
2066,23.883896,2066-03-12,162
2067,5.466928,2066-12-20,80
2068,10.587067,2068-02-15,137
2069,4.4771004,2068-12-18,78
2070,22.755333,2070-03-28,178
2071,5.441299,2071-03-30,180
2072,15.067939,2072-03-24,175
2073,10.238121,2073-03-17,167
2074,4.5145845,2074-01-20,111
2075,27.279655,2075-04-05,186
2076,18.93573,2076-02-05,127
2077,6.6192884,2076-12-14,74
2078,6.096777,2077-12-01,61
2079,4.3053784,2078-11-29,59
2080,8.083874,2080-01-19,110
2081,6.7102923,2080-12-01,61
2082,1.9529095,2082-09-23,357
2083,8.140182,2082-12-08,68
2084,14.138088,2084-01-09,100
2085,10.118696,2085-01-02,93
2086,3.1442878,2085-11-06,36
2087,1.9964877,2086-10-29,28
2088,1.6809098,2088-02-06,128
2089,2.9660645,2088-10-28,27
2090,4.7118797,2089-11-02,32
2091,2.0464778,2091-08-22,325
2092,1.5424274,2091-12-04,64
2093,2.6250124,2093-08-13,316
2094,3.1799204,2094-09-30,364
2095,4.4410224,2095-08-14,317
2096,11.704658,2095-11-21,51
2097,7.83958,2097-08-30,333
