,maxval,maxdate,maxarg
1981,14.160185,1981-03-24,174
1982,14.943808,1982-02-20,142
1983,4.1137304,1983-01-21,112
1984,2.2510595,1983-12-13,73
1985,11.084667,1985-03-07,157
1986,2.4990704,1986-01-29,120
1987,7.876295,1987-02-06,128
1988,12.813442,1988-01-27,118
1989,5.4222345,1989-02-04,126
1990,4.091236,1990-01-22,113
1991,2.1275775,1990-11-02,32
1992,1.9937727,1991-12-13,73
1993,7.556554,1992-12-03,63
1994,11.68146,1993-12-07,67
1995,14.016078,1995-01-15,106
1996,3.2481048,1996-01-09,100
1997,3.5367746,1996-12-19,79
1998,6.12685,1998-09-05,339
1999,7.411915,1998-11-08,38
2000,2.306595,1999-11-11,41
2001,9.1476145,2000-11-26,56
2002,4.472078,2002-08-26,329
2003,4.255005,2003-08-14,317
2004,9.227127,2003-11-03,33
2005,12.688088,2004-12-02,62
2006,5.8537107,2006-08-08,311
2007,12.121949,2007-08-30,333
2008,6.021599,2007-10-03,2
2009,3.5365665,2008-10-16,15
2010,7.865395,2010-07-23,295
2011,3.8687859,2011-09-29,363
2012,5.210691,2012-08-18,322
2013,2.076557,2012-10-10,9
2014,1.628545,2013-12-07,67
2015,1.8479407,2014-11-18,48
2016,1.9593754,2015-10-23,22
2017,4.7568197,2016-12-01,61
2018,8.264724,2017-11-02,32
2019,4.0428214,2018-11-04,34
2020,6.185206,2020-09-30,365
2021,9.121631,2020-10-17,16
2022,2.4563959,2021-12-15,75
2023,11.248516,2022-11-17,47
2024,3.6050084,2024-09-11,346
2025,4.850743,2025-09-14,348
2026,4.879494,2025-11-22,52
2027,2.7648811,2027-08-21,324
2028,1.9427935,2027-10-14,13
2029,0.52666223,2029-08-19,322
2030,2.9092474,2030-08-07,310
2031,7.743688,2031-09-15,349
2032,4.244612,2031-10-01,0
2033,2.5240195,2033-06-22,264
2034,2.3251126,2034-08-31,334
2035,1.9565303,2035-08-11,314
2036,4.3355417,2036-08-20,324
2037,3.8204021,2037-06-22,264
2038,1.1172466,2038-06-13,255
2039,2.9777763,2039-09-21,355
2040,1.8992867,2040-05-12,224
2041,2.4159002,2040-10-09,8
2042,2.801554,2042-07-09,281
2043,1.7097238,2043-05-09,220
2044,0.6599382,2044-05-19,231
2045,3.3040109,2045-07-25,297
2046,7.6017675,2046-06-22,264
2047,2.2443197,2047-08-11,314
2048,1.0293038,2048-06-09,252
2049,1.5291525,2049-03-31,181
2050,2.0357792,2050-06-25,267
2051,2.1711576,2051-05-15,226
2052,2.1905699,2052-04-30,212
2053,2.5043871,2053-04-19,200
2054,0.018280508,2054-07-10,282
2055,2.681058,2055-04-30,211
2056,1.8867424,2056-02-29,151
2057,2.2712631,2057-05-11,222
2058,0.03232442,2058-05-29,240
2059,0.39576122,2059-02-26,148
2060,0.37425256,2060-04-07,189
2061,1.063845,2061-05-14,225
2062,2.0731947,2062-03-01,151
2063,0.13358365,2063-02-09,131
2064,1.7358044,2064-03-18,169
2065,1.9470887,2065-03-31,181
2066,3.88168,2066-03-01,151
2067,0.27488422,2067-02-25,147
2068,3.6328518e-05,2068-01-16,107
2069,4.1878234e-06,2069-02-14,136
2070,4.027738,2070-03-22,172
2071,0.8580823,2071-03-15,165
2072,4.492335,2072-02-15,137
2073,1.1852214,2073-02-21,143
2074,0.3250486,2074-01-04,95
2075,0.96352196,2075-03-07,157
2076,2.8188498,2076-01-08,99
2077,0.15818653,2076-12-07,67
2078,0.70386213,2077-12-31,91
2079,1.1497842,2079-01-21,112
2080,1.0430741,2079-12-05,65
2081,1.6351886,2080-11-28,58
2082,0.5916377,2081-11-23,53
2083,0.0,2082-10-01,0
2084,2.7941747,2083-12-14,74
2085,3.852736,2084-11-23,53
2086,1.1070063,2085-10-14,13
2087,0.272871,2087-09-29,363
2088,9.41144e-05,2087-10-05,4
2089,4.076729e-05,2088-11-28,58
2090,0.0021620193,2089-10-26,25
2091,0.0,2090-10-01,0
2092,0.0055426247,2091-11-03,33
2093,0.56726635,2092-11-01,31
2094,0.100924715,2094-09-24,358
2095,4.6346544e-05,2095-07-08,280
2096,0.900153,2095-11-11,41
2097,0.022081425,2096-10-27,26
