,maxval,maxdate,maxarg
1981,9.652989,1981-03-24,174
1982,8.338049,1982-02-19,141
1983,2.9727378,1983-01-01,92
1984,1.6493605,1984-01-31,122
1985,4.8423758,1984-12-19,79
1986,4.2694135,1986-02-05,127
1987,7.754582,1987-01-30,121
1988,10.403745,1988-01-27,118
1989,2.710093,1988-12-22,82
1990,4.875407,1990-01-18,109
1991,4.383534,1990-11-04,34
1992,1.1313272,1992-01-04,95
1993,9.235321,1993-01-28,119
1994,8.193417,1993-12-08,68
1995,10.389465,1995-01-03,94
1996,6.478913,1996-01-19,110
1997,3.0712397,1997-09-30,364
1998,6.1739492,1998-09-30,364
1999,9.266083,1998-11-09,39
2000,1.5037909,2000-09-14,349
2001,2.314655,2001-09-28,362
2002,7.356739,2002-08-27,330
2003,6.7555537,2002-10-26,25
2004,6.6272697,2003-11-03,33
2005,4.322577,2005-09-19,353
2006,6.9526253,2006-09-30,364
2007,7.128517,2006-10-05,4
2008,6.9390483,2008-08-26,330
2009,2.020886,2008-10-01,0
2010,6.3212566,2010-07-24,296
2011,4.095549,2011-09-30,364
2012,4.109305,2011-10-01,0
2013,0.9247578,2013-07-04,276
2014,4.776422,2013-12-08,68
2015,2.7118948,2015-09-29,363
2016,4.200286,2015-11-28,58
2017,3.3393366,2016-12-01,61
2018,7.6403975,2017-11-03,33
2019,5.15767,2018-11-03,33
2020,3.8149,2020-09-30,365
2021,7.0463767,2020-11-03,33
2022,3.0196931,2022-08-11,314
2023,8.20451,2022-11-26,56
2024,7.191499,2024-09-13,348
2025,4.415811,2025-09-28,362
2026,4.2954593,2025-11-24,54
2027,3.6766026,2027-09-14,348
2028,3.9257898,2027-10-29,28
2029,0.7791756,2028-10-29,28
2030,3.667472,2030-08-17,320
2031,7.4830437,2031-09-17,351
2032,6.098062,2031-10-25,24
2033,2.6342545,2033-06-28,270
2034,4.1477237,2034-09-19,353
2035,3.9405754,2034-10-09,8
2036,1.0059083,2036-08-15,319
2037,4.083581,2037-06-22,264
2038,0.89496785,2038-05-18,229
2039,3.0726912,2039-09-23,357
2040,3.285912,2040-08-08,312
2041,2.6104064,2040-10-10,9
2042,1.2757436,2042-05-31,242
2043,1.1329207,2043-05-08,219
2044,1.72537,2044-05-29,241
2045,1.8281652,2045-07-21,293
2046,8.177688,2046-07-04,276
2047,3.294951,2047-07-24,296
2048,0.81110066,2048-04-10,192
2049,1.3191478,2049-04-04,185
2050,1.1458396,2050-03-30,180
2051,4.793005,2051-05-20,231
2052,2.1138952,2052-03-23,174
2053,5.144172,2053-04-18,199
2054,0.67838347,2054-03-28,178
2055,2.464622,2055-06-22,264
2056,1.770848,2056-03-02,153
2057,4.4916563,2057-05-11,222
2058,1.9030073,2058-06-02,244
2059,0.67682076,2059-04-25,206
2060,0.6181701,2060-05-08,220
2061,2.6459448,2061-02-27,149
2062,2.9716332,2062-03-31,181
2063,1.3441125,2063-02-11,133
2064,2.2367868,2064-02-01,123
2065,3.4614184,2065-03-10,160
2066,5.1194887,2066-02-21,143
2067,0.80456513,2066-12-20,80
2068,0.8154991,2068-01-17,108
2069,2.475237,2069-04-05,186
2070,2.7323925,2070-02-07,129
2071,2.0047781,2071-03-24,174
2072,4.6556053,2072-02-16,138
2073,1.8241934,2073-03-13,163
2074,1.1064254,2074-01-04,95
2075,2.2139518,2075-03-10,160
2076,1.7003036,2076-01-09,100
2077,2.6725576,2076-12-09,69
2078,1.2971281,2078-01-06,97
2079,1.8544497,2078-11-11,41
2080,0.62463385,2079-12-07,67
2081,1.4866128,2080-11-28,58
2082,1.1719133,2081-11-13,43
2083,0.408066,2082-12-19,79
2084,1.2055197,2083-12-14,74
2085,0.88453203,2084-12-28,88
2086,0.44831172,2085-10-28,27
2087,0.03268663,2086-10-26,25
2088,0.074811876,2087-10-22,21
2089,0.16557412,2088-11-19,49
2090,0.010893016,2089-10-08,7
2091,0.028795157,2090-12-30,90
2092,0.25524122,2091-11-21,51
2093,0.91982245,2092-11-01,31
2094,0.20726578,2094-09-28,362
2095,0.21945585,2095-07-12,284
2096,0.5602609,2095-10-07,6
2097,1.5664868,2097-08-15,318
