,maxval,maxdate,maxarg
1981,62.067814,1981-03-24,174
1982,33.345776,1982-02-20,142
1983,30.621374,1983-01-21,112
1984,7.97827,1984-01-31,122
1985,45.586697,1985-03-25,175
1986,18.27047,1986-02-05,127
1987,42.664562,1987-03-26,176
1988,57.86956,1988-02-23,145
1989,13.639659,1989-02-09,131
1990,31.409748,1990-01-22,113
1991,19.913746,1990-11-03,33
1992,9.196152,1992-01-21,112
1993,22.347927,1993-01-28,119
1994,23.043198,1993-12-09,69
1995,49.344574,1995-01-03,94
1996,22.87319,1996-01-22,113
1997,12.256102,1997-09-30,364
1998,25.5321,1997-12-10,70
1999,30.051159,1998-11-08,38
2000,10.521309,2000-09-14,349
2001,16.823626,2000-12-19,79
2002,15.161892,2002-08-25,328
2003,16.537724,2002-10-27,26
2004,23.068417,2003-12-10,70
2005,31.039232,2004-12-03,63
2006,24.455837,2006-09-28,362
2007,30.956411,2006-11-07,37
2008,27.342745,2007-10-30,29
2009,19.43563,2008-10-01,0
2010,30.201187,2010-09-09,343
2011,32.49936,2010-10-28,27
2012,15.976026,2012-08-30,334
2013,10.390846,2012-10-10,9
2014,7.332184,2013-12-06,66
2015,17.47916,2015-02-07,129
2016,7.6430984,2015-10-29,28
2017,16.106092,2016-12-01,61
2018,36.674923,2018-01-30,121
2019,17.74446,2018-11-03,33
2020,11.662009,2020-09-30,365
2021,35.92357,2021-01-03,94
2022,15.733477,2022-01-06,97
2023,40.16015,2022-11-26,56
2024,16.816639,2024-09-13,348
2025,13.038246,2024-10-01,0
2026,27.989925,2025-12-02,62
2027,13.895105,2027-09-30,364
2028,19.328272,2027-12-15,75
2029,3.5243707,2029-07-12,284
2030,14.339277,2030-08-18,321
2031,23.287046,2030-11-21,51
2032,18.472494,2031-10-26,25
2033,13.141358,2033-09-21,355
2034,11.366877,2033-10-01,0
2035,14.007806,2034-10-25,24
2036,6.7975135,2036-08-19,323
2037,20.59066,2037-06-21,263
2038,1.248754,2038-06-12,254
2039,13.56062,2039-09-23,357
2040,16.798014,2039-10-14,13
2041,6.838435,2040-10-02,1
2042,2.2137852,2041-10-05,4
2043,3.5327718,2043-05-07,218
2044,5.05607,2044-05-13,225
2045,15.568594,2045-07-25,297
2046,25.683956,2046-07-04,276
2047,20.273878,2047-07-24,296
2048,3.7656438,2048-06-09,252
2049,6.407079,2049-04-04,185
2050,3.9228206,2050-06-29,271
2051,20.704773,2051-05-18,229
2052,4.0498333,2052-03-22,173
2053,13.013052,2053-04-17,198
2054,2.4966238,2054-06-17,259
2055,12.751908,2055-06-29,271
2056,4.392969,2056-02-29,151
2057,24.969963,2057-05-24,235
2058,2.5690658,2058-06-01,243
2059,5.085169,2059-04-30,211
2060,1.3405471,2060-02-17,139
2061,5.8111296,2061-03-09,159
2062,10.512267,2062-03-03,153
2063,5.4938283,2063-02-12,134
2064,5.1889205,2064-01-31,122
2065,7.3752093,2065-03-30,180
2066,9.511777,2066-03-10,160
2067,3.8361518,2066-12-20,80
2068,0.31314,2068-02-10,132
2069,0.44046864,2068-12-17,77
2070,14.067916,2070-03-05,155
2071,7.612358,2071-03-29,179
2072,11.399412,2072-02-16,138
2073,5.7201915,2072-12-10,70
2074,3.7584932,2074-02-17,139
2075,5.475649,2075-03-30,180
2076,8.239643,2076-01-29,120
2077,2.704989,2077-02-21,143
2078,2.970309,2077-11-16,46
2079,6.662852,2078-11-05,35
2080,3.772399,2080-01-17,108
2081,4.8660398,2081-01-24,115
2082,1.8432044,2081-11-13,43
2083,0.65038073,2082-12-19,79
2084,5.7356515,2083-12-15,75
2085,1.8619097,2084-12-03,63
2086,2.183053,2085-10-28,27
2087,0.31216723,2086-10-02,1
2088,0.03017191,2087-11-27,57
2089,1.0213016,2088-11-29,59
2090,0.76784045,2089-12-22,82
2091,0.0019740486,2091-08-31,334
2092,1.5199105,2091-12-11,71
2093,0.9408525,2092-12-26,86
2094,1.2280253,2094-09-27,361
2095,1.6718528,2095-08-08,311
2096,3.8838649,2095-11-12,42
2097,3.5627277,2097-08-13,316
