,maxval,maxdate,maxarg
1981,10.130353,1981-03-22,172
1982,4.136885,1982-02-17,139
1983,1.3896557,1983-04-12,193
1984,2.7102835,1984-01-31,122
1985,4.8113694,1984-12-29,89
1986,9.538208,1986-02-19,141
1987,7.856244,1987-02-06,128
1988,5.9451833,1988-01-28,119
1989,0.86489815,1989-01-19,110
1990,11.085914,1990-01-01,92
1991,2.1938407,1990-11-04,34
1992,6.643109,1992-01-02,93
1993,2.5449212,1992-12-06,66
1994,5.556803,1994-09-30,364
1995,7.1406865,1994-10-06,5
1996,8.191867,1996-01-12,103
1997,4.0645556,1997-09-30,364
1998,6.5840397,1997-12-03,63
1999,7.2174783,1998-11-09,39
2000,3.8663588,1999-11-23,53
2001,2.533959,2001-09-28,362
2002,3.2268908,2002-09-17,351
2003,2.5488994,2002-10-25,24
2004,8.183064,2004-09-30,365
2005,8.188503,2004-10-01,0
2006,7.363044,2006-09-29,363
2007,7.4984164,2006-10-04,3
2008,8.389447,2008-09-20,355
2009,6.7719193,2008-10-01,0
2010,8.222923,2010-09-08,342
2011,6.3775425,2010-10-29,28
2012,3.4163895,2012-08-23,327
2013,1.5209323,2013-07-03,275
2014,2.774411,2013-12-14,74
2015,2.3492146,2015-09-28,362
2016,3.7446733,2015-12-01,61
2017,7.7040477,2016-11-24,54
2018,6.8311377,2017-11-05,35
2019,1.8824874,2019-01-04,95
2020,1.6670029,2020-09-30,365
2021,11.649924,2020-11-06,36
2022,2.4023125,2021-11-27,57
2023,7.860737,2022-11-24,54
2024,2.6073198,2024-09-28,363
2025,5.7149,2025-09-29,363
2026,5.714445,2025-10-01,0
2027,1.9428958,2027-09-30,364
2028,1.9428004,2027-10-01,0
2029,1.7575803,2029-09-26,360
2030,1.9316686,2030-08-12,315
2031,2.3421648,2031-09-18,352
2032,3.6436906,2032-08-27,331
2033,4.0674934,2033-09-18,352
2034,1.6156764,2033-10-08,7
2035,2.0600567,2034-10-09,8
2036,2.2981734,2036-08-21,325
2037,3.0761225,2037-06-21,263
2038,0.9925764,2038-08-02,305
2039,2.0022652,2039-08-09,312
2040,2.2815926,2040-08-06,310
2041,0.47907743,2041-05-10,221
2042,0.62296283,2042-07-05,277
2043,0.97042406,2043-05-07,218
2044,1.3739247,2044-06-22,265
2045,1.8019496,2045-07-20,292
2046,2.4526618,2046-06-20,262
2047,1.387877,2047-07-16,288
2048,2.1398768,2048-07-05,278
2049,2.304155,2049-06-22,264
2050,0.57498026,2050-07-19,291
2051,1.8888562,2051-04-22,203
2052,1.4453152,2052-03-16,167
2053,1.3738124,2053-04-15,196
2054,2.406636,2054-03-27,177
2055,2.5411596,2055-05-02,213
2056,0.9388906,2056-03-04,155
2057,6.450673,2057-05-22,233
2058,1.9903414,2058-04-29,210
2059,1.1563888,2059-02-28,150
2060,1.2705812,2060-04-21,203
2061,2.2780342,2061-05-06,217
2062,2.7338445,2062-02-28,150
2063,1.3401957,2063-02-11,133
2064,2.112919,2064-01-02,93
2065,1.3555332,2065-03-29,179
2066,1.4325433,2066-03-08,158
2067,2.0080996,2067-03-23,173
2068,1.7908629,2068-01-15,106
2069,0.20834441,2069-02-21,143
2070,3.2155657,2070-03-01,151
2071,3.1687,2071-01-21,112
2072,4.687449,2072-02-23,145
2073,1.7712324,2072-12-03,63
2074,3.6638525,2074-02-18,140
2075,1.580595,2075-01-09,100
2076,0.8629865,2076-01-19,110
2077,0.6048003,2077-02-26,148
2078,1.0618923,2077-12-21,81
2079,1.5832902,2079-01-08,99
2080,1.347595,2079-12-24,84
2081,1.1141275,2080-10-15,14
2082,1.2156124,2081-11-14,44
2083,0.47641858,2082-11-16,46
2084,1.2645652,2083-12-03,63
2085,0.9103807,2084-11-12,42
2086,0.44159573,2085-10-25,24
2087,1.6485201,2086-11-20,50
2088,1.7692587,2087-11-29,59
2089,0.308041,2088-12-06,66
2090,0.46718252,2090-09-12,346
2091,0.346043,2090-11-15,45
2092,0.75614285,2091-12-09,69
2093,0.25302058,2093-09-27,361
2094,0.34328327,2094-09-27,361
2095,1.6125697,2095-08-02,305
2096,0.31295392,2095-11-27,57
2097,1.2638729,2097-08-13,316
