,maxval,maxdate,maxarg
1981,117.7062,1981-04-06,187
1982,75.19769,1982-03-31,181
1983,82.88,1983-03-24,174
1984,64.9548,1984-04-18,200
1985,101.74782,1985-04-14,195
1986,59.139084,1986-03-10,160
1987,104.83692,1987-03-31,181
1988,103.07019,1988-02-24,146
1989,57.468132,1989-02-09,131
1990,82.05814,1990-02-24,146
1991,80.81335,1991-02-16,138
1992,45.185516,1992-02-16,138
1993,61.784073,1993-02-09,131
1994,78.53848,1994-01-25,116
1995,100.640625,1995-02-02,124
1996,61.473038,1996-01-23,114
1997,51.410492,1996-12-23,83
1998,81.86095,1998-01-21,112
1999,70.761246,1998-12-14,74
2000,52.537453,2000-01-11,102
2001,74.08039,2000-12-22,82
2002,41.349087,2002-09-30,364
2003,87.11347,2002-12-31,91
2004,73.25378,2004-09-30,365
2005,105.43216,2004-12-03,63
2006,59.627914,2005-12-26,86
2007,79.20292,2006-12-11,71
2008,75.50717,2007-11-19,49
2009,60.78754,2008-10-23,22
2010,62.09402,2009-10-25,24
2011,64.081375,2010-10-28,27
2012,76.5985,2011-11-03,33
2013,58.8102,2012-10-30,29
2014,35.0068,2014-02-11,133
2015,44.98539,2015-02-07,129
2016,42.969692,2016-02-15,137
2017,68.01798,2017-01-22,113
2018,103.56465,2018-02-06,128
2019,37.249317,2019-01-08,99
2020,92.70608,2020-01-25,116
2021,90.60789,2021-01-04,95
2022,43.38729,2022-01-09,100
2023,79.71248,2023-01-12,103
2024,27.259243,2024-09-30,365
2025,46.135475,2025-01-02,93
2026,65.231865,2025-12-07,67
2027,57.684013,2027-09-30,364
2028,94.319725,2027-12-25,85
2029,9.334938,2028-11-29,59
2030,47.868923,2030-09-30,364
2031,86.59524,2030-12-04,64
2032,44.540478,2031-11-29,59
2033,51.59943,2033-09-24,358
2034,60.611256,2033-10-23,22
2035,60.597755,2034-11-06,36
2036,37.75987,2035-10-01,0
2037,36.595333,2037-08-17,320
2038,24.445572,2037-10-01,0
2039,32.03775,2039-09-30,364
2040,74.99587,2040-09-22,357
2041,75.748375,2040-10-08,7
2042,51.85222,2041-10-06,5
2043,6.929484,2043-05-30,241
2044,24.500422,2044-07-18,291
2045,24.336308,2045-08-26,329
2046,39.634182,2046-08-06,309
2047,30.597183,2047-08-15,318
2048,19.435131,2048-06-22,265
2049,12.962678,2049-05-07,218
2050,16.11724,2050-07-17,289
2051,33.161213,2051-06-24,266
2052,10.323772,2052-05-01,213
2053,33.23227,2053-06-16,258
2054,7.8420515,2054-04-08,189
2055,40.688793,2055-07-16,288
2056,5.4703784,2056-04-26,208
2057,23.477041,2057-06-23,265
2058,12.789283,2058-05-17,228
2059,4.516076,2059-03-03,153
2060,4.449794,2060-02-21,143
2061,34.547123,2061-06-12,254
2062,54.235966,2062-05-10,221
2063,15.148547,2063-02-16,138
2064,11.986129,2064-02-12,134
2065,20.211626,2065-04-02,183
2066,17.7544,2066-03-12,162
2067,6.7928386,2067-02-26,148
2068,2.575095,2067-12-08,68
2069,2.1993802,2069-01-17,108
2070,40.994686,2070-03-28,178
2071,9.870519,2071-03-30,180
2072,9.883815,2072-02-25,147
2073,10.078595,2072-12-11,71
2074,3.7144115,2074-01-20,111
2075,31.6602,2075-03-29,179
2076,27.5783,2076-02-02,124
2077,3.7577443,2076-12-14,74
2078,7.180795,2077-12-06,66
2079,3.1068292,2079-01-22,113
2080,9.919201,2080-01-19,110
2081,6.9295125,2080-11-29,59
2082,0.9887822,2081-11-24,54
2083,1.7628936,2082-11-12,42
2084,14.869819,2084-01-09,100
2085,12.05491,2084-12-31,91
2086,1.9149907,2085-11-06,36
2087,1.0129948,2086-12-15,75
2088,3.286786,2087-12-13,73
2089,2.8824897,2088-10-28,27
2090,4.1588693,2089-10-28,27
2091,0.9879041,2091-08-31,334
2092,2.3287523,2091-10-10,9
2093,1.235367,2093-08-12,315
2094,3.5017674,2094-09-30,364
2095,3.5712457,2094-10-01,0
2096,9.277995,2095-11-17,47
2097,6.2158437,2096-11-10,40
