,maxval,maxdate,maxarg
1981,3.9186857,1981-02-09,131
1982,2.108768,1982-01-06,97
1983,2.2028744,1982-10-30,29
1984,4.362709,1984-01-26,117
1985,0.70897794,1984-11-12,42
1986,1.7483008,1986-01-07,98
1987,1.2981111,1987-01-14,105
1988,3.4283197,1987-12-02,62
1989,3.5544147,1988-12-22,82
1990,2.3215232,1989-12-24,84
1991,1.1013789,1990-11-28,58
1992,3.0891821,1991-11-20,50
1993,4.4802155,1992-12-02,62
1994,2.9128587,1993-10-30,29
1995,1.3313057,1994-10-01,0
1996,1.8102335,1995-10-15,14
1997,1.1353937,1996-10-01,0
1998,1.3713663,1998-01-01,92
1999,2.540279,1999-09-26,360
2000,2.5291262,1999-10-01,0
2001,4.079823,2001-09-25,359
2002,8.658721,2001-11-19,49
2003,2.4245195,2003-09-18,352
2004,7.606982,2003-10-19,18
2005,1.4338615,2004-10-04,3
2006,1.2974279,2006-08-12,315
2007,2.9059222,2007-08-21,324
2008,2.5689116,2008-08-30,334
2009,1.5286373,2009-08-24,327
2010,2.6620803,2010-07-29,301
2011,1.1526486,2011-08-10,313
2012,1.6188655,2012-07-17,290
2013,0.31327382,2013-05-29,240
2014,1.4384224,2013-11-28,58
2015,1.2892432,2014-11-19,49
2016,3.8798025,2015-11-14,44
2017,1.7985326,2017-09-30,364
2018,2.4300284,2017-10-04,3
2019,4.037714,2018-12-22,82
2020,1.061585,2019-12-15,75
2021,0.36901045,2020-10-29,28
2022,2.5578818,2021-10-21,20
2023,3.665611,2022-11-16,46
2024,2.2342908,2023-10-14,13
2025,3.3015609,2025-09-20,354
2026,2.9148066,2025-10-01,0
2027,2.4647543,2027-08-18,321
2028,2.8971505,2028-08-19,323
2029,1.8388551,2029-08-29,332
2030,2.3038175,2030-08-07,310
2031,0.8925119,2031-09-08,342
2032,3.0858407,2032-07-22,295
2033,2.6168573,2033-08-05,308
2034,1.2419832,2034-07-28,300
2035,0.8428776,2035-06-26,268
2036,0.9067246,2036-06-09,252
2037,0.90318245,2037-06-16,258
2038,5.683092,2038-08-28,331
2039,1.2970718,2039-05-01,212
2040,1.7905623,2040-07-05,278
2041,1.1954603,2041-05-11,222
2042,1.5959755,2042-07-06,278
2043,1.1494476,2043-06-19,261
2044,2.9516776,2044-06-14,257
2045,0.8901573,2045-06-11,253
2046,1.0708987,2046-05-28,239
2047,2.5141766,2047-04-07,188
2048,3.1377842,2048-05-29,241
2049,0.0053205146,2049-05-08,219
2050,1.9109035,2050-06-05,247
2051,2.7563014,2051-05-01,212
2052,0.599175,2052-05-22,234
2053,2.5355244,2053-04-12,193
2054,0.8268987,2054-04-26,207
2055,0.6473683,2055-03-05,155
2056,0.7220086,2056-01-24,115
2057,1.1271725,2057-04-06,187
2058,0.80557805,2058-06-01,243
2059,0.94222236,2059-04-11,192
2060,0.99802214,2060-04-03,185
2061,0.5618821,2061-02-13,135
2062,0.78426385,2062-03-22,172
2063,2.2835479,2063-03-27,177
2064,0.24959736,2064-04-07,189
2065,0.83859766,2065-01-23,114
2066,0.38827467,2066-05-07,218
2067,0.035252295,2067-01-09,100
2068,0.5416248,2068-03-13,164
2069,0.29328635,2069-05-03,214
2070,0.60727376,2070-03-03,153
2071,0.8088925,2071-05-02,213
2072,0.8970429,2072-02-01,123
2073,2.2540529,2072-12-28,88
2074,4.084878,2074-01-06,97
2075,0.8934396,2075-01-29,120
2076,2.6959431e-05,2075-11-10,40
2077,0.4836713,2076-11-11,41
2078,0.6099758,2077-11-16,46
2079,0.16805755,2078-12-05,65
2080,0.3253191,2079-11-21,51
2081,0.62696916,2080-11-09,39
2082,2.4846485,2081-11-13,43
2083,0.4013699,2082-12-01,61
2084,0.31184608,2084-09-26,361
2085,1.2516873,2084-10-12,11
2086,0.58452743,2085-10-12,11
2087,1.5227308,2086-11-21,51
2088,2.1247773,2087-12-19,79
2089,0.25040898,2089-09-29,363
2090,0.9314566,2089-10-04,3
2091,0.22870253,2090-11-09,39
2092,0.23675218,2091-11-22,52
2093,0.49238944,2092-10-05,4
2094,0.062670305,2093-10-17,16
2095,0.005867009,2094-11-22,52
2096,0.20428658,2096-08-14,318
2097,0.7458473,2097-08-14,317
