,maxval,maxdate,maxarg
1981,11.574189,1981-03-28,178
1982,13.628091,1982-04-16,197
1983,9.568614,1983-03-25,175
1984,7.7651424,1984-03-22,173
1985,13.454784,1985-04-10,191
1986,9.288053,1986-03-28,178
1987,12.274345,1987-03-13,163
1988,6.615036,1988-03-16,167
1989,7.73711,1989-02-10,132
1990,12.248662,1990-02-27,149
1991,11.2041,1991-02-16,138
1992,7.818051,1992-02-01,123
1993,11.0292225,1993-02-05,127
1994,8.048226,1994-01-27,118
1995,10.864035,1995-01-15,106
1996,7.908413,1996-01-23,114
1997,7.9638114,1996-12-23,83
1998,12.210491,1998-01-15,106
1999,6.7414327,1999-01-07,98
2000,5.7192616,2000-01-05,96
2001,6.841279,2000-12-25,85
2002,10.906135,2001-12-31,91
2003,16.56666,2003-01-02,93
2004,10.925156,2003-12-06,66
2005,10.771071,2004-12-18,78
2006,11.424217,2005-11-23,53
2007,8.105863,2006-11-29,59
2008,9.115119,2008-09-30,365
2009,9.971366,2008-10-27,26
2010,9.297562,2009-11-09,39
2011,10.765548,2011-09-30,364
2012,11.386109,2012-09-30,365
2013,12.243412,2012-10-18,17
2014,9.510788,2014-01-25,116
2015,11.377985,2015-02-10,132
2016,8.378075,2016-02-04,126
2017,14.739835,2017-01-21,112
2018,8.785878,2018-02-02,124
2019,9.803623,2019-01-30,121
2020,7.3333216,2020-01-02,93
2021,12.231075,2021-01-04,95
2022,10.171071,2022-01-13,104
2023,13.475477,2023-01-16,107
2024,8.164232,2024-01-04,95
2025,10.88021,2024-12-10,70
2026,6.5367246,2025-12-21,81
2027,8.304229,2026-11-17,47
2028,9.298554,2027-12-11,71
2029,10.902126,2028-11-22,52
2030,7.1680975,2029-11-19,49
2031,8.265479,2030-11-12,42
2032,8.668472,2032-09-30,365
2033,9.248734,2032-11-25,55
2034,11.026031,2034-09-30,364
2035,12.268844,2034-10-29,28
2036,10.307204,2035-10-09,8
2037,9.579095,2037-09-28,362
2038,10.76612,2038-09-14,348
2039,15.600347,2039-09-30,364
2040,16.36185,2039-10-07,6
2041,12.350962,2041-08-28,331
2042,8.833386,2042-08-17,320
2043,9.419265,2043-08-30,333
2044,10.500219,2044-08-24,328
2045,9.103196,2045-08-18,321
2046,10.910812,2046-08-11,314
2047,14.43768,2047-08-17,320
2048,7.6997337,2048-07-22,295
2049,7.2336907,2049-07-29,301
2050,11.001184,2050-07-31,303
2051,11.5568695,2051-06-29,271
2052,8.932513,2052-07-13,286
2053,11.197407,2053-06-25,267
2054,8.036922,2054-07-13,285
2055,7.867747,2055-06-30,272
2056,4.937194,2056-04-30,212
2057,8.991187,2057-06-29,271
2058,9.347462,2058-06-07,249
2059,6.4878707,2059-05-15,226
2060,10.04902,2060-05-18,230
2061,9.7113495,2061-04-14,195
2062,13.719932,2062-05-19,230
2063,4.7508802,2063-05-11,222
2064,10.617129,2064-05-18,230
2065,5.3677554,2065-04-27,208
2066,7.570495,2066-04-07,188
2067,6.9110727,2067-05-12,223
2068,4.766595,2068-04-03,185
2069,6.358511,2069-02-24,146
2070,5.694652,2070-03-26,176
2071,8.67054,2071-04-01,182
2072,7.2828445,2072-03-26,177
2073,8.450943,2073-03-19,169
2074,3.0422037,2074-03-02,152
2075,7.7249055,2075-02-09,131
2076,9.087237,2076-02-05,127
2077,6.415246,2077-02-22,144
2078,7.4406486,2078-02-06,128
2079,6.73243,2079-01-29,120
2080,3.906729,2080-01-20,111
2081,8.539913,2081-01-28,119
2082,2.8089316,2082-01-05,96
2083,5.0369053,2082-12-08,68
2084,7.360568,2084-01-06,97
2085,9.383274,2085-01-02,93
2086,4.1723075,2085-11-06,36
2087,6.778126,2086-12-11,71
2088,7.0903497,2087-12-17,77
2089,5.4721794,2088-12-07,67
2090,4.1037536,2090-09-26,360
2091,6.3800087,2090-12-10,70
2092,6.8669596,2091-12-04,64
2093,7.7987576,2092-11-14,44
2094,4.099937,2094-09-30,364
2095,6.7057247,2094-10-24,23
2096,5.2884874,2095-12-03,63
2097,4.8409824,2097-09-30,364
