,maxval,maxdate,maxarg
1981,50.72717,1981-03-25,175
1982,33.24991,1982-03-05,155
1983,27.214867,1983-01-22,113
1984,16.452982,1984-01-31,122
1985,51.425877,1985-03-08,158
1986,14.630748,1986-01-31,122
1987,43.10416,1987-03-26,176
1988,43.187996,1988-02-23,145
1989,15.736477,1989-02-09,131
1990,32.12562,1990-01-23,114
1991,21.32459,1990-12-09,69
1992,5.804341,1992-01-05,96
1993,27.477694,1993-01-28,119
1994,42.82559,1994-01-07,98
1995,54.746227,1995-01-15,106
1996,24.247557,1996-01-18,109
1997,16.514236,1997-09-30,364
1998,33.139164,1997-12-04,64
1999,30.074247,1998-11-09,39
2000,15.362955,2000-09-22,357
2001,25.242302,2000-12-05,65
2002,20.353006,2002-08-28,331
2003,23.363022,2002-10-26,25
2004,27.658575,2004-09-23,358
2005,51.842896,2004-12-02,62
2006,33.518578,2006-09-30,364
2007,40.24533,2006-11-07,37
2008,30.628597,2007-10-08,7
2009,16.855053,2009-09-30,364
2010,23.524412,2010-09-23,357
2011,26.94486,2011-09-30,364
2012,27.048805,2011-10-01,0
2013,14.480435,2012-10-17,16
2014,11.683553,2013-12-08,68
2015,10.452165,2015-02-05,127
2016,11.24672,2015-12-02,62
2017,17.96043,2017-01-22,113
2018,29.04565,2017-11-03,33
2019,18.814404,2018-11-05,35
2020,22.042326,2019-11-24,54
2021,29.448898,2020-12-17,77
2022,19.51161,2022-09-30,364
2023,40.086674,2022-11-26,56
2024,19.187237,2024-09-12,347
2025,17.24865,2024-10-13,12
2026,16.646843,2025-12-05,65
2027,14.838988,2027-09-30,364
2028,18.037767,2027-12-16,76
2029,2.9846282,2029-08-20,323
2030,16.176931,2030-08-17,320
2031,15.700227,2031-09-15,349
2032,21.651474,2031-10-27,26
2033,8.7119255,2033-09-23,357
2034,10.314673,2034-09-19,353
2035,15.49685,2035-08-19,322
2036,9.34431,2036-08-23,327
2037,12.247276,2037-07-31,303
2038,4.045547,2038-06-29,271
2039,13.8932295,2039-09-22,356
2040,19.352266,2040-08-08,312
2041,12.906614,2040-10-09,8
2042,8.450338,2042-07-11,283
2043,3.9091835,2043-05-11,222
2044,3.9679294,2044-05-12,224
2045,10.704079,2045-07-26,298
2046,14.45876,2046-07-05,277
2047,10.723629,2047-08-11,314
2048,6.7637944,2048-06-14,257
2049,3.3085983,2049-04-07,188
2050,4.3907604,2050-06-28,270
2051,13.958635,2051-06-24,266
2052,6.6768956,2052-05-01,213
2053,14.045183,2053-04-20,201
2054,1.5761753,2054-04-09,190
2055,5.186891,2055-06-29,271
2056,3.031888,2056-03-01,152
2057,8.482851,2057-05-22,233
2058,2.0398617,2058-05-06,217
2059,1.6044474,2059-02-27,149
2060,1.7121812,2060-04-11,193
2061,5.34091,2061-03-09,159
2062,14.469634,2062-04-06,187
2063,2.2174144,2063-02-11,133
2064,7.039439,2064-02-10,132
2065,6.327921,2065-03-08,158
2066,14.153472,2066-03-10,160
2067,3.4587085,2067-02-26,148
2068,2.1075182,2068-03-05,156
2069,0.4264936,2069-01-15,106
2070,5.8807096,2070-03-23,173
2071,1.0693856,2071-03-27,177
2072,7.6370316,2072-02-24,146
2073,3.5053785,2073-02-23,145
2074,1.2361645,2074-01-05,96
2075,5.577401,2075-01-20,111
2076,9.903455,2076-01-28,119
2077,1.6481835,2076-12-14,74
2078,1.9397694,2077-12-06,66
2079,2.7736793,2079-01-22,113
2080,3.1096635,2079-12-09,69
2081,5.770066,2080-11-30,60
2082,2.8437226,2081-11-25,55
2083,0.42994827,2082-12-08,68
2084,4.905507,2083-12-16,76
2085,7.4579268,2084-11-27,57
2086,2.7789273,2085-10-16,15
2087,1.1503531,2086-10-29,28
2088,1.4455297,2087-10-08,7
2089,0.80141187,2088-10-28,27
2090,1.8348078,2089-10-28,27
2091,0.59201694,2091-09-17,351
2092,0.9004486,2091-11-04,34
2093,2.5041814,2092-11-14,44
2094,1.4371276,2094-09-28,362
2095,1.8246303,2094-10-01,0
2096,3.7672637,2095-11-11,41
2097,1.0011599,2097-08-15,318
