,maxval,maxdate,maxarg
1981,6.6003633,1981-03-04,154
1982,2.4086792,1982-02-19,141
1983,5.0672517,1983-02-25,147
1984,3.840237,1984-03-07,158
1985,2.6987207,1985-02-04,126
1986,5.4322453,1986-03-31,181
1987,7.008608,1987-02-23,145
1988,2.6969786,1988-01-19,110
1989,4.0436945,1989-01-25,116
1990,5.0543947,1990-02-22,144
1991,4.342337,1991-02-05,127
1992,2.7347786,1992-09-30,365
1993,6.0420337,1993-01-20,111
1994,4.5345197,1994-09-30,364
1995,6.2786427,1994-12-16,76
1996,2.3945909,1995-12-29,89
1997,5.262188,1996-12-24,84
1998,5.926925,1998-01-02,93
1999,4.388936,1998-12-20,80
2000,1.9411845,1999-11-18,48
2001,3.9850917,2001-09-29,363
2002,13.68167,2001-12-29,89
2003,5.328797,2002-12-08,68
2004,3.8337562,2003-10-26,25
2005,2.278477,2005-09-18,352
2006,4.55558,2005-11-03,33
2007,3.9926364,2007-09-21,355
2008,4.251703,2007-10-25,24
2009,8.963268,2009-09-28,362
2010,9.668925,2009-10-13,12
2011,4.745611,2010-11-10,40
2012,3.5090587,2012-09-24,359
2013,4.9947133,2013-07-08,280
2014,3.7993186,2014-01-21,112
2015,2.528632,2015-01-24,115
2016,5.34274,2016-01-18,109
2017,2.2148614,2016-12-07,67
2018,2.5144813,2017-11-25,55
2019,7.1080246,2019-02-02,124
2020,2.218562,2019-11-14,44
2021,3.4816477,2020-11-22,52
2022,5.2832036,2021-11-29,59
2023,3.4428058,2022-12-16,76
2024,4.4695826,2023-12-19,79
2025,1.6897889,2024-10-17,16
2026,2.2461228,2025-10-18,17
2027,1.451141,2027-09-27,361
2028,2.9596756,2028-09-30,365
2029,7.366643,2028-11-15,45
2030,3.9082832,2030-09-30,364
2031,4.4735475,2030-10-23,22
2032,3.9386625,2031-10-01,0
2033,5.9949384,2033-09-29,363
2034,6.0208087,2033-10-04,3
2035,2.3747914,2035-09-24,358
2036,3.0889695,2035-10-10,9
2037,2.8225105,2037-08-18,321
2038,4.531106,2038-09-04,338
2039,3.9485288,2038-10-01,0
2040,1.5005331,2040-08-07,311
2041,0.8011638,2041-08-26,329
2042,1.798803,2042-08-19,322
2043,4.650847,2043-08-05,308
2044,2.6854453,2044-07-10,283
2045,3.4877994,2045-08-05,308
2046,1.4360029,2046-07-09,281
2047,6.7782216,2047-07-01,273
2048,2.4127488,2048-07-19,292
2049,0.45967394,2049-05-30,241
2050,1.1354514,2050-03-09,159
2051,3.1604128,2051-06-16,258
2052,1.2513145,2052-06-17,260
2053,3.6276708,2053-06-21,263
2054,8.233567,2054-07-02,274
2055,5.5318427,2055-06-14,256
2056,1.3663222,2056-03-06,157
2057,3.5842402,2057-05-16,227
2058,2.6908867,2058-05-01,212
2059,0.8929012,2059-03-01,151
2060,1.3754398,2060-05-03,215
2061,0.86955804,2061-04-03,184
2062,1.026766,2062-03-25,175
2063,3.8677332,2063-04-20,201
2064,0.65745324,2064-03-29,180
2065,2.378209,2065-03-16,166
2066,0.8762932,2066-04-24,205
2067,0.6529994,2067-02-25,147
2068,1.199074,2068-02-26,148
2069,2.9932797,2069-03-18,168
2070,3.5737367,2070-03-03,153
2071,3.0198362,2071-02-20,142
2072,5.151831,2072-03-11,162
2073,1.1430008,2073-01-30,121
2074,4.6298375,2074-03-11,161
2075,4.0769353,2075-02-05,127
2076,0.4031248,2075-11-24,54
2077,2.0702646,2076-12-11,71
2078,2.166537,2078-01-12,103
2079,2.1553423,2079-01-13,104
2080,1.0498593,2080-01-10,101
2081,0.67689925,2081-01-06,97
2082,3.9796019,2081-12-28,88
2083,1.0738398,2082-12-14,74
2084,1.7343159,2084-08-26,330
2085,1.2786993,2084-10-15,14
2086,0.93626344,2085-11-01,31
2087,0.5203824,2086-10-18,17
2088,3.3036165,2087-12-08,68
2089,2.5584044,2088-12-08,68
2090,1.0294487,2089-12-14,74
2091,1.5365535,2090-11-09,39
2092,1.2968265,2091-12-14,74
2093,1.1533862,2092-10-18,17
2094,2.2784183,2093-11-14,44
2095,1.7921442,2094-10-25,24
2096,1.0984218,2095-10-08,7
2097,1.3000536,2097-09-29,363
