,maxval,maxdate,maxarg
1981,16.362642,1981-03-28,178
1982,21.012241,1982-04-14,195
1983,12.55995,1983-03-25,175
1984,8.315741,1984-03-22,173
1985,19.293684,1985-04-10,191
1986,7.3445992,1986-03-15,165
1987,15.587895,1987-03-13,163
1988,11.635657,1988-02-23,145
1989,9.857842,1989-02-10,132
1990,15.60528,1990-02-26,148
1991,12.968759,1991-02-16,138
1992,8.880827,1992-01-24,115
1993,8.819967,1993-02-05,127
1994,8.8713875,1994-01-27,118
1995,15.457193,1995-01-15,106
1996,9.723017,1996-01-23,114
1997,6.8241057,1996-12-23,83
1998,13.078073,1998-01-13,104
1999,6.765412,1999-01-07,98
2000,8.52247,2000-01-04,95
2001,8.651553,2000-12-24,84
2002,11.653069,2001-12-31,91
2003,16.757334,2003-01-02,93
2004,17.715239,2003-12-07,67
2005,13.379654,2004-12-18,78
2006,12.372033,2005-11-23,53
2007,11.192656,2006-11-10,40
2008,11.327081,2008-09-30,365
2009,12.698743,2008-10-27,26
2010,9.872645,2009-11-01,31
2011,13.613391,2011-09-30,364
2012,15.563055,2012-09-29,364
2013,17.262081,2012-10-16,15
2014,8.660481,2014-01-24,115
2015,8.811247,2015-02-10,132
2016,7.7689085,2016-02-02,124
2017,17.634308,2017-01-21,112
2018,13.982451,2018-02-01,123
2019,14.988495,2019-01-30,121
2020,10.143433,2020-01-01,92
2021,16.448946,2021-01-03,94
2022,10.384484,2022-09-30,364
2023,19.668903,2023-01-16,107
2024,7.596745,2024-01-04,95
2025,11.531579,2024-11-23,53
2026,9.317003,2025-12-06,66
2027,10.385157,2026-11-21,51
2028,10.764976,2027-12-11,71
2029,10.57354,2028-11-22,52
2030,5.256612,2030-09-30,364
2031,9.206925,2030-11-12,42
2032,8.384214,2032-09-28,363
2033,13.627578,2033-09-30,364
2034,14.125969,2033-10-15,14
2035,14.342387,2034-10-27,26
2036,12.348628,2035-10-08,7
2037,11.340375,2036-10-03,2
2038,10.953014,2038-09-30,364
2039,14.322524,2039-09-30,364
2040,15.512944,2039-10-08,7
2041,12.909131,2041-08-28,331
2042,9.926739,2042-08-20,323
2043,8.81943,2043-08-30,333
2044,10.191081,2044-08-23,327
2045,8.3368435,2045-08-17,320
2046,15.473753,2046-08-10,313
2047,15.758232,2047-07-28,300
2048,9.349121,2048-07-21,294
2049,4.263724,2049-06-28,270
2050,11.438552,2050-08-03,306
2051,9.887909,2051-06-29,271
2052,8.008567,2052-07-13,286
2053,11.899984,2053-06-20,262
2054,6.120907,2054-07-13,285
2055,7.732336,2055-06-29,271
2056,4.2220535,2056-04-30,212
2057,9.9914665,2057-07-04,276
2058,8.538249,2058-06-06,248
2059,8.27285,2059-05-04,215
2060,6.00219,2060-05-17,229
2061,5.6578,2061-04-14,195
2062,14.652969,2062-05-19,230
2063,5.5987782,2063-04-22,203
2064,10.020754,2064-05-17,229
2065,5.7633343,2065-04-06,187
2066,12.091276,2066-03-13,163
2067,2.8235152,2067-04-11,192
2068,3.289262,2068-02-19,141
2069,4.51325,2069-02-24,146
2070,7.910086,2070-03-24,174
2071,6.369347,2071-03-30,180
2072,8.255571,2072-03-27,178
2073,6.9240823,2073-02-25,147
2074,2.7347298,2074-03-02,152
2075,7.950218,2075-02-09,131
2076,8.547042,2076-02-04,126
2077,5.820423,2077-02-22,144
2078,5.4204383,2078-02-06,128
2079,6.0219326,2079-01-26,117
2080,3.1665754,2080-01-20,111
2081,7.3817,2081-01-25,116
2082,1.422108,2082-01-04,95
2083,3.334511,2082-12-08,68
2084,7.193528,2083-12-15,75
2085,8.417362,2085-01-02,93
2086,3.6506908,2085-11-06,36
2087,5.440301,2086-12-17,77
2088,5.5340834,2087-12-16,76
2089,3.399784,2088-12-06,66
2090,2.7782705,2090-09-28,362
2091,3.9241447,2090-10-23,22
2092,2.8279345,2091-10-19,18
2093,3.2328458,2092-11-04,34
2094,4.44254,2094-09-30,364
2095,6.4895496,2094-10-23,22
2096,2.249221,2095-10-24,23
2097,4.1067595,2097-09-30,364
