,maxval,maxdate,maxarg
1981,0.3157034,1981-03-19,169
1982,1.3272798,1981-12-23,83
1983,1.1037182,1982-12-23,83
1984,0.15489148,1984-01-28,119
1985,0.6675616,1984-12-30,90
1986,0.21590315,1986-01-25,116
1987,0.6159023,1986-12-27,87
1988,0.3176066,1987-12-02,62
1989,0.3607487,1989-02-01,123
1990,0.24979462,1989-11-12,42
1991,2.075475,1990-10-09,8
1992,0.14210516,1991-12-13,73
1993,1.3477497,1993-09-14,348
1994,0.48798722,1994-09-30,364
1995,1.1772994,1994-10-02,1
1996,0.20012343,1995-10-03,2
1997,1.2354742,1997-09-30,364
1998,1.8482649,1997-10-03,2
1999,0.015457636,1999-08-18,321
2000,0.9043323,1999-11-08,38
2001,1.6274148,2001-09-27,361
2002,3.8342924,2002-08-27,330
2003,0.80643,2003-09-09,343
2004,0.99422276,2003-10-26,25
2005,0.0022180981,2004-10-19,18
2006,0.871589,2006-08-08,311
2007,0.67532635,2007-08-29,332
2008,0.5144243,2008-06-05,248
2009,0.351129,2009-08-06,309
2010,0.86098033,2010-07-21,293
2011,0.119966604,2011-07-27,299
2012,0.9221239,2012-08-04,308
2013,5.914014e-06,2013-06-27,269
2014,0.918902,2013-12-07,67
2015,1.7394114,2014-10-21,20
2016,0.0240483,2015-10-19,18
2017,0.69704664,2016-11-23,53
2018,0.2412603,2017-10-05,4
2019,0.28254572,2018-10-29,28
2020,0.7235074,2020-09-19,354
2021,0.5626227,2020-10-16,15
2022,0.95794135,2022-09-09,343
2023,1.2335397,2022-10-12,11
2024,0.012374461,2024-08-18,322
2025,0.59022725,2025-09-20,354
2026,0.053557597,2026-09-14,348
2027,0.068331435,2027-08-20,323
2028,0.5423244,2028-07-21,294
2029,0.0,2028-10-01,0
2030,0.10844044,2030-07-30,302
2031,3.2281053,2031-09-01,335
2032,0.14776127,2031-10-10,9
2033,3.332836e-05,2033-08-20,323
2034,0.11993277,2034-06-09,251
2035,0.15047124,2035-08-11,314
2036,0.074619934,2036-08-19,323
2037,0.67144084,2037-06-22,264
2038,2.4616957,2038-06-13,255
2039,0.6397753,2039-07-18,290
2040,0.020591727,2040-08-07,311
2041,0.099800706,2041-06-19,261
2042,0.36171678,2042-06-01,243
2043,0.6300185,2043-05-10,221
2044,2.1161225e-06,2044-05-27,239
2045,0.037895117,2045-07-03,275
2046,0.92493486,2046-07-04,276
2047,0.88220334,2047-04-22,203
2048,1.7682668e-06,2048-06-08,251
2049,0.034562092,2049-05-27,238
2050,0.2903794,2050-03-30,180
2051,0.73219204,2051-05-18,229
2052,1.4032931,2052-03-24,175
2053,2.0877852,2053-04-19,200
2054,0.0,2053-10-01,0
2055,0.028588917,2055-03-30,180
2056,0.12155496,2056-02-23,145
2057,0.07459454,2057-03-16,166
2058,0.0,2057-10-01,0
2059,3.7361002e-05,2059-04-24,205
2060,0.36908832,2060-03-06,157
2061,0.0,2060-10-01,0
2062,0.8943273,2062-03-29,179
2063,4.175447e-05,2063-01-31,122
2064,0.30362344,2064-02-01,123
2065,0.0012414792,2065-03-02,152
2066,0.27458704,2066-03-01,151
2067,0.0,2066-10-01,0
2068,0.0,2067-10-01,0
2069,0.0,2068-10-01,0
2070,0.0008436761,2070-02-03,125
2071,2.0646003e-06,2071-01-10,101
2072,0.22869666,2072-01-23,114
2073,0.010926808,2073-02-19,141
2074,0.65373707,2074-01-03,94
2075,1.6377228,2074-12-29,89
2076,0.0,2075-10-01,0
2077,0.013552937,2076-12-29,89
2078,0.00026368393,2078-01-04,95
2079,0.00020290018,2078-11-20,50
2080,0.0,2079-10-01,0
2081,1.5096716,2080-11-29,59
2082,6.310528e-05,2081-10-26,25
2083,0.0,2082-10-01,0
2084,8.005741e-05,2083-10-13,12
2085,0.9662802,2084-11-21,51
2086,0.7467479,2085-10-14,13
2087,0.20156735,2087-09-29,363
2088,0.0,2087-10-01,0
2089,0.0,2088-10-01,0
2090,0.0,2089-10-01,0
2091,0.0,2090-10-01,0
2092,0.0,2091-10-01,0
2093,0.0,2092-10-01,0
2094,0.2303075,2094-09-24,358
2095,0.0,2094-10-01,0
2096,0.0,2095-10-01,0
2097,0.0006629501,2097-09-23,357
