,maxval,maxdate,maxarg
1981,21.022518,1981-05-05,216
1982,40.792824,1982-04-28,209
1983,22.177107,1983-04-25,206
1984,17.327787,1984-05-02,214
1985,26.341276,1985-04-10,191
1986,19.571924,1986-04-10,191
1987,28.468128,1987-04-08,189
1988,18.948719,1988-03-07,158
1989,14.355663,1989-02-26,148
1990,24.209541,1990-03-12,162
1991,21.676422,1991-03-19,169
1992,20.921389,1992-02-13,135
1993,21.258898,1993-02-08,130
1994,14.969539,1994-02-13,135
1995,28.951277,1995-02-10,132
1996,24.087685,1996-01-30,121
1997,16.87802,1997-02-07,129
1998,24.34746,1998-01-25,116
1999,24.170792,1999-01-14,105
2000,15.175951,2000-01-05,96
2001,13.895427,2001-01-06,97
2002,23.613848,2002-01-09,100
2003,30.328703,2003-01-16,107
2004,27.797155,2004-01-04,95
2005,15.117877,2004-12-14,74
2006,21.234674,2005-12-08,68
2007,17.307362,2006-12-06,66
2008,22.304691,2007-11-24,54
2009,25.371832,2008-12-01,61
2010,26.34754,2009-11-28,58
2011,23.83893,2010-11-23,53
2012,17.550966,2012-09-30,365
2013,19.072458,2012-10-16,15
2014,14.271815,2014-01-22,113
2015,23.323338,2015-02-26,148
2016,19.539637,2016-02-14,136
2017,26.650066,2017-02-16,138
2018,21.097586,2018-02-20,142
2019,23.30327,2019-02-07,129
2020,13.45169,2020-01-06,97
2021,25.604733,2021-01-14,105
2022,22.986425,2022-01-21,112
2023,34.230934,2023-01-21,112
2024,19.025854,2024-01-12,103
2025,22.496742,2024-12-19,79
2026,17.404785,2025-12-23,83
2027,8.59003,2026-11-17,47
2028,17.750887,2027-12-12,72
2029,20.4803,2028-12-16,76
2030,12.197417,2029-12-14,74
2031,17.01938,2031-09-29,363
2032,20.516201,2031-11-01,31
2033,26.058258,2033-09-30,364
2034,29.70638,2033-11-11,41
2035,20.964346,2035-09-30,364
2036,25.617374,2035-11-13,43
2037,25.218939,2037-09-29,363
2038,27.451292,2037-10-29,28
2039,26.508465,2039-09-30,364
2040,26.58251,2039-10-05,4
2041,17.961432,2040-10-05,4
2042,17.513115,2042-09-23,357
2043,20.68612,2043-09-17,351
2044,18.014292,2043-10-09,8
2045,14.764136,2045-08-28,331
2046,24.056252,2046-08-19,322
2047,28.011044,2047-08-16,319
2048,29.84378,2048-08-27,331
2049,14.780806,2048-10-01,0
2050,22.738825,2050-08-15,318
2051,14.330902,2051-07-13,285
2052,15.046466,2052-07-15,288
2053,20.063343,2053-07-27,299
2054,22.016129,2054-07-26,298
2055,15.442894,2055-06-25,267
2056,8.366539,2056-06-19,262
2057,19.14255,2057-07-04,276
2058,17.603933,2058-06-20,262
2059,13.189666,2059-06-19,261
2060,14.621077,2060-06-11,254
2061,10.457881,2061-06-04,246
2062,20.270582,2062-05-26,237
2063,15.602636,2063-05-21,232
2064,13.188842,2064-05-16,228
2065,13.719757,2065-04-28,209
2066,23.243263,2066-05-11,222
2067,17.470045,2067-05-09,220
2068,18.863703,2068-04-18,200
2069,11.256262,2069-05-16,227
2070,12.342821,2070-03-21,171
2071,18.834726,2071-04-17,198
2072,27.416964,2072-03-27,178
2073,17.42535,2073-03-28,178
2074,21.695566,2074-04-10,191
2075,13.829921,2075-03-09,159
2076,13.672692,2076-03-06,157
2077,19.175737,2077-02-28,150
2078,15.920068,2078-03-08,158
2079,17.322996,2079-02-21,143
2080,14.52454,2080-02-21,143
2081,17.629868,2081-01-30,121
2082,11.558305,2082-02-07,129
2083,10.458333,2083-02-10,132
2084,14.813872,2084-01-05,96
2085,15.513214,2085-01-07,98
2086,11.841066,2086-01-25,116
2087,21.615389,2087-01-16,107
2088,17.010063,2088-01-10,101
2089,15.355908,2088-12-20,80
2090,14.148846,2090-01-02,93
2091,18.337917,2090-12-19,79
2092,13.789555,2092-09-30,365
2093,21.629433,2092-12-13,73
2094,8.940145,2093-11-25,55
2095,16.61453,2094-11-28,58
2096,9.709585,2095-10-25,24
2097,8.211692,2097-09-30,364
