,maxval,maxdate,maxarg
1981,3.9249766,1981-03-04,154
1982,5.472883,1982-01-08,99
1983,1.6331781,1983-01-22,113
1984,0.8492592,1984-01-27,118
1985,5.8699503,1985-02-04,126
1986,3.087971,1986-01-02,93
1987,2.8498237,1987-01-31,122
1988,1.0577215,1987-12-15,75
1989,1.5051051,1988-12-23,83
1990,4.6609263,1989-12-31,91
1991,1.8927459,1990-10-19,18
1992,1.4889885,1992-01-22,113
1993,5.2391224,1992-12-16,76
1994,3.9750247,1994-09-30,364
1995,6.8922725,1994-11-27,57
1996,2.0704718,1995-10-29,28
1997,2.7543154,1997-09-30,364
1998,4.906812,1997-11-17,47
1999,4.587701,1998-11-09,39
2000,1.5977199,1999-11-16,46
2001,2.8266652,2001-09-29,363
2002,4.00605,2001-10-07,6
2003,1.8949814,2003-01-01,92
2004,3.7940495,2004-09-22,357
2005,3.9321272,2005-09-18,352
2006,4.469626,2006-09-30,364
2007,4.4581175,2006-10-01,0
2008,4.226249,2008-08-26,330
2009,1.1431726,2009-08-14,317
2010,3.8715005,2010-07-29,301
2011,1.3253686,2010-11-21,51
2012,3.0533738,2012-09-10,345
2013,0.96234447,2013-07-06,278
2014,4.9621034,2013-12-10,70
2015,1.9202961,2014-10-20,19
2016,4.6130824,2015-12-03,63
2017,1.357233,2016-11-24,54
2018,2.0931818,2017-11-04,34
2019,1.8336186,2018-10-22,21
2020,1.179119,2019-12-24,84
2021,2.5400956,2020-10-10,9
2022,1.1189159,2022-09-14,348
2023,2.779143,2023-09-02,336
2024,4.5857906,2024-09-12,347
2025,1.5455912,2024-10-01,0
2026,1.1586899,2025-10-01,0
2027,2.360045,2027-09-16,350
2028,2.265883,2027-10-01,0
2029,0.84431994,2028-10-19,18
2030,3.358841,2030-09-18,352
2031,2.519237,2031-09-17,351
2032,1.023767,2032-09-13,348
2033,1.7901573,2033-08-05,308
2034,1.4368324,2034-07-21,293
2035,3.4585226,2035-09-23,357
2036,0.85394984,2035-10-01,0
2037,1.5743994,2037-09-15,349
2038,0.9359082,2038-06-11,253
2039,1.2366261,2039-05-14,225
2040,1.9388651,2040-08-06,310
2041,1.7501116,2041-05-17,228
2042,0.65332097,2042-05-31,242
2043,0.6033548,2043-08-24,327
2044,2.543663,2044-06-02,245
2045,1.3723192,2045-07-20,292
2046,2.8753927,2046-06-09,251
2047,2.0607898,2047-05-17,228
2048,2.424019,2048-06-02,245
2049,1.6377964,2049-05-09,220
2050,0.63432026,2050-03-27,177
2051,2.6127634,2051-05-10,221
2052,1.0407646,2052-03-23,174
2053,3.0960627,2053-04-17,198
2054,2.1788347,2054-04-08,189
2055,3.1405826,2055-03-13,163
2056,1.3561987,2056-04-25,207
2057,3.9620364,2057-05-17,228
2058,0.71955055,2058-03-28,178
2059,1.2175475,2059-06-12,254
2060,0.81056076,2060-04-06,188
2061,1.7883008,2061-02-28,150
2062,1.6493256,2062-02-01,123
2063,0.9942267,2063-02-11,133
2064,1.4432538,2064-01-31,122
2065,1.2953951,2065-03-11,161
2066,1.4593655,2066-01-09,100
2067,0.5010001,2067-01-11,102
2068,1.8990072,2068-01-18,109
2069,1.025637,2069-01-19,110
2070,0.89586,2070-02-07,129
2071,2.101821,2071-01-10,101
2072,1.6341269,2072-02-20,142
2073,1.2411815,2073-03-09,159
2074,1.5344042,2074-01-06,97
2075,1.092725,2075-03-08,158
2076,0.34821945,2075-12-26,86
2077,1.0537012,2076-12-11,71
2078,1.5122392,2077-11-24,54
2079,0.6507211,2078-12-08,68
2080,0.7359669,2079-12-27,87
2081,0.7519705,2080-10-15,14
2082,0.6023962,2081-12-01,61
2083,1.7552975,2082-11-18,48
2084,0.5726899,2083-12-29,89
2085,0.9688181,2084-12-23,83
2086,0.9427457,2085-10-30,29
2087,0.44826928,2086-11-23,53
2088,0.28998876,2087-11-26,56
2089,0.41381028,2088-11-30,60
2090,0.29003257,2089-10-25,24
2091,0.886225,2091-09-01,335
2092,0.33022276,2091-11-24,54
2093,0.33746645,2092-10-12,11
2094,0.3410472,2094-09-04,338
2095,1.6157123,2094-10-19,18
2096,0.3032872,2095-10-07,6
2097,0.6127607,2097-08-17,320
