,maxval,maxdate,maxarg
1981,23.75579,1981-05-05,216
1982,47.658947,1982-04-29,210
1983,24.517195,1983-04-25,206
1984,18.427942,1984-05-02,214
1985,28.210333,1985-04-10,191
1986,20.340425,1986-04-09,190
1987,30.839827,1987-04-08,189
1988,22.68725,1988-03-21,172
1989,14.542948,1989-02-26,148
1990,26.962296,1990-03-10,160
1991,25.007008,1991-03-19,169
1992,23.197777,1992-03-12,163
1993,21.83838,1993-03-01,151
1994,16.029572,1994-02-14,136
1995,33.079597,1995-02-10,132
1996,28.23827,1996-01-31,122
1997,17.335518,1997-02-08,130
1998,27.218416,1998-01-25,116
1999,27.004318,1999-01-15,106
2000,16.967203,2000-01-05,96
2001,14.783215,2001-01-06,97
2002,27.530943,2002-01-09,100
2003,32.728096,2003-01-17,108
2004,31.610167,2004-01-05,96
2005,17.320147,2004-12-14,74
2006,21.725346,2005-12-08,68
2007,18.436533,2006-12-06,66
2008,24.285872,2007-11-24,54
2009,28.123856,2008-12-04,64
2010,28.368336,2009-11-28,58
2011,26.88459,2010-11-23,53
2012,18.500349,2012-09-30,365
2013,20.20855,2012-10-16,15
2014,13.691829,2014-01-22,113
2015,23.309578,2015-02-25,147
2016,21.232214,2016-02-15,137
2017,27.681591,2017-02-15,137
2018,23.4898,2018-02-20,142
2019,26.797043,2019-02-07,129
2020,14.642788,2020-01-02,93
2021,28.517773,2021-01-14,105
2022,24.40731,2022-01-21,112
2023,38.5277,2023-01-21,112
2024,20.362074,2024-01-12,103
2025,25.363958,2024-12-20,80
2026,18.614534,2025-12-23,83
2027,9.285127,2026-11-18,48
2028,20.299498,2027-12-12,72
2029,21.807178,2028-12-16,76
2030,12.4848585,2029-12-14,74
2031,19.791655,2031-09-29,363
2032,23.748522,2031-11-01,31
2033,28.845263,2033-09-30,364
2034,32.652325,2033-11-12,42
2035,22.054924,2035-09-30,364
2036,27.322645,2035-11-13,43
2037,29.2521,2037-09-29,363
2038,31.251806,2037-10-29,28
2039,27.825457,2039-09-30,364
2040,27.866072,2039-10-04,3
2041,18.985157,2040-10-05,4
2042,18.576334,2042-09-23,357
2043,22.893953,2043-09-17,351
2044,20.33687,2043-10-09,8
2045,16.58964,2045-08-28,331
2046,25.590517,2046-08-18,321
2047,31.01186,2047-08-09,312
2048,32.29002,2048-08-26,330
2049,17.099787,2048-10-01,0
2050,24.141577,2050-08-15,318
2051,15.018029,2051-07-13,285
2052,16.349491,2052-07-16,289
2053,21.398731,2053-07-27,299
2054,22.839354,2054-07-25,297
2055,16.286613,2055-06-25,267
2056,10.166458,2056-06-28,271
2057,21.722866,2057-07-04,276
2058,17.659088,2058-06-20,262
2059,13.91597,2059-06-19,261
2060,15.941241,2060-06-11,254
2061,9.148475,2061-06-03,245
2062,21.335848,2062-05-25,236
2063,17.08864,2063-05-22,233
2064,13.836015,2064-05-16,228
2065,15.20904,2065-04-08,189
2066,25.418085,2066-05-11,222
2067,19.232529,2067-05-09,220
2068,20.312637,2068-04-16,198
2069,11.053582,2069-05-16,227
2070,13.512523,2070-03-21,171
2071,21.671196,2071-04-17,198
2072,31.727995,2072-04-12,194
2073,17.151525,2073-04-06,187
2074,23.124575,2074-04-04,185
2075,15.186162,2075-03-09,159
2076,16.027565,2076-03-06,157
2077,20.130941,2077-02-28,150
2078,17.864141,2078-03-22,172
2079,19.640015,2079-01-30,121
2080,15.660419,2080-02-21,143
2081,18.622732,2081-02-01,123
2082,12.139112,2082-02-10,132
2083,10.654788,2083-02-09,131
2084,16.611044,2084-01-05,96
2085,16.948944,2085-01-07,98
2086,13.66848,2086-02-06,128
2087,23.50062,2087-01-16,107
2088,18.17737,2088-01-10,101
2089,15.050589,2088-12-19,79
2090,16.63813,2090-01-02,93
2091,18.514473,2090-12-19,79
2092,12.651853,2092-09-30,365
2093,22.096546,2092-12-13,73
2094,9.0407,2093-11-25,55
2095,17.135141,2094-11-28,58
2096,10.156676,2095-10-24,23
2097,8.664057,2097-09-30,364
