,maxval,maxdate,maxarg
1981,5.275994,1981-03-23,173
1982,2.0091188,1982-02-21,143
1983,2.49232,1983-02-25,147
1984,5.4218135,1984-03-20,171
1985,2.3382666,1985-02-02,124
1986,7.489783,1986-03-31,181
1987,5.3383527,1987-02-23,145
1988,2.0373387,1988-01-19,110
1989,5.4819474,1989-02-22,144
1990,5.641543,1990-02-26,148
1991,5.587822,1991-02-17,139
1992,2.7495208,1992-01-23,114
1993,3.7669659,1993-01-27,118
1994,5.0591884,1994-09-29,363
1995,7.5762725,1995-01-24,115
1996,2.3593717,1996-02-19,141
1997,2.9171832,1996-12-24,84
1998,5.9452167,1998-01-02,93
1999,5.5379763,1998-12-23,83
2000,1.8148711,1999-11-24,54
2001,2.747714,2000-12-24,84
2002,8.116306,2001-12-28,88
2003,4.762414,2002-12-09,69
2004,4.5831003,2004-01-04,95
2005,1.8690212,2005-09-18,352
2006,3.7854745,2005-11-03,33
2007,2.3171315,2007-09-21,355
2008,2.5451686,2007-10-25,24
2009,5.8895693,2009-09-28,362
2010,6.2885447,2009-10-19,18
2011,5.868001,2010-11-10,40
2012,1.1537803,2012-09-30,365
2013,3.6428854,2013-07-09,281
2014,4.574757,2014-01-21,112
2015,3.1387265,2015-01-29,120
2016,4.548807,2016-02-09,131
2017,2.3671088,2016-12-07,67
2018,1.4744352,2018-09-29,363
2019,8.345041,2019-02-02,124
2020,1.1594131,2020-09-24,359
2021,2.8208816,2020-11-23,53
2022,5.4453993,2021-12-28,88
2023,4.3720717,2022-12-31,91
2024,4.0488777,2023-12-21,81
2025,1.2902145,2025-09-29,363
2026,1.8592552,2025-10-23,22
2027,1.8251513,2026-11-06,36
2028,1.570473,2027-11-13,43
2029,6.1246767,2028-11-15,45
2030,2.7700598,2029-11-02,32
2031,3.778616,2030-10-23,22
2032,3.5918684,2032-09-27,362
2033,5.754785,2033-09-30,364
2034,6.0667005,2033-10-16,15
2035,3.3861496,2035-09-30,364
2036,4.6387196,2035-10-10,9
2037,3.7303233,2037-09-22,356
2038,3.6826372,2038-09-30,364
2039,3.8570278,2038-10-01,0
2040,1.7504673,2040-08-24,328
2041,1.2332526,2041-05-17,228
2042,3.23646,2042-08-19,322
2043,3.7157478,2043-08-20,323
2044,2.2963364,2044-07-21,294
2045,6.550867,2045-08-14,317
2046,1.4677191,2046-07-09,281
2047,6.561328,2047-07-17,289
2048,2.943731,2048-07-19,292
2049,0.5182226,2049-05-30,241
2050,2.5261595,2050-06-24,266
2051,3.3208127,2051-06-20,262
2052,1.2766024,2052-06-17,260
2053,2.8373938,2053-06-18,260
2054,7.4806423,2054-07-08,280
2055,4.0590534,2055-06-14,256
2056,1.7852342,2056-04-07,189
2057,2.6749027,2057-05-17,228
2058,2.9062178,2058-06-08,250
2059,1.209349,2059-06-18,260
2060,1.762533,2060-05-18,230
2061,0.7698729,2061-04-04,185
2062,0.9215092,2062-03-25,175
2063,3.4629455,2063-04-22,203
2064,0.8618757,2064-04-08,190
2065,2.449344,2065-03-16,166
2066,1.5139638,2066-04-24,205
2067,1.247923,2067-01-04,95
2068,2.6965044,2068-02-26,148
2069,3.4797654,2069-05-05,216
2070,1.98874,2070-03-05,155
2071,2.7234235,2071-02-27,149
2072,2.2718666,2072-03-11,162
2073,0.9835093,2073-04-06,187
2074,4.504032,2074-03-11,161
2075,2.3204782,2075-02-06,128
2076,0.3875039,2075-11-24,54
2077,1.6024786,2076-12-19,79
2078,2.4406176,2078-02-28,150
2079,2.4043884,2079-01-12,103
2080,1.4782945,2080-08-13,317
2081,0.8859489,2081-01-02,93
2082,3.6161008,2082-01-05,96
2083,1.2106209,2083-02-09,131
2084,1.102017,2083-11-20,50
2085,1.0333267,2084-12-23,83
2086,0.62285024,2085-10-31,30
2087,0.5169977,2087-01-27,118
2088,3.3912733,2087-12-20,80
2089,2.5674124,2088-12-08,68
2090,0.9411316,2090-01-10,101
2091,2.288727,2090-11-19,49
2092,1.8966068,2092-09-21,356
2093,1.8117719,2092-10-13,12
2094,2.0872502,2093-11-13,43
2095,2.461311,2094-10-25,24
2096,0.94401383,2096-09-04,339
2097,3.5620987,2096-10-29,28
