,maxval,maxdate,maxarg
1981,23.795465,1981-03-25,175
1982,18.846962,1982-03-06,156
1983,15.147337,1983-03-23,173
1984,10.174295,1984-02-01,123
1985,22.660553,1985-03-08,158
1986,10.704739,1986-02-01,123
1987,24.811836,1987-03-09,159
1988,19.74066,1988-02-23,145
1989,11.636613,1989-02-08,130
1990,19.728275,1990-01-24,115
1991,21.201742,1991-01-02,93
1992,9.156704,1992-01-05,96
1993,11.792391,1993-01-27,118
1994,12.39614,1994-01-08,99
1995,16.162848,1994-12-28,88
1996,12.856795,1996-01-19,110
1997,11.57647,1996-11-11,41
1998,17.74439,1997-12-09,69
1999,20.236824,1998-11-20,50
2000,8.770839,2000-09-24,359
2001,13.009177,2000-12-16,76
2002,13.266408,2002-09-30,364
2003,19.684618,2002-11-25,55
2004,11.899897,2004-09-22,357
2005,16.099533,2004-12-02,62
2006,8.4725065,2005-10-03,2
2007,10.8882475,2006-11-07,37
2008,12.22076,2008-09-29,364
2009,11.297462,2008-10-01,0
2010,12.419271,2010-09-24,358
2011,17.683043,2011-09-30,364
2012,19.34151,2011-10-03,2
2013,11.003451,2012-10-12,11
2014,7.3690815,2013-12-30,90
2015,12.518439,2014-12-18,78
2016,11.233891,2016-01-07,98
2017,10.986543,2017-01-20,111
2018,11.31811,2017-11-04,34
2019,9.173853,2018-11-06,36
2020,11.898812,2019-11-25,55
2021,16.27655,2020-11-25,55
2022,11.789209,2021-12-18,78
2023,20.549633,2023-01-11,102
2024,5.747303,2024-09-14,349
2025,7.190603,2024-10-16,15
2026,11.629172,2025-12-05,65
2027,7.5274353,2027-09-30,364
2028,10.716655,2027-11-02,32
2029,4.466923,2028-10-02,1
2030,9.431812,2030-09-30,364
2031,15.832408,2030-11-10,40
2032,6.1021633,2031-10-27,26
2033,18.437622,2033-09-25,359
2034,17.825134,2033-10-02,1
2035,14.1285,2034-10-24,23
2036,9.062724,2035-10-01,0
2037,10.361707,2037-08-17,320
2038,5.66884,2038-08-03,306
2039,6.7334094,2039-08-12,315
2040,10.987501,2040-09-10,345
2041,8.379126,2041-07-03,275
2042,3.2716684,2042-07-14,286
2043,7.0763993,2043-08-04,307
2044,5.715224,2044-06-30,273
2045,5.4295597,2045-07-26,298
2046,7.311089,2046-07-09,281
2047,11.127273,2047-07-26,298
2048,7.480809,2048-06-22,265
2049,3.712744,2049-06-28,270
2050,2.7801914,2050-06-30,272
2051,9.2679,2051-06-25,267
2052,1.8536049,2052-06-08,251
2053,7.74128,2053-06-10,252
2054,3.706571,2054-05-04,215
2055,10.1495285,2055-06-28,270
2056,3.600803,2056-04-28,210
2057,11.75461,2057-05-25,236
2058,2.9349413,2058-04-01,182
2059,2.2371445,2059-05-01,212
2060,2.86607,2060-03-20,171
2061,7.7628255,2061-03-14,164
2062,10.147105,2062-04-17,198
2063,2.1222992,2063-02-16,138
2064,2.450638,2064-02-12,134
2065,5.767471,2065-03-14,164
2066,8.027042,2066-03-12,162
2067,1.5430784,2067-02-26,148
2068,2.4839706,2068-02-15,137
2069,2.4863253,2069-01-18,109
2070,7.580308,2070-03-06,156
2071,2.6803117,2071-03-29,179
2072,5.6878986,2072-02-26,148
2073,3.2146983,2072-12-11,71
2074,1.1957799,2074-02-17,139
2075,7.194697,2075-02-09,131
2076,9.514165,2076-02-02,124
2077,0.9442288,2076-12-14,74
2078,2.2382739,2077-12-06,66
2079,3.2664013,2078-12-20,80
2080,4.702994,2080-01-20,111
2081,3.2327833,2080-12-03,63
2082,1.1997023,2081-11-25,55
2083,2.3168845,2082-12-08,68
2084,2.9318686,2083-12-17,77
2085,4.640378,2084-11-28,58
2086,2.085523,2085-10-17,16
2087,0.87797546,2086-10-05,4
2088,0.58431196,2088-09-17,352
2089,0.43469366,2088-10-28,27
2090,2.3649254,2089-10-28,27
2091,0.6463798,2090-10-08,7
2092,2.3588655,2092-09-26,361
2093,0.6603477,2093-08-28,331
2094,0.89729744,2094-09-30,364
2095,2.0903428,2095-08-18,321
2096,1.8924198,2095-11-17,47
2097,2.4692242,2097-08-31,334
