,maxval,maxdate,maxarg
1981,11.812121,1981-03-25,175
1982,14.7660265,1982-02-21,143
1983,8.31894,1983-01-26,117
1984,6.492869,1984-02-01,123
1985,14.352104,1985-03-08,158
1986,10.47348,1986-02-06,128
1987,11.4360695,1987-03-11,161
1988,11.0975275,1988-02-23,145
1989,8.7297535,1989-01-06,97
1990,13.385143,1990-01-18,109
1991,9.902864,1990-12-31,91
1992,7.709938,1992-01-21,112
1993,11.115627,1993-02-02,124
1994,13.0643635,1993-12-09,69
1995,13.186415,1995-01-02,93
1996,8.934161,1996-01-20,111
1997,8.579896,1996-11-17,47
1998,15.112302,1997-12-04,64
1999,8.327975,1998-11-08,38
2000,6.33428,2000-09-22,357
2001,8.516486,2000-12-04,64
2002,11.146119,2002-09-30,364
2003,14.442409,2002-10-26,25
2004,9.893042,2003-11-04,34
2005,10.970801,2005-09-30,364
2006,11.729113,2005-11-17,47
2007,13.33483,2006-10-12,11
2008,9.919141,2008-09-30,365
2009,9.917077,2008-10-01,0
2010,11.031078,2010-09-08,342
2011,12.3341875,2011-09-30,364
2012,12.306334,2011-10-01,0
2013,5.279681,2012-10-12,11
2014,9.08972,2014-01-09,100
2015,8.498195,2014-11-30,60
2016,7.785643,2015-12-02,62
2017,5.5777783,2016-12-04,64
2018,10.362019,2017-11-04,34
2019,12.579396,2018-11-04,34
2020,6.1003966,2019-11-12,42
2021,8.819048,2020-11-06,36
2022,6.2206316,2022-09-19,353
2023,14.254374,2022-11-27,57
2024,7.8106856,2024-09-15,350
2025,7.6942973,2024-10-15,14
2026,6.6808605,2025-10-02,1
2027,9.052964,2027-09-30,364
2028,9.363329,2027-10-29,28
2029,2.735311,2029-09-27,361
2030,8.494379,2030-09-19,353
2031,9.735755,2030-11-01,31
2032,10.5945425,2031-10-27,26
2033,8.20538,2033-09-23,357
2034,13.738196,2034-09-19,353
2035,14.917617,2034-10-10,9
2036,7.502702,2036-08-22,326
2037,5.6200194,2037-08-03,306
2038,2.9746027,2038-06-28,270
2039,3.66734,2039-09-24,358
2040,4.1459465,2040-05-18,230
2041,3.6558278,2041-06-29,271
2042,2.8257868,2042-06-02,244
2043,3.0639684,2043-05-31,242
2044,5.825302,2044-05-30,242
2045,1.2073064,2045-08-17,320
2046,10.308042,2046-07-12,284
2047,6.125965,2047-07-22,294
2048,3.9212294,2048-06-20,263
2049,4.4870844,2049-05-08,219
2050,2.7083764,2050-06-25,267
2051,13.839163,2051-06-24,266
2052,2.0399072,2052-03-25,176
2053,7.7571363,2053-06-09,251
2054,4.10142,2054-04-08,189
2055,5.6966786,2055-06-01,243
2056,3.5028782,2056-04-27,209
2057,7.411227,2057-05-22,233
2058,2.6073768,2058-05-07,218
2059,3.700733,2059-05-01,212
2060,1.7665313,2060-03-06,157
2061,6.2176585,2061-03-11,161
2062,3.913262,2062-03-04,154
2063,2.7284384,2063-02-12,134
2064,1.8378253,2064-03-19,170
2065,6.5247145,2065-03-14,164
2066,5.070708,2066-02-23,145
2067,2.1694942,2067-04-10,191
2068,1.2179513,2068-01-18,109
2069,2.731668,2069-01-18,109
2070,3.748685,2070-03-05,155
2071,2.1258414,2071-02-03,125
2072,7.142349,2072-02-25,147
2073,3.9436526,2073-01-24,115
2074,2.980661,2074-01-05,96
2075,4.8852525,2075-02-07,129
2076,2.889222,2076-01-17,108
2077,1.163673,2077-02-22,144
2078,2.191462,2077-11-26,56
2079,2.017506,2078-12-03,63
2080,3.8296783,2080-01-20,111
2081,2.576813,2080-11-29,59
2082,1.0027529,2081-11-16,46
2083,1.499249,2082-12-08,68
2084,3.6078134,2083-10-07,6
2085,3.2995749,2084-11-24,54
2086,2.8527994,2085-10-31,30
2087,1.2560066,2086-10-29,28
2088,1.0453444,2087-11-20,50
2089,0.73063767,2088-10-23,22
2090,2.0937715,2090-09-06,340
2091,0.42754963,2090-10-01,0
2092,1.4710728,2092-09-25,360
2093,1.2315602,2092-11-01,31
2094,1.3684312,2094-09-30,364
2095,1.6278597,2095-07-12,284
2096,0.8467555,2095-11-12,42
2097,3.1792681,2097-08-30,333
