,maxval,maxdate,maxarg
1981,16.51834,1981-03-24,174
1982,12.425496,1982-03-06,156
1983,10.799902,1983-01-25,116
1984,10.490871,1984-02-03,125
1985,17.683178,1985-03-06,156
1986,10.920724,1986-02-06,128
1987,13.701811,1987-03-27,177
1988,13.551654,1988-02-23,145
1989,8.214885,1989-02-03,125
1990,10.003703,1990-02-19,141
1991,7.5273247,1990-12-23,83
1992,9.949764,1992-01-21,112
1993,17.301758,1993-01-28,119
1994,15.624474,1993-12-14,74
1995,14.860499,1995-01-04,95
1996,14.153684,1996-01-22,113
1997,7.0444627,1997-09-30,364
1998,15.65309,1997-12-04,64
1999,8.093314,1998-11-09,39
2000,5.469561,2000-09-24,359
2001,9.124336,2000-12-10,70
2002,10.386934,2002-09-30,364
2003,16.205223,2002-12-09,69
2004,15.017473,2004-09-22,357
2005,19.395964,2004-12-03,63
2006,17.281254,2005-11-18,48
2007,17.723295,2006-10-14,13
2008,10.616438,2007-10-25,24
2009,9.870773,2009-09-28,362
2010,11.516373,2010-09-10,344
2011,19.929201,2011-09-29,363
2012,19.852,2011-10-01,0
2013,9.793039,2012-10-11,10
2014,7.2912803,2013-12-10,70
2015,6.9987535,2014-11-30,60
2016,9.816775,2015-12-15,75
2017,14.432665,2017-01-19,110
2018,13.240782,2018-02-01,123
2019,8.511512,2018-11-03,33
2020,9.404038,2019-11-13,43
2021,13.109646,2020-12-06,66
2022,7.6438375,2022-01-10,101
2023,13.98335,2022-11-27,57
2024,10.966646,2024-09-18,353
2025,12.473086,2024-11-23,53
2026,8.426,2025-12-02,62
2027,11.887101,2027-09-30,364
2028,13.894848,2027-11-27,57
2029,3.66247,2029-09-27,361
2030,8.750894,2030-09-20,354
2031,11.364911,2030-11-09,39
2032,9.1607275,2031-10-28,27
2033,10.56155,2033-09-23,357
2034,13.95099,2034-09-16,350
2035,14.476233,2034-10-28,27
2036,12.2258005,2035-10-01,0
2037,5.8183875,2037-08-02,305
2038,2.908777,2038-06-25,267
2039,7.142512,2039-09-24,358
2040,9.782924,2040-09-17,352
2041,5.548961,2041-07-02,274
2042,4.3629713,2042-06-12,254
2043,3.651782,2043-08-03,306
2044,8.261806,2044-06-02,245
2045,4.7755356,2045-08-17,320
2046,10.92418,2046-07-08,280
2047,5.102093,2047-07-26,298
2048,2.3411176,2048-06-02,245
2049,2.6845157,2049-05-09,220
2050,1.9599434,2050-04-07,188
2051,14.480831,2051-06-23,265
2052,3.2344253,2052-04-30,212
2053,10.565542,2053-06-07,249
2054,3.684251,2054-06-29,271
2055,5.4954987,2055-06-02,244
2056,3.5128794,2056-04-27,209
2057,7.8329906,2057-05-22,233
2058,1.9474336,2058-03-03,153
2059,3.1061199,2059-05-01,212
2060,1.8150609,2060-03-05,156
2061,5.0074983,2061-03-12,162
2062,6.00994,2062-04-01,182
2063,5.102967,2063-04-01,182
2064,3.3899713,2064-03-22,173
2065,8.452161,2065-03-16,166
2066,4.849008,2066-02-22,144
2067,3.368878,2067-04-10,191
2068,2.0556834,2068-01-28,119
2069,1.4221907,2069-01-19,110
2070,5.158944,2070-03-05,155
2071,3.2028618,2071-03-30,180
2072,4.1018806,2072-02-22,144
2073,2.4017262,2073-03-14,164
2074,1.396783,2074-01-05,96
2075,6.077306,2075-02-07,129
2076,3.3907635,2076-01-10,101
2077,2.6554365,2077-02-22,144
2078,2.4255145,2077-12-07,67
2079,2.829544,2078-11-29,59
2080,3.0931072,2080-01-20,111
2081,2.5349047,2081-01-24,115
2082,1.3318594,2081-11-30,60
2083,1.5786941,2082-11-17,47
2084,2.3563967,2083-12-15,75
2085,2.3993855,2084-12-30,90
2086,1.8627539,2085-10-31,30
2087,1.4331698,2086-10-28,27
2088,1.4036231,2087-10-23,22
2089,1.7526538,2088-12-01,61
2090,0.8809638,2089-12-22,82
2091,0.9212566,2091-09-01,335
2092,1.2418604,2091-11-25,55
2093,1.4849409,2092-11-01,31
2094,0.7712333,2094-09-30,364
2095,1.357666,2095-08-14,317
2096,1.8595437,2095-11-18,48
2097,3.1360617,2097-08-30,333
