,maxval,maxdate,maxarg
1981,13.88226,1981-03-25,175
1982,13.054181,1982-02-21,143
1983,7.260141,1983-01-29,120
1984,1.2333033,1983-12-12,72
1985,12.8378315,1985-03-06,156
1986,2.669294,1986-02-07,129
1987,11.993385,1987-02-06,128
1988,7.1018333,1988-01-28,119
1989,1.5797336,1988-12-25,85
1990,14.511896,1990-01-19,110
1991,8.393182,1990-12-12,72
1992,4.4939256,1992-01-04,95
1993,6.4150987,1992-12-16,76
1994,8.2184,1993-12-12,72
1995,11.537275,1994-12-13,73
1996,4.281372,1995-12-09,69
1997,7.1148705,1997-09-30,364
1998,11.427192,1997-12-04,64
1999,8.0170965,1998-11-08,38
2000,1.989314,1999-11-16,46
2001,2.404819,2001-09-30,364
2002,5.4018335,2002-09-30,364
2003,7.4915175,2002-11-11,41
2004,7.9594073,2004-09-28,363
2005,9.643595,2005-09-30,364
2006,10.830226,2005-10-04,3
2007,8.727733,2006-10-24,23
2008,8.153053,2008-09-27,362
2009,6.669136,2008-10-01,0
2010,10.1499605,2010-09-10,344
2011,13.747054,2011-09-25,359
2012,13.52839,2011-10-01,0
2013,1.1758101,2013-07-06,278
2014,9.266259,2014-01-06,97
2015,6.622982,2014-11-29,59
2016,6.7180595,2015-12-15,75
2017,10.973856,2016-12-01,61
2018,7.3033423,2017-11-28,58
2019,6.436564,2018-11-04,34
2020,5.859692,2019-11-02,32
2021,10.865616,2020-11-20,50
2022,4.9578285,2022-09-30,364
2023,10.5712805,2022-11-28,58
2024,8.235972,2024-09-30,365
2025,9.6220255,2024-10-12,11
2026,7.6476035,2025-10-02,1
2027,4.5254087,2027-09-30,364
2028,4.634753,2027-10-07,6
2029,0.9565681,2028-10-02,1
2030,4.4030733,2030-09-12,346
2031,4.1268673,2031-09-29,363
2032,3.9696999,2031-10-01,0
2033,6.9238334,2033-09-02,336
2034,9.390098,2034-09-11,345
2035,9.613439,2034-10-09,8
2036,2.2481112,2036-07-10,283
2037,7.953386,2037-08-16,319
2038,1.7649817,2038-06-30,272
2039,2.41125,2039-05-20,231
2040,5.7156067,2040-08-09,313
2041,2.4699085,2041-05-23,234
2042,0.9135365,2042-07-10,282
2043,1.0633247,2043-05-11,222
2044,6.0538325,2044-06-24,267
2045,1.9804753,2045-07-21,293
2046,8.5110235,2046-07-05,277
2047,5.5608454,2047-07-25,297
2048,1.6112922,2048-06-09,252
2049,0.9872971,2049-05-08,219
2050,2.236104,2050-04-17,198
2051,7.376186,2051-06-17,259
2052,2.361369,2052-03-24,175
2053,2.300124,2053-04-25,206
2054,4.7135763,2054-05-04,215
2055,5.657443,2055-05-30,241
2056,1.3640013,2056-03-03,154
2057,6.4971113,2057-05-22,233
2058,1.0902492,2058-03-19,169
2059,1.2681488,2059-02-28,150
2060,1.7569542,2060-04-06,188
2061,6.4079995,2061-03-12,162
2062,9.991447,2062-03-31,181
2063,0.9015378,2063-02-13,135
2064,2.8573318,2064-02-02,124
2065,1.3852559,2065-03-11,161
2066,6.694355,2066-02-22,144
2067,1.0861046,2066-12-20,80
2068,0.51548743,2068-01-21,112
2069,0.75456613,2069-01-18,109
2070,3.9212518,2070-02-21,143
2071,1.4991907,2071-01-13,104
2072,4.3690853,2072-02-25,147
2073,1.9566498,2072-12-11,71
2074,4.226423,2074-01-21,112
2075,1.4856951,2074-11-03,33
2076,2.228838,2076-01-05,96
2077,1.6964202,2076-12-10,70
2078,1.6972228,2077-11-25,55
2079,3.617967,2078-12-20,80
2080,0.5503349,2079-12-04,64
2081,0.76447225,2080-10-16,15
2082,0.2674626,2081-11-30,60
2083,0.76334083,2082-12-19,79
2084,2.029607,2083-12-04,64
2085,2.5345602,2084-12-26,86
2086,2.0626752,2085-10-30,29
2087,0.6432692,2086-11-22,52
2088,0.62509155,2088-09-16,351
2089,0.7624294,2089-01-05,96
2090,0.34520414,2090-09-13,347
2091,0.5119392,2091-08-22,325
2092,0.827287,2091-11-25,55
2093,0.28012028,2092-11-01,31
2094,0.6219016,2094-09-04,338
2095,0.94456726,2095-08-14,317
2096,0.56425506,2095-10-18,17
2097,0.985982,2097-08-16,319
