,maxval,maxdate,maxarg
1981,8.385885,1981-03-24,174
1982,13.512977,1982-03-02,152
1983,7.480321,1983-01-26,117
1984,7.31384,1984-02-03,125
1985,9.901249,1985-03-25,175
1986,4.541748,1986-02-07,129
1987,5.9928803,1987-02-13,135
1988,9.583169,1988-01-27,118
1989,6.7562404,1989-01-07,98
1990,5.9213457,1990-01-22,113
1991,5.7247424,1990-12-27,87
1992,7.2408743,1992-01-21,112
1993,9.089877,1993-01-28,119
1994,11.502548,1993-12-14,74
1995,6.4045825,1995-01-04,95
1996,6.673062,1996-01-12,103
1997,5.123575,1996-11-18,48
1998,10.984984,1997-12-04,64
1999,4.782986,1998-11-19,49
2000,3.034542,2000-09-23,358
2001,5.2524605,2001-09-30,364
2002,7.7720895,2002-09-30,364
2003,10.316603,2002-11-30,60
2004,7.5717,2004-09-15,350
2005,9.839885,2004-10-25,24
2006,12.12245,2005-11-17,47
2007,10.1960125,2006-10-14,13
2008,7.886782,2007-10-25,24
2009,6.356257,2009-09-27,361
2010,6.6326604,2010-09-22,356
2011,10.092451,2011-09-30,364
2012,10.102573,2011-10-02,1
2013,3.3981044,2012-10-12,11
2014,5.0943623,2013-12-11,71
2015,6.012319,2014-12-18,78
2016,5.5473146,2016-01-07,98
2017,6.6577287,2016-12-05,65
2018,6.923516,2017-11-04,34
2019,6.025125,2018-11-03,33
2020,4.2613187,2020-09-30,365
2021,7.91819,2020-11-07,37
2022,3.8795614,2022-09-29,363
2023,8.213459,2022-11-28,58
2024,5.5226583,2024-09-15,350
2025,6.590591,2024-11-22,52
2026,4.03784,2025-12-01,61
2027,6.9889784,2027-09-30,364
2028,7.9435816,2027-11-28,58
2029,3.5887444,2029-09-28,362
2030,4.416217,2030-09-20,354
2031,4.801909,2030-11-09,39
2032,6.573155,2031-10-27,26
2033,6.708785,2033-09-24,358
2034,9.5774555,2034-09-29,363
2035,11.133415,2034-10-11,10
2036,7.9149346,2035-10-01,0
2037,4.8126817,2037-08-03,306
2038,4.8855395,2038-08-03,306
2039,3.541965,2039-09-24,358
2040,3.5589228,2040-08-31,335
2041,1.8608642,2041-06-29,271
2042,2.3922012,2042-07-12,284
2043,3.3224165,2043-08-03,306
2044,6.904218,2044-06-01,244
2045,0.9538705,2045-08-17,320
2046,7.2641826,2046-07-11,283
2047,5.8783774,2047-07-24,296
2048,2.3245928,2048-06-03,246
2049,5.6084404,2049-06-04,246
2050,1.9284006,2050-06-25,267
2051,11.9439335,2051-06-24,266
2052,2.0187273,2052-05-01,213
2053,8.835097,2053-06-10,252
2054,1.5781188,2054-06-23,265
2055,4.7775793,2055-06-02,244
2056,2.1757348,2056-04-27,209
2057,3.4296837,2057-05-17,228
2058,2.944789,2058-05-07,218
2059,3.527765,2059-05-01,212
2060,1.8916512,2060-04-10,192
2061,2.50624,2061-03-13,163
2062,3.215815,2062-04-01,182
2063,1.7712401,2063-02-13,135
2064,2.192307,2064-02-12,134
2065,5.4056892,2065-04-08,189
2066,4.522687,2066-02-23,145
2067,2.6762877,2067-04-11,192
2068,0.9266145,2068-01-18,109
2069,1.0223262,2069-01-19,110
2070,2.657955,2070-03-05,155
2071,2.5206804,2071-02-03,125
2072,4.331825,2072-02-25,147
2073,2.1077974,2073-02-23,145
2074,3.207544,2074-01-05,96
2075,3.677734,2075-02-07,129
2076,3.017949,2076-01-30,121
2077,0.9311577,2077-02-18,140
2078,1.2214942,2078-01-10,101
2079,2.3436635,2078-11-29,59
2080,3.6667838,2080-01-20,111
2081,2.9670463,2080-11-30,60
2082,0.74066144,2081-12-06,66
2083,1.3794138,2082-12-08,68
2084,1.427333,2083-12-16,76
2085,3.6423693,2084-12-30,90
2086,2.242599,2085-10-31,30
2087,1.0203558,2086-10-29,28
2088,0.81196344,2087-10-28,27
2089,0.725984,2088-10-28,27
2090,1.8255782,2090-09-27,361
2091,1.7999089,2090-10-01,0
2092,0.96974874,2091-11-26,56
2093,1.2176892,2092-11-01,31
2094,1.091612,2094-08-10,313
2095,1.3104278,2095-07-12,284
2096,1.4817606,2095-10-12,11
2097,2.5868661,2097-08-30,333
