,maxval,maxdate,maxarg
1981,12.815338,1981-03-26,176
1982,22.896097,1982-03-16,166
1983,10.625738,1983-02-18,140
1984,9.272324,1984-02-17,139
1985,16.297161,1985-03-15,165
1986,6.956933,1986-03-14,164
1987,12.4736805,1987-03-05,155
1988,7.2299867,1988-02-05,127
1989,7.7322226,1989-01-31,122
1990,13.647866,1990-02-26,148
1991,9.610955,1991-01-28,119
1992,9.930537,1992-01-22,113
1993,9.77219,1993-02-02,124
1994,11.217532,1993-12-21,81
1995,15.993764,1995-01-15,106
1996,9.735252,1995-12-31,91
1997,9.481713,1996-11-18,48
1998,13.485516,1997-12-30,90
1999,5.3017244,1998-11-19,49
2000,7.422425,1999-12-03,63
2001,7.505487,2000-12-17,77
2002,10.17198,2001-11-25,55
2003,14.981555,2002-12-09,69
2004,15.057887,2003-11-03,33
2005,12.878385,2004-12-08,68
2006,15.105173,2005-11-18,48
2007,11.245058,2006-10-26,25
2008,11.452484,2008-09-30,365
2009,11.933996,2008-10-23,22
2010,12.290521,2009-10-19,18
2011,15.628289,2011-09-27,361
2012,15.60699,2011-10-02,1
2013,15.723521,2012-10-17,16
2014,8.600081,2014-01-22,113
2015,13.258697,2015-01-27,118
2016,8.976361,2016-02-02,124
2017,20.789833,2017-01-22,113
2018,13.845445,2018-01-02,93
2019,11.965305,2018-12-15,75
2020,7.0365677,2020-09-30,365
2021,17.342827,2020-12-11,71
2022,9.872087,2021-12-30,90
2023,18.222227,2022-12-11,71
2024,9.41727,2024-09-30,365
2025,15.107029,2024-11-23,53
2026,6.096864,2026-09-30,364
2027,6.855617,2026-10-14,13
2028,9.141354,2028-09-30,365
2029,13.929809,2028-11-06,36
2030,6.561939,2029-10-08,7
2031,6.275652,2030-11-11,41
2032,10.3961315,2032-09-27,362
2033,14.274819,2033-09-30,364
2034,15.612631,2033-10-15,14
2035,14.53478,2035-09-29,363
2036,15.2627,2035-10-07,6
2037,13.96446,2037-08-28,331
2038,13.070771,2038-09-01,335
2039,18.849056,2039-09-24,358
2040,18.464497,2039-10-02,1
2041,14.190549,2041-08-15,318
2042,10.093717,2042-08-13,316
2043,8.200588,2043-08-27,330
2044,10.033773,2044-07-22,295
2045,3.3345737,2045-07-26,298
2046,14.984711,2046-08-08,311
2047,16.779465,2047-08-11,314
2048,12.671924,2048-08-06,310
2049,12.599861,2049-06-27,269
2050,12.389259,2050-07-08,280
2051,13.821363,2051-07-03,275
2052,11.584348,2052-07-11,284
2053,16.029774,2053-06-13,255
2054,9.8938,2054-07-05,277
2055,7.794202,2055-06-22,264
2056,5.9433165,2056-05-01,213
2057,8.245512,2057-06-07,249
2058,10.186665,2058-06-04,246
2059,10.86841,2059-05-08,219
2060,7.7140303,2060-05-17,229
2061,10.78954,2061-04-14,195
2062,17.011211,2062-05-03,214
2063,5.048371,2063-04-22,203
2064,11.778169,2064-04-19,201
2065,6.625975,2065-04-06,187
2066,11.854808,2066-03-25,175
2067,7.2107983,2067-04-13,194
2068,3.726356,2068-02-19,141
2069,2.9048772,2069-02-24,146
2070,7.253673,2070-03-22,172
2071,10.381304,2071-03-29,179
2072,9.559996,2072-03-25,176
2073,13.027523,2073-03-19,169
2074,6.6646724,2074-02-19,141
2075,10.806718,2075-02-10,132
2076,10.0669155,2076-02-05,127
2077,4.925784,2077-02-22,144
2078,6.7292304,2078-01-23,114
2079,8.620546,2079-01-26,117
2080,1.727211,2079-12-31,91
2081,10.801905,2081-01-25,116
2082,1.497146,2081-12-11,71
2083,4.284952,2082-12-28,88
2084,9.842406,2084-01-02,93
2085,12.978627,2085-01-02,93
2086,6.7954803,2085-12-02,62
2087,7.2294903,2086-12-11,71
2088,3.0063899,2087-11-05,35
2089,5.716495,2088-12-05,65
2090,2.7882566,2090-09-30,364
2091,4.6196346,2090-10-25,24
2092,6.095064,2091-10-22,21
2093,9.360187,2092-11-14,44
2094,4.151942,2094-09-30,364
2095,7.4225783,2094-10-22,21
2096,1.7727702,2095-10-19,18
2097,5.5129757,2097-09-30,364
