,maxval,maxdate,maxarg
1981,22.763287,1981-03-27,177
1982,22.363726,1982-03-09,159
1983,19.729649,1983-03-24,174
1984,20.426258,1984-03-22,173
1985,29.720877,1985-03-26,176
1986,19.071524,1986-03-14,164
1987,22.662022,1987-03-27,177
1988,18.44521,1988-02-23,145
1989,17.6775,1989-02-03,125
1990,18.640017,1990-02-19,141
1991,16.795403,1991-02-05,127
1992,17.299723,1992-01-21,112
1993,26.0172,1993-02-01,123
1994,26.526484,1994-01-07,98
1995,24.818188,1995-01-15,106
1996,21.937935,1996-01-23,114
1997,13.447011,1996-12-23,83
1998,23.903809,1997-12-31,91
1999,12.467133,1998-11-27,57
2000,8.712653,2000-09-25,360
2001,15.633861,2000-12-25,85
2002,17.947727,2002-09-30,364
2003,28.773802,2002-12-09,69
2004,25.234476,2003-12-11,71
2005,34.998672,2004-12-17,77
2006,33.443264,2005-11-18,48
2007,28.646225,2006-11-09,39
2008,19.491926,2007-10-30,29
2009,17.303741,2009-09-30,364
2010,18.538809,2009-11-07,37
2011,27.755772,2011-09-30,364
2012,27.7496,2011-10-01,0
2013,22.938816,2012-10-15,14
2014,18.182125,2014-01-16,107
2015,18.716005,2015-02-09,131
2016,18.215746,2016-01-31,122
2017,29.313984,2017-01-21,112
2018,33.404655,2018-02-02,124
2019,18.903088,2019-01-10,101
2020,19.422577,2019-11-26,56
2021,27.008232,2020-12-17,77
2022,21.61085,2022-01-10,101
2023,21.835487,2022-11-28,58
2024,16.61518,2024-09-30,365
2025,24.00014,2024-11-24,54
2026,14.396982,2025-12-02,62
2027,19.522547,2027-09-30,364
2028,23.449043,2027-12-11,71
2029,12.317759,2028-10-30,29
2030,15.229505,2030-09-30,364
2031,19.92792,2030-11-10,40
2032,19.163818,2031-11-02,32
2033,18.627045,2033-09-24,358
2034,25.915022,2034-09-30,364
2035,28.6245,2034-10-28,27
2036,25.153812,2035-10-08,7
2037,13.918757,2036-10-15,14
2038,11.932588,2038-08-21,324
2039,24.83113,2039-09-30,364
2040,25.12178,2039-10-07,6
2041,19.589516,2040-10-02,1
2042,11.900176,2041-10-07,6
2043,12.641051,2043-08-18,321
2044,19.200375,2044-07-22,295
2045,11.4995,2045-08-18,321
2046,20.9821,2046-07-12,284
2047,16.434828,2047-08-15,318
2048,7.3541927,2048-08-07,311
2049,12.0819235,2049-06-01,243
2050,10.144325,2050-07-23,295
2051,24.725344,2051-06-24,266
2052,12.321224,2052-07-12,285
2053,21.677382,2053-06-09,251
2054,11.099206,2054-07-01,273
2055,14.572391,2055-06-22,264
2056,9.44773,2056-05-21,233
2057,14.475046,2057-06-27,269
2058,9.357297,2058-05-18,229
2059,13.458118,2059-05-03,214
2060,4.783221,2060-05-17,229
2061,12.98817,2061-05-21,232
2062,15.789049,2062-04-06,187
2063,9.329832,2063-04-17,198
2064,14.960258,2064-04-23,205
2065,14.133082,2065-04-06,187
2066,12.65479,2066-03-13,163
2067,4.5029473,2067-04-15,196
2068,7.541173,2068-03-06,157
2069,7.9930816,2069-02-24,146
2070,12.083927,2070-03-29,179
2071,8.086382,2071-03-30,180
2072,11.269077,2072-03-24,175
2073,11.54507,2073-03-18,168
2074,4.5419226,2074-02-18,140
2075,15.97474,2075-02-11,133
2076,13.372216,2076-02-03,125
2077,6.583069,2077-02-22,144
2078,8.333103,2078-01-13,104
2079,8.297342,2079-01-23,114
2080,6.226055,2080-01-21,112
2081,5.063002,2081-01-25,116
2082,4.090855,2081-12-06,66
2083,6.007533,2082-11-30,60
2084,10.258035,2084-01-05,96
2085,7.9036756,2084-12-31,91
2086,6.104577,2085-11-06,36
2087,5.4384036,2086-12-17,77
2088,3.157965,2087-12-16,76
2089,2.713132,2088-10-27,26
2090,4.3016853,2090-09-27,361
2091,6.1054044,2091-09-30,364
2092,6.4024463,2091-10-18,17
2093,5.458418,2092-11-12,42
2094,3.9438238,2094-09-30,364
2095,5.1688247,2094-10-12,11
2096,8.235599,2095-11-23,53
2097,4.826034,2097-09-30,364
