,maxval,maxdate,maxarg
1981,28.081299,1981-03-25,175
1982,25.8194,1982-03-12,162
1983,23.198292,1983-03-24,174
1984,19.297052,1984-02-04,126
1985,32.78664,1985-03-26,176
1986,21.284294,1986-02-20,142
1987,29.469938,1987-03-10,160
1988,23.707436,1988-02-23,145
1989,20.839447,1989-02-01,123
1990,25.431168,1990-02-20,142
1991,23.312819,1991-01-29,120
1992,18.575748,1992-01-24,115
1993,24.011877,1993-02-04,126
1994,27.15627,1994-01-09,100
1995,31.107134,1995-01-15,106
1996,24.586061,1996-01-21,112
1997,16.67866,1996-12-23,83
1998,29.754978,1997-12-28,88
1999,18.553385,1998-12-06,66
2000,12.029335,2000-09-23,358
2001,18.065008,2000-12-19,79
2002,19.538591,2002-09-30,364
2003,26.926855,2002-11-28,58
2004,23.352024,2003-12-10,70
2005,25.511253,2005-09-30,364
2006,29.69103,2005-11-17,47
2007,23.942604,2006-11-03,33
2008,20.860846,2008-09-30,365
2009,23.107718,2008-10-24,23
2010,23.179785,2010-09-23,357
2011,22.490566,2011-09-30,364
2012,22.463469,2011-10-01,0
2013,19.973274,2012-10-12,11
2014,18.779465,2014-01-09,100
2015,24.294502,2015-02-07,129
2016,18.166683,2016-01-30,121
2017,22.9183,2017-01-20,111
2018,29.357677,2018-02-01,123
2019,18.902199,2018-12-10,70
2020,22.377245,2019-11-26,56
2021,27.136635,2020-12-18,78
2022,19.329731,2022-09-30,364
2023,31.511213,2022-12-08,68
2024,14.564484,2024-09-30,365
2025,20.091894,2024-11-22,52
2026,19.235039,2025-11-30,60
2027,18.767115,2026-11-15,45
2028,22.871471,2027-12-11,71
2029,13.525673,2028-10-30,29
2030,16.302868,2030-09-30,364
2031,22.496181,2030-11-01,31
2032,19.085659,2031-10-31,30
2033,21.810938,2033-09-25,359
2034,27.880695,2034-09-28,362
2035,31.52222,2034-10-24,23
2036,23.826809,2035-10-01,0
2037,17.993017,2037-08-18,321
2038,12.4917755,2038-07-17,289
2039,16.566809,2039-09-30,364
2040,21.367022,2040-08-29,333
2041,18.70988,2041-08-14,317
2042,11.632611,2041-10-06,5
2043,11.797106,2043-08-04,307
2044,15.873858,2044-07-11,284
2045,7.657935,2045-08-17,320
2046,26.064436,2046-07-26,298
2047,12.6598015,2047-07-22,294
2048,7.8399653,2048-06-20,263
2049,13.888982,2049-06-27,269
2050,5.925092,2050-07-07,279
2051,23.130022,2051-06-24,266
2052,4.6455393,2052-05-24,236
2053,18.919636,2053-06-10,252
2054,11.038333,2054-06-24,266
2055,18.164145,2055-07-02,274
2056,5.467018,2056-04-28,210
2057,12.722451,2057-05-23,234
2058,4.7862263,2058-04-01,182
2059,7.242101,2059-05-02,213
2060,3.6818855,2060-04-24,206
2061,17.94437,2061-03-14,164
2062,16.395662,2062-04-07,188
2063,8.406746,2063-03-24,174
2064,7.6065993,2064-03-23,174
2065,15.20396,2065-04-04,185
2066,12.215165,2066-03-14,164
2067,3.3890522,2067-02-01,123
2068,5.695503,2068-03-06,157
2069,7.145761,2069-02-24,146
2070,9.099628,2070-03-24,174
2071,3.8242724,2071-02-10,132
2072,12.436361,2072-03-24,175
2073,11.724947,2073-03-19,169
2074,5.300408,2074-02-15,137
2075,13.778748,2075-02-08,130
2076,11.746277,2076-02-02,124
2077,3.0295103,2076-12-18,78
2078,7.9844756,2078-01-13,104
2079,3.8031273,2078-12-20,80
2080,8.966152,2080-01-21,112
2081,5.833291,2080-12-02,62
2082,3.1058848,2082-09-24,358
2083,5.1455336,2082-12-08,68
2084,7.870811,2084-01-04,95
2085,7.9516377,2084-12-31,91
2086,4.0349607,2085-11-01,31
2087,3.6684833,2086-12-11,71
2088,1.33187,2087-11-20,50
2089,1.6116831,2088-10-28,27
2090,4.8806295,2090-09-27,361
2091,4.7386394,2090-10-01,0
2092,2.7613795,2092-09-27,362
2093,2.5648592,2092-11-15,45
2094,2.6764684,2094-09-30,364
2095,2.9570844,2095-08-15,318
2096,5.064991,2095-11-17,47
2097,5.866804,2096-11-10,40
